CMo16S32_1b8f54
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000017            -344.5488650306413            1.9001213393563965            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179315          
500                           269.6929644378684             -348.6635489317315            1.7081645226755973            -350.3717134544071            2546.49892674665              0.038560168928947126          0.002752696352634879          
1000                          286.06746037874547            -349.2419450967478            1.8118762865371478            -351.05382138328497           2546.49892674665              0.03625941419133267           0.002656780350039231          
1500                          301.1051368228088             -349.1722208849574            1.9071209862228204            -351.07934187118025           2546.49892674665              0.03222325064067331           0.004585249888564663          
2000                          308.28561141042996            -349.0526624566036            1.9526002295249714            -351.0052626861286            2546.49892674665              0.03854794174502697           0.003869985710746574          
2500                          302.7503187662385             -348.8620284271476            1.9175411372822688            -350.7795695644299            2546.49892674665              0.03196385922522365           0.003737834367124254          
3000                          341.8617997377634             -348.5665381073409            2.1652630026416895            -350.73180110998254           2546.49892674665              0.030550399952301903          0.004627141615850472          
3500                          263.59916512349486            -349.7642201878925            1.6695679956256089            -351.43378818351806           2546.49892674665              0.03618265525504802           0.0016965498931676643         
4000                          299.45372266114515            -349.0523971322253            1.8966613619271788            -350.94905849415244           2546.49892674665              0.03403535254379663           0.005360704225023628          
4500                          280.6342021937965             -349.37508481551197           1.7774634538056338            -351.1525482693176            2546.49892674665              0.02653978060178167           0.006179932963987583          
5000                          239.92567549833936            -349.6673603757193            1.5196263195796416            -351.1869866952989            2546.49892674665              0.028892103336408306          0.005433402122528504          
5500                          333.8059151276435             -349.03009544820156           2.1142391417914173            -351.144334589993             2546.49892674665              0.031844469992922675          0.006491345534213786          
6000                          307.86242635175165            -348.82566364672454           1.9499198863233334            -350.7755835330479            2546.49892674665              0.03359684644316641           0.0019303001526962506         
6500                          325.82732471276836            -348.5933765108223            2.063704842107122             -350.6570813529294            2546.49892674665              0.03270637467123664           0.005136657985172131          
7000                          286.88587459905966            -349.2633550205669            1.8170599076186538            -351.0804149281856            2546.49892674665              0.038613820818767276          0.005169453006803479          
7500                          342.30158543167374            -348.36402096993754           2.168048489914165             -350.5320694598517            2546.49892674665              0.033457618778223286          0.002144342085482577          
8000                          285.8649153201918             -348.9693986716537            1.8105934192440178            -350.77999209089774           2546.49892674665              0.03334641018870222           0.0027726899677433894         
8500                          264.37970479123675            -349.50837142979003           1.6745117292219107            -351.18288315901196           2546.49892674665              0.028785091721985633          0.002228172652223734          
9000                          323.03183185628274            -348.55256706987933           2.045998923338366             -350.5985659932177            2546.49892674665              0.03279960623531151           0.0032294476265805083         
9500                          276.1537084291926             -349.57864705417086           1.7490851810957098            -351.3277322352666            2546.49892674665              0.033750816990772946          0.004364203469078204          
10000                         292.76238105050726            -348.90995651145585           1.8542801586495241            -350.7642366701054            2546.49892674665              0.038737837557750544          0.004245437749091712          
