CMo16S32_5b365a
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.5488650306413            1.900121339356395             -346.4489863699977            2546.49892674665              0.0                           0.017471269418179315          
500                           292.93909841106824            -348.7025412025793            1.8553994400756464            -350.55794064265496           2546.49892674665              0.025235836547195804          0.0068626973577173905         
1000                          245.1052245329651             -349.316989092613             1.5524322250760922            -350.8694213176891            2546.49892674665              0.035582035310488425          0.004329311646114108          
1500                          289.211881450079              -349.2246991062113            1.8317922251290235            -351.05649133134034           2546.49892674665              0.03133406420740155           0.004950991067687393          
2000                          293.7509399981252             -349.2236310540196            1.8605414318214593            -351.08417248584107           2546.49892674665              0.04198303965319533           0.004052771293379784          
2500                          335.4726968859523             -348.1271451715908            2.1247961004147924            -350.25194127200564           2546.49892674665              0.03391768667779546           0.004278076085478417          
3000                          301.640021954791              -348.90219391592734           1.9105088084007664            -350.8127027243281            2546.49892674665              0.03161508817551944           0.006135862148940942          
3500                          280.5542465155632             -349.5627141292153            1.7769570355042543            -351.33967116471956           2546.49892674665              0.02735299844451941           0.0042067124221956504         
4000                          261.97735818728427            -349.22643750471053           1.659295895732909             -350.8857334004434            2546.49892674665              0.03131338541444296           0.0017441487473567818         
4500                          309.30328640260467            -349.172432876665             1.9590459160888398            -351.13147879275385           2546.49892674665              0.03454345017593775           0.0043731417597306825         
5000                          332.10685481916335            -349.03738983436057           2.103477739294762             -351.1408675736553            2546.49892674665              0.032470441909460655          0.005919588968225471          
5500                          265.1678111589682             -349.42613191180544           1.6795033883119415            -351.1056353001174            2546.49892674665              0.028163840036670596          0.0059598496555776795         
6000                          337.5054845492561             -348.8427213717405            2.1376712444728723            -350.98039261621335           2546.49892674665              0.034563031548048656          0.004413718680200916          
6500                          301.84922549157034            -349.1447072378575            1.9118338487491109            -351.0565410866066            2546.49892674665              0.034486660486743405          0.00501438708859557           
7000                          254.89674880438477            -349.52407224926634           1.6144491724525942            -351.1385214217189            2546.49892674665              0.03805024283241885           0.005382023010816438          
7500                          255.4589081621029             -349.1581830188572            1.618009742424991             -350.7761927612822            2546.49892674665              0.0324473154792423            0.00480936540533862           
8000                          322.4984113851152             -349.0733943251836            2.042620377937983             -351.11601470312155           2546.49892674665              0.034242510899718664          0.005519027218313585          
8500                          324.12400371407495            -348.89955040777915           2.052916453515818             -350.95246686129497           2546.49892674665              0.027985796334821542          0.004174440499569305          
9000                          298.5682828724311             -348.7825472575191            1.8910532184696762            -350.6736004759888            2546.49892674665              0.021385678227053964          0.005693724630961992          
9500                          292.5286708830441             -349.0665304842887            1.8527998997281196            -350.9193303840168            2546.49892674665              0.030993979527303872          0.003340791962697229          
10000                         289.8072953465148             -349.16072412100743           1.8355634206302474            -350.9962875416377            2546.49892674665              0.042797675460314925          0.002998106731890606          
