CMo16S32_c127cc
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.0                         -344.54886503064137           1.9001213393563954            -346.4489863699978            2546.49892674665              0.0                           0.017471269418179305          
500                           322.33271378538956            -348.15603349150405           2.0415708927875866            -350.19760438429165           2546.49892674665              0.004878636357383125          0.00762245075242074           
1000                          298.3835080599886             -347.9153525510957            1.8898829032560178            -349.8052354543517            2546.49892674665              0.010007022030191567          0.008020217076793885          
1500                          295.9584304943701             -348.7402143240411            1.8745230978159304            -350.61473742185706           2546.49892674665              0.02553646515172133           0.00556028203007427           
2000                          272.1882631422184             -348.70813926581036           1.7239690903962765            -350.43210835620664           2546.49892674665              0.03364792913964143           0.006105335958973918          
2500                          302.7758890653316             -348.0851355886461            1.9177030928521377            -350.00283868149825           2546.49892674665              0.026212248341943988          0.003872022631723564          
3000                          244.58324442597527            -348.35271379927735           1.5491261399427225            -349.90183993922005           2546.49892674665              0.029389406927940287          0.005812730216077846          
3500                          317.54800410602604            -348.50961359394086           2.011265796239641             -350.5208793901805            2546.49892674665              0.029485561614057465          0.00478216913193825           
4000                          331.49179986218894            -348.16090431660695           2.0995821424660153            -350.260486459073             2546.49892674665              0.02974417933936946           0.007970420290846153          
4500                          310.4329171409816             -348.5776305556833            1.9662007009941163            -350.54383125667744           2546.49892674665              0.039898777845456965          0.006231488775477395          
5000                          347.6690307509428             -348.8367201465797            2.2020444812107374            -351.03876462779044           2546.49892674665              0.059514333374977954          0.0034126305419445433         
5500                          307.18240837333104            -349.066477713903             1.9456128307501899            -351.0120905446532            2546.49892674665              0.06637933267878682           0.004041329505745859          
6000                          310.48367580616446            -348.84338627282693           1.9665221930703534            -350.8099084658973            2546.49892674665              0.06669613372491043           0.006822795856818477          
6500                          282.5351706133082             -349.0001913077484            1.7895036893368228            -350.78969499708523           2546.49892674665              0.07332065359602365           0.005490008628060293          
7000                          370.32252366174754            -348.48017097728393           2.345525765513334             -350.8256967427973            2546.49892674665              0.07214299195305841           0.003501427405491094          
7500                          314.8823690686147             -349.0333794964231            1.9943823628479032            -351.027761859271             2546.49892674665              0.06830339152883992           0.003824540107302881          
8000                          307.75072359912815            -348.8425007020063            1.9492123903769174            -350.79171309238325           2546.49892674665              0.0858065997196329            0.004681286947477344          
8500                          289.42159582709274            -349.2365656122703            1.8331205010054692            -351.06968611327574           2546.49892674665              0.06671919742477335           0.004122325720722877          
9000                          348.9496981996156             -348.7675293435055            2.2101558930368785            -350.97768523654236           2546.49892674665              0.06746407061081587           0.002550541603968986          
9500                          297.61057494509396            -349.26741453588437           1.884987347570996             -351.15240188345535           2546.49892674665              0.05407532337434343           0.0036472924652587824         
10000                         235.75662657800868            -349.60852399735063           1.493220656851838             -351.1017446542025            2546.49892674665              0.06084022462513743           0.0031338030922930626         
