CMo16S32_054097
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000006            -306.38709500082683           1.9001213393563956            -308.28721634018325           2546.49892674665              0.0                           0.032531258123425506          
500                           287.0397309749935             -348.1025272740198            1.818034393562347             -349.92056166758215           2546.49892674665              0.019068667809362776          0.008432880943622644          
1000                          305.603734927237              -348.2538985032835            1.9356139270741946            -350.1895124303577            2546.49892674665              0.033826069164382896          0.0062517861309556175         
1500                          317.9966802813341             -348.9726946053458            2.0141075934901864            -350.98680219883596           2546.49892674665              0.03232238265652397           0.001519702675187357          
2000                          249.5884312071592             -349.3894474786093            1.5808276806440296            -350.97027515925333           2546.49892674665              0.033909414078054874          0.003278115625519632          
2500                          339.63766970557634            -348.69788412579175           2.1511759461894826            -350.8490600719812            2546.49892674665              0.04055817269517373           0.0032820952756076574         
3000                          263.65517561162767            -349.3259204531934            1.669922751371372             -350.9958432045648            2546.49892674665              0.03687977077278623           0.005869706169820092          
3500                          276.5940500541136             -349.4521732709978            1.7518741894894405            -351.20404746048723           2546.49892674665              0.037332149283218874          0.00393784576656542           
4000                          283.8377442303462             -349.2457635175916            1.7977538490895444            -351.04351736668116           2546.49892674665              0.03669568255662757           0.0069384205538171            
4500                          283.8385178626585             -349.0243048492052            1.7977587490737625            -350.82206359827893           2546.49892674665              0.034892991203966016          0.0030437570710077078         
5000                          402.9204007410875             -348.6197013422126            2.551992171700569             -351.17169351391317           2546.49892674665              0.03312166514502202           0.006606111237093985          
5500                          252.79326084553992            -349.1027221015529            1.6011262312603265            -350.7038483328132            2546.49892674665              0.032385982740467625          0.00468400358557551           
6000                          314.9385003447512             -348.9563912089289            1.994737883633211             -350.9511290925621            2546.49892674665              0.0390075425883632            0.0031409149897339305         
6500                          290.43622861527734            -349.22177042316395           1.8395469190469367            -351.0613173422109            2546.49892674665              0.03876317728234471           0.005002637260567976          
7000                          267.6030070393996             -349.2578792377969            1.6949272805050095            -350.9528065183019            2546.49892674665              0.03990331363599807           0.0052247668336667386         
7500                          296.52773841714924            -349.05420503905356           1.8781289449250549            -350.9323339839786            2546.49892674665              0.03479203062599307           0.004384390822103489          
8000                          315.0544949969447             -348.69226393098086           1.9954725633461579            -350.687736494327             2546.49892674665              0.03950419545319893           0.0038408513119922542         
8500                          280.2175751613905             -349.54111198400074           1.774824647422876             -351.3159366314236            2546.49892674665              0.03128707151707288           0.004425163580324358          
9000                          303.01360447823265            -349.01318232914133           1.9192087199479615            -350.9323910490893            2546.49892674665              0.03982377476338614           0.003598142907708466          
9500                          312.8049194705301             -348.9104510050925            1.9812243418053768            -350.8916753468979            2546.49892674665              0.035096798666826266          0.003121506895393994          
10000                         314.7050357346143             -349.03553561435285           1.9932591800075252            -351.02879479436035           2546.49892674665              0.03298095565081234           0.0046193220192588804         
