CMo16S32_9ad52d
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.0                         -306.38709500082683           1.9001213393563954            -308.28721634018325           2546.49892674665              0.0                           0.03253125812342546           
500                           324.5983643696243             -347.84969516818853           2.0559209295296856            -349.9056160977182            2546.49892674665              0.04177559960900389           0.005539319473964054          
1000                          268.41537505302               -348.40563530676656           1.7000726064986451            -350.1057079132652            2546.49892674665              0.041114946970019224          0.006582035206425759          
1500                          331.8674468206892             -348.21209148572746           2.101961391805718             -350.3140528775332            2546.49892674665              0.039591548698294315          0.006021624792407814          
2000                          277.7650723095839             -348.4283757279796            1.7592911374110418            -350.1876668653906            2546.49892674665              0.037152719814686805          0.007424177516670298          
2500                          347.71085805754626            -348.40503989199476           2.2023094044035543            -350.6073492963983            2546.49892674665              0.044262079474440504          0.006307130613153095          
3000                          253.9091077644285             -348.7048230222591            1.6081937130671107            -350.31301673532624           2546.49892674665              0.04308016175567052           0.008528993659277409          
3500                          305.39999980845073            -348.61256221159215           1.9343235222515875            -350.54688573384374           2546.49892674665              0.03912475528209665           0.00303016500663514           
4000                          298.0357463183191             -348.4912611511138            1.8876802715681582            -350.378941422682             2546.49892674665              0.03458851012534487           0.004670459151570483          
4500                          325.6352550136526             -348.5430395928667            2.06248832299401              -350.6055279158607            2546.49892674665              0.03921514361235521           0.006466409699414884          
5000                          280.67149344029025            -348.94554615489903           1.7776996467830801            -350.72324580168214           2546.49892674665              0.03736125296005937           0.0059188190955914355         
5500                          329.67055611563813            -348.5569745075539            2.08804686210938              -350.64502136966325           2546.49892674665              0.038767559509263756          0.006268297259144275          
6000                          318.82475238717404            -348.387626895047             2.019352385086294             -350.40697928013327           2546.49892674665              0.038984011888445656          0.006348916245946839          
6500                          327.518957361989              -348.448424662528             2.0744191997575756            -350.5228438622856            2546.49892674665              0.04246353685383774           0.005315157975541468          
7000                          234.75908938599594            -349.2007157231169            1.4869025178340212            -350.68761824095094           2546.49892674665              0.039530489744917484          0.006115593822746415          
7500                          264.2969963672644             -348.94065965940837           1.6739878757507958            -350.6146475351592            2546.49892674665              0.03225237300094554           0.007413258615817546          
8000                          368.6041773439585             -348.2783696276376            2.334642210490549             -350.6130118381281            2546.49892674665              0.0404057070192559            0.0059338835087636215         
8500                          315.5360274563574             -348.52564746308315           1.9985224636852337            -350.52416992676837           2546.49892674665              0.04076570301170345           0.005409295703384147          
9000                          321.8544424465569             -348.4083005076635            2.0385416475311917            -350.4468421551947            2546.49892674665              0.03929644279607157           0.005916955279178736          
9500                          296.1545795457215             -348.33687169283695           1.8757654544764881            -350.21263714731344           2546.49892674665              0.040208465157803325          0.0032362215483014143         
10000                         307.06279990109834            -348.4083641346107            1.9448552620486659            -350.35321939665937           2546.49892674665              0.039832690407648384          0.005336736647113215          
