CMo16S32_715cc3
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.5488650306413            1.900121339356395             -346.4489863699977            2546.49892674665              0.0                           0.017471269418179326          
250.0                         332.34846818118916            -348.3231146518342            2.1050080549782915            -350.4281227068125            2546.49892674665              0.003453111135210306          0.008896830756182266          
500.0                         264.51609054125817            -348.5104808321215            1.67537556080191              -350.1858563929234            2546.49892674665              0.004371021785838652          0.008574116947182318          
750.0                         284.9846224919718             -348.0479606891705            1.8050178752847406            -349.85297856445527           2546.49892674665              0.005824453892558411          0.010106493012182199          
1000.0                        313.55741689474223            -348.1433424179011            1.9859904631838974            -350.129332881085             2546.49892674665              0.006286280418182871          0.007768232183749706          
1250.0                        284.2531679330756             -348.5825144283679            1.8003850338976464            -350.3828994622656            2546.49892674665              0.004669236711126816          0.0077777163480616555         
1500.0                        254.44816667796735            -348.67063106175846           1.6116079708830622            -350.28223903264154           2546.49892674665              0.004724739296660609          0.007647184399875539          
1750.0                        269.0891000266464             -348.2443752285783            1.7043398038294613            -349.94871503240773           2546.49892674665              0.007157680424819152          0.009243878952873078          
2000.0                        304.1582078632963             -348.67431502634304           1.9264583376714917            -350.6007733640145            2546.49892674665              0.007644799115460583          0.007909894618840584          
2250.0                        300.35419541085986            -348.1978389058439            1.902364720217985             -350.1002036260619            2546.49892674665              0.009373915706998595          0.009357712270824594          
2500.0                        359.3721322938685             -347.8571529800553            2.276168857805297             -350.1333218378606            2546.49892674665              0.009915256203143047          0.008139174672856384          
2750.0                        245.62590227545596            -348.6951899726454            1.5557300613742082            -350.2509200340196            2546.49892674665              0.010317453015092173          0.00644288509635878           
3000.0                        313.3301195960249             -348.2415152751943            1.984550821691661             -350.2260660968859            2546.49892674665              0.014478843033867045          0.008071067750861019          
3250.0                        329.3079522450715             -348.1785781375239            2.0857502242687236            -350.26432836179265           2546.49892674665              0.015244006369140646          0.005884503495747686          
3500.0                        253.897338167706              -348.9328742117689            1.608119167527484             -350.54099337929637           2546.49892674665              0.014804920432769807          0.008014172506520045          
3750.0                        333.5287959181439             -347.7461703592115            2.112483941379698             -349.8586543005912            2546.49892674665              0.016179143831401697          0.009621341760783903          
4000.0                        335.7860262855852             -348.3146579400783            2.1267806466764263            -350.4414385867547            2546.49892674665              0.014534568430715057          0.007141548358831616          
4250.0                        283.170552811644              -348.24542103567944           1.7935280335825061            -350.03894906926195           2546.49892674665              0.017235643661552464          0.003947948733855543          
4500.0                        281.97179874897097            -348.53004858523525           1.7859354396654223            -350.3159840249007            2546.49892674665              0.014711183467879847          0.009779748227418866          
4750.0                        257.7618245995692             -348.4259023304153            1.6325958113102723            -350.0584981417256            2546.49892674665              0.017189788846635894          0.004523801953965287          
5000.0                        273.7019535185605             -348.9472506409043            1.7335564083471635            -350.6808070492515            2546.49892674665              0.019461935240503613          0.007146012794046086          
5250.0                        304.3811646601038             -348.4699345751637            1.92787048756272              -350.3978050627264            2546.49892674665              0.02184198224317999           0.005294053168155971          
5500.0                        297.4134236742087             -348.71663591294504           1.883738643114695             -350.6003745560597            2546.49892674665              0.02357734102323748           0.0042285546068355105         
5750.0                        261.2993156758059             -349.16896764360456           1.655001352249406             -350.823968995854             2546.49892674665              0.022068289156565713          0.0031095184684731786         
6000.0                        327.23416251424817            -348.75596183450904           2.0726153838658052            -350.82857721837485           2546.49892674665              0.024347629347431947          0.007057703721667997          
6250.0                        296.1527351823447             -348.9400122191803            1.8757537727624556            -350.8157659919427            2546.49892674665              0.02464249631464245           0.005464740758203082          
6500.0                        324.64630079240607            -348.324533111649             2.056224546262553             -350.38075765791154           2546.49892674665              0.0233251380302851            0.004314208015822041          
6750.0                        290.04887174447083            -349.07416285628045           1.8370935021930508            -350.9112563584735            2546.49892674665              0.02518129019616616           0.006511506067198097          
7000.0                        297.96696455761304            -349.2401897727885            1.887244625930571             -351.12743439871906           2546.49892674665              0.025482584126038717          0.005660186956842966          
7250.0                        322.5080490817874             -349.08662884233615           2.04268142058168              -351.12931026291784           2546.49892674665              0.028970019067008638          0.003043906166331259          
7500.0                        364.4702082631144             -348.48368355363385           2.308458734268044             -350.7921422879019            2546.49892674665              0.030743147923176124          0.0034241456593262893         
7750.0                        244.87430568248962            -349.28306825650964           1.5509696456245985            -350.83403790213424           2546.49892674665              0.031099362700955032          0.005594009485021658          
8000.0                        267.3590692668994             -349.51718534339705           1.6933822426150003            -351.210567586012             2546.49892674665              0.026697249440621323          0.006479286171012617          
8250.0                        326.7433612465123             -348.5644957812947            2.0695067773251115            -350.6340025586198            2546.49892674665              0.02891144188964612           0.004082763687840147          
8500.0                        310.33159631007544            -348.9697792132945            1.9655589614176958            -350.9353381747122            2546.49892674665              0.02576169334765621           0.004566112590980629          
8750.0                        301.77755692910847            -348.947020642342             1.9113799188661282            -350.85840056120816           2546.49892674665              0.025420236887968788          0.0034757599890940655         
9000.0                        296.419270185782              -349.21805843515057           1.8774419355881777            -351.09550037073876           2546.49892674665              0.025894389278099676          0.004120484513036912          
9250.0                        337.15877338188443            -348.69858640270814           2.135475266847152             -350.8340616695553            2546.49892674665              0.028057442322177103          0.004815736042907138          
9500.0                        333.32769358268786            -348.50402383510715           2.1112102119163834            -350.61523404702353           2546.49892674665              0.030053241480106744          0.004225754462736508          
9750.0                        270.14637401062475            -349.5485964692012            1.7110363000244733            -351.2596327692257            2546.49892674665              0.031004079353583833          0.004249538422639762          
10000.0                       287.97165183482116            -349.444391748487             1.8239369359368465            -351.26832868442386           2546.49892674665              0.029448665130362192          0.0029122154027841837         
