CMo16S32_482ef1
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000006            -344.5488650306413            1.9001213393563956            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179315          
250.0                         337.2886739503579             -348.155895155507             2.1362980229876554            -350.29219317849464           2546.49892674665              0.005248881387058623          0.008620206612712992          
500.0                         244.20301567050825            -348.57891910025256           1.5467178707023899            -350.12563697095493           2546.49892674665              0.006296323718837923          0.006383581102014132          
750.0                         297.8653261651033             -348.40057616488724           1.8866008750022185            -350.28717703988946           2546.49892674665              0.008889354362932273          0.006187185047111632          
1000.0                        310.3647770221886             -348.30462627357167           1.9657691193481666            -350.27039539291985           2546.49892674665              0.020009260778859318          0.008521213903976928          
1250.0                        286.1164271355232             -348.0289722277231            1.8121864291353897            -349.8411586568585            2546.49892674665              0.016642811545776157          0.008894742443315696          
1500.0                        370.38562701940975            -348.08334006534074           2.3459254456349306            -350.42926551097565           2546.49892674665              0.026156669869199522          0.004658285251783417          
1750.0                        268.5852872806017             -348.5129813993948            1.7011487859967969            -350.2141301853916            2546.49892674665              0.017996809762014683          0.007350314025389209          
2000.0                        251.8313793104087             -348.6536921370844            1.5950339258242072            -350.24872606290864           2546.49892674665              0.024461909995963232          0.005750422514647046          
2250.0                        352.469402418023              -348.35060947014773           2.232448776682274             -350.58305824683              2546.49892674665              0.02394618591082432           0.006132349152212047          
2500.0                        414.10741571512017            -347.86065740447606           2.6228477912867656            -350.4835051957628            2546.49892674665              0.023487147819828354          0.005901872651477899          
2750.0                        268.98724606077985            -348.6227759688415            1.7036946875159908            -350.32647065635746           2546.49892674665              0.024064678351586582          0.004100416138586565          
3000.0                        304.1601563741277             -348.0038134832195            1.926470679028194             -349.9302841622477            2546.49892674665              0.026140210026721056          0.006851683720924807          
3250.0                        319.7201973076037             -348.43393828977923           2.0250238984247164            -350.45896218820394           2546.49892674665              0.01974887587023168           0.0059716663599908215         
3500.0                        303.79008902935493            -348.74476815662024           1.9241267694988549            -350.6688949261191            2546.49892674665              0.021624997499126858          0.007451182751275511          
3750.0                        324.37299023645716            -348.4617576158354            2.0544934688637864            -350.51625108469915           2546.49892674665              0.019041046338944222          0.00559473117973074           
4000.0                        295.2526196596243             -348.57699597789525           1.8700526770537658            -350.447048654949             2546.49892674665              0.023678750951221482          0.006103603129219905          
4250.0                        333.6370843300336             -348.58562687422915           2.1131698117871536            -350.6987966860163            2546.49892674665              0.023472575175802726          0.0048735510001363365         
4500.0                        298.3136227276487             -348.7898566489732            1.8894402678850608            -350.6792969168583            2546.49892674665              0.02181919053552415           0.004654424423593022          
4750.0                        262.98060555832143            -348.5602240048222            1.6656502015274455            -350.22587420634966           2546.49892674665              0.02156729399098717           0.005605324669748509          
5000.0                        275.75248862531214            -348.6973362130537            1.7465439600586243            -350.4438801731123            2546.49892674665              0.022745229193860943          0.0044584158131921            
5250.0                        338.6259920869731             -348.6532468518294            2.1447682454172914            -350.7980150972467            2546.49892674665              0.022770830760386798          0.005409837193020902          
5500.0                        305.984603539095              -348.29199039548786           1.938026248997136             -350.230016644485             2546.49892674665              0.01821806200881514           0.005253323214079393          
5750.0                        247.98220259115672            -348.90944134504787           1.570654249746859             -350.4800955947947            2546.49892674665              0.02036672874098508           0.005873382390463357          
6000.0                        300.3461265992246             -348.5416588492657            1.902313614480747             -350.44397246374643           2546.49892674665              0.021772131849221044          0.003732521894543221          
6250.0                        284.0797567773913             -348.8516854809964            1.7992866931063192            -350.6509721741027            2546.49892674665              0.020825264483018878          0.00785120958980231           
6500.0                        260.4913160855463             -348.82273490592183           1.649883694703928             -350.47261860062576           2546.49892674665              0.019654880629874704          0.0064580043383086734         
6750.0                        267.36429288289014            -348.78311772170815           1.6934153276290425            -350.4765330493372            2546.49892674665              0.02228435824427561           0.006192532846567392          
7000.0                        272.41938273161435            -348.6669940635709            1.7254329412754585            -350.39242700484635           2546.49892674665              0.024713914732412492          0.004434067196198392          
7250.0                        331.38611245749985            -348.3197620050272            2.098912746156179             -350.4186747511834            2546.49892674665              0.024237247734961838          0.005327822030608956          
7500.0                        322.85283477208947            -348.23402909416257           2.0448652027405054            -350.27889429690305           2546.49892674665              0.024867170975819582          0.005992598553927236          
7750.0                        267.508907487212              -348.7194225030226            1.694331278614558             -350.4137537816372            2546.49892674665              0.022409971152947013          0.007910557752666168          
8000.0                        250.6722196546097             -348.5630919432892            1.587692112498525             -350.1507840557877            2546.49892674665              0.022687000599398443          0.005666442085224006          
8250.0                        289.74573584309223            -348.86104253931904           1.8351735188766025            -350.69621605819566           2546.49892674665              0.024217778482353083          0.008865262590046417          
8500.0                        254.96196393754227            -348.5916038178416            1.614862228006466             -350.20646604584806           2546.49892674665              0.02598583468382645           0.003847559023313369          
8750.0                        316.9515738863693             -348.6625350256742            2.0074881636136186            -350.6700231892878            2546.49892674665              0.023129953156420566          0.002844665747597054          
9000.0                        342.81794783159825            -348.3616140848432            2.1713189939639577            -350.53293307880716           2546.49892674665              0.028316061521042935          0.004370424938179784          
9250.0                        329.1332032275069             -348.2045203413594            2.084643409811037             -350.28916375117046           2546.49892674665              0.024402588024880763          0.006960501962333843          
9500.0                        269.2365801891338             -348.34522614472127           1.7052739045090417            -350.0505000492303            2546.49892674665              0.02290107983390712           0.007965173628516656          
9750.0                        307.8316001921313             -348.8570976713702            1.9497246415109832            -350.8068223128812            2546.49892674665              0.020984141419117756          0.00579638365941077           
10000.0                       283.92329381213585            -348.48177000595996           1.7982956977093165            -350.28006570366927           2546.49892674665              0.02600841110421629           0.006218829073420889          
10250.0                       298.60456202560437            -348.81058619239343           1.8912830011134039            -350.7018691935068            2546.49892674665              0.022715584911421866          0.00424048754495964           
10500.0                       312.2389154540851             -348.57470519975465           1.9776394207726815            -350.5523446205273            2546.49892674665              0.019151457810593606          0.00652012894934938           
10750.0                       292.5475764496239             -348.4092429871812            1.8529196426297558            -350.2621626298109            2546.49892674665              0.026793112493077986          0.004536430448466105          
11000.0                       329.4283442641822             -348.49269439936745           2.0865127557507255            -350.5792071551182            2546.49892674665              0.024720952116220045          0.005978935205593908          
11250.0                       252.59361796654778            -349.08693909124645           1.5998617456115813            -350.686800836858             2546.49892674665              0.022636935077455088          0.006387998839024032          
11500.0                       271.8908031803974             -348.6483184767339            1.7220850569927428            -350.37040353372663           2546.49892674665              0.02285967270368412           0.004560284287016572          
11750.0                       263.6590388645453             -349.0409310194534            1.669947220202399             -350.7108782396558            2546.49892674665              0.01843713585835243           0.004839657922174317          
12000.0                       377.3813204877863             -348.09577126837866           2.390234333777792             -350.48600560215647           2546.49892674665              0.019494772652788348          0.0075944066728066            
12250.0                       259.94088489997466            -348.77955637845              1.6463974078987549            -350.42595378634877           2546.49892674665              0.022156521116836643          0.004774998496338178          
12500.0                       271.45705377907353            -348.6998755681936            1.7193378020147807            -350.41921337020835           2546.49892674665              0.02461866330032578           0.004437066214095961          
