CMo16S32_e84918
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000006            -344.5488650306413            1.9001213393563956            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179322          
250.0                         285.0439146328433             -347.798911549137             1.8053934161584941            -349.6043049652955            2546.49892674665              0.005406451943653023          0.010401029596806412          
500.0                         295.84636670471997            -348.15148535898805           1.8738133151556526            -350.0252986741437            2546.49892674665              0.007160196322197111          0.008366216801520747          
750.0                         381.2531033544301             -347.4700736445932            2.41475719126534              -349.8848308358585            2546.49892674665              0.009919659476227596          0.008360890860638221          
1000.0                        341.449408854018              -348.3703081518719            2.1626510269138204            -350.5329591787857            2546.49892674665              0.018818967350225993          0.006468937424521319          
1250.0                        282.24723617396705            -348.6998486542682            1.7876799880950636            -350.48752864236326           2546.49892674665              0.02499117412840538           0.004519743671039776          
1500.0                        306.1491230447218             -348.89726516405057           1.939068272408409             -350.836333436459             2546.49892674665              0.034685625980643134          0.006443209148200717          
1750.0                        311.2211077675962             -349.20325327003286           1.97119289375782              -351.17444616379066           2546.49892674665              0.028560166274792107          0.0053073984522300525         
2000.0                        335.118841876582              -348.7075110178022            2.1225548755669834            -350.8300658933692            2546.49892674665              0.03310617968770656           0.004255166782601843          
2250.0                        278.9015679259973             -348.9771637057115            1.7664894026538156            -350.7436531083653            2546.49892674665              0.030523431058542216          0.002561998227670823          
2500.0                        317.9472463364761             -349.03780930022276           2.0137944918451423            -351.0516037920679            2546.49892674665              0.03394752764001868           0.003746569005870826          
2750.0                        303.8435545815245             -348.7819107497179            1.9244654062875142            -350.70637615600543           2546.49892674665              0.038137858876233485          0.00529421202132499           
3000.0                        331.9426970838786             -348.9454844249294            2.102438007241979             -351.0479224321714            2546.49892674665              0.036496929797787715          0.0027955056332082556         
3250.0                        244.29032944057573            -349.174718804148             1.5472708932281394            -350.7219896973761            2546.49892674665              0.03380678938059981           0.00269350707673777           
3500.0                        270.4791488903606             -349.4148328240131            1.7131440088584327            -351.1279768328715            2546.49892674665              0.029496336554923373          0.004694896334976492          
