CMo16S32_99cc8d
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.54886503064137           1.900121339356395             -346.4489863699978            2546.49892674665              0.0                           0.017471269418179315          
0.5                           303.4694039619441             -344.54383291924364           1.9220956343661877            -346.46592855360984           2546.49892674665              1.4949087204353166e-06        0.01745062943653369           
1.0                           317.5398386461674             -344.49077934561734           2.011214078357898             -346.50199342397525           2546.49892674665              6.097538553212382e-06         0.01741278474943333           
1.5                           322.4686220497848             -344.5135741561188            2.042431700098828             -346.5560058562176            2546.49892674665              1.3959778111819975e-05        0.01737463197902635           
2.0                           315.0886758161439             -344.6308182319914            1.9956890556926814            -346.6265072876841            2546.49892674665              2.4941324184743917e-05        0.01733179389159176           
2.5                           326.8545759599825             -344.64147706035845           2.0702111821594955            -346.71168824251794           2546.49892674665              3.889233460869415e-05         0.01726904135430218           
3.0                           342.03297287073406            -344.64214547833967           2.166347168383963             -346.8084926467236            2546.49892674665              5.5711005188025515e-05        0.017190862876127283          
3.5                           361.31387241474835            -344.63361634752073           2.2884673306025247            -346.9220836781233            2546.49892674665              7.575318951165387e-05         0.01709551338321026           
4.0                           374.8377014240774             -344.6755999659248            2.3741237175706353            -347.0497236834954            2546.49892674665              9.861407913927042e-05         0.016976680865808995          
4.5                           376.8241313108869             -344.79960384296567           2.386705243627509             -347.18630908659316           2546.49892674665              0.00012421361623980078        0.0168389060527154            
5.0                           388.90687346488687            -344.8684529808918            2.46323416431003              -347.33168714520184           2546.49892674665              0.00015220859600208387        0.01667918521388766           
5.5                           422.249903576347              -344.8119050673512            2.6744201744219906            -347.48632524177316           2546.49892674665              0.00018329729781012928        0.016499580547607477          
6.0                           457.3973706237191             -344.75102410529865           2.8970350149587825            -347.6480591202574            2546.49892674665              0.00021818685036526108        0.01630815472466453           
6.5                           481.3156835115577             -344.7586619307324            3.0485273373574               -347.8071892680898            2546.49892674665              0.0002570083405916089         0.016103288420813235          
7.0                           509.26689794120887            -344.74418064478454           3.2255630006864218            -347.96974364547094           2546.49892674665              0.0002999512066644734         0.01587899728634617           
7.5                           524.8308330177849             -344.80538107625557           3.324140884564287             -348.1295219608199            2546.49892674665              0.00034692559142500504        0.015659114382260756          
8.0                           533.5022389200352             -344.9065266489693            3.37906329588791              -348.28558994485724           2546.49892674665              0.0003971432737969057         0.01543814535140369           
8.5                           544.4609668576917             -344.9904099397951            3.4484730052430503            -348.43888294503813           2546.49892674665              0.00045119854521234254        0.015204121134112533          
9.0                           565.2184511815865             -345.0080045240687            3.5799454682936784            -348.5879499923624            2546.49892674665              0.000508285485560674          0.014968118757775003          
9.5                           587.2552911463176             -345.01417459325484           3.71952103452357              -348.7336956277784            2546.49892674665              0.000569305546872972          0.014739920591813567          
10.0                          604.8646451261492             -345.0417041689619            3.8310540654214313            -348.87275823438335           2546.49892674665              0.0006340301295198613         0.01451415097129607           
10.5                          613.6303559785424             -345.1173711997402            3.886573779572299             -349.0039449793125            2546.49892674665              0.0007021384434297683         0.014283918417622561          
11.0                          632.2201981046735             -345.1233757157447            4.004316965302726             -349.12769268104745           2546.49892674665              0.0007734081773617735         0.014049222469905772          
11.5                          629.8416588354705             -345.2520339638829            3.9892519212296937            -349.24128588511263           2546.49892674665              0.0008483299617602213         0.013812492156413442          
12.0                          652.042525971826              -345.2158297506181            4.129866392556377             -349.3456961431745            2546.49892674665              0.0009274027615263201         0.013565106083544227          
12.5                          663.5255137352805             -345.2407079412206            4.202596626186072             -349.44330456740664           2546.49892674665              0.0010092701131685295         0.013296897657930877          
13.0                          663.4689532527494             -345.32810640707146           4.2022383869199995            -349.53034479399145           2546.49892674665              0.0010943735178776768         0.013022084019219558          
13.5                          675.6196880006705             -345.32603514260853           4.279197954864613             -349.60523309747316           2546.49892674665              0.0011813484955213909         0.012756491400749456          
14.0                          688.1665574869887             -345.30908612258855           4.358666536374856             -349.6677526589634            2546.49892674665              0.001272663711197063          0.012497209423622575          
14.5                          680.98160496801               -345.4077935033153            4.3131589310296095            -349.7209524343449            2546.49892674665              0.0013672753655438836         0.012254629234953967          
15.0                          675.1828901778496             -345.48877964482307           4.276431391984191             -349.7652110368073            2546.49892674665              0.0014630814454118513         0.012029152408849436          
15.5                          695.0622071845762             -345.39951384361495           4.402341773505231             -349.80185561712017           2546.49892674665              0.001561773313224478          0.011819717972759027          
16.0                          699.4845860203773             -345.39879734575146           4.430351961493977             -349.8291493072454            2546.49892674665              0.0016636046196974383         0.011639453677965315          
16.5                          686.5196632477466             -345.50170911889205           4.348235540082699             -349.8499446589748            2546.49892674665              0.0017662659749920588         0.011480606986934308          
17.0                          698.9150602761741             -345.43745218948516           4.426744734761066             -349.86419692424624           2546.49892674665              0.0018703790694562436         0.011330475810830862          
17.5                          689.4888927433142             -345.50394819312885           4.36704186116928              -349.87099005429815           2546.49892674665              0.0019770547489009658         0.011185268886190688          
18.0                          673.6592758547959             -345.6059925609019            4.266781218356914             -349.8727737792588            2546.49892674665              0.002084565962998386          0.011045425605116956          
18.5                          664.6387330968178             -345.66013234476367           4.209647465733544             -349.8697798104972            2546.49892674665              0.002191056509985267          0.010909029634869517          
19.0                          665.6713207075118             -345.6465922386318            4.216187604912993             -349.8627798435448            2546.49892674665              0.0022980883650407192         0.010778067794662373          
19.5                          643.7962241653104             -345.77343387053924           4.077636479111932             -349.8510703496512            2546.49892674665              0.002405656058411521          0.010658134229158242          
20.0                          636.4702201491214             -345.80311162684967           4.031235490567361             -349.83434711741705           2546.49892674665              0.0025134641091168947         0.010545644858075735          
20.5                          613.6480207346755             -345.9287674558704            3.8866856635059084            -349.8154531193763            2546.49892674665              0.0026209216386785805         0.01043019695618036           
21.0                          602.7149345609024             -345.97813159505455           3.81743836235988              -349.79556995741444           2546.49892674665              0.0027269184575510487         0.010319724988522808          
21.5                          593.3229939387642             -346.0161804537394            3.7579522730462367            -349.77413272678564           2546.49892674665              0.002833501273839036          0.010210836671949894          
22.0                          589.4962528974169             -346.0207558153743            3.7337146986700533            -349.7544705140443            2546.49892674665              0.002938113771421712          0.01010094591677784           
22.5                          560.5016054602676             -346.18666015945985           3.5500702042619117            -349.73673036372173           2546.49892674665              0.0030400961621429978         0.00998928077443524           
23.0                          554.0094095565689             -346.20997063573907           3.508950337675578             -349.71892097341464           2546.49892674665              0.0031408168979676684         0.009882309081856003          
23.5                          550.8234531044898             -346.21323285969464           3.488771324872726             -349.7020041845674            2546.49892674665              0.0032420738222592293         0.00977580713228232           
24.0                          536.0539643077592             -346.29151656670933           3.3952252554258826            -349.6867418221352            2546.49892674665              0.0033413349843926313         0.009668149374782942          
24.5                          516.9588666149505             -346.3982840721507            3.274281913415213             -349.67256598556594           2546.49892674665              0.0034368601260088834         0.009561770721612602          
25.0                          508.1522763238527             -346.43987141529533           3.218503279618267             -349.6583746949136            2546.49892674665              0.0035299353979199983         0.009457002143885163          
25.5                          501.8193725084838             -346.46699465626864           3.1783923273526873            -349.64538698362134           2546.49892674665              0.003620747437921901          0.009352940416106431          
