CMo16S32_824c81
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000017            -344.5488650306413            1.9001213393563963            -346.4489863699977            2546.49892674665              0.0                           0.01747126941817931           
0.5                           304.8317581212803             -344.548955648842             1.9307244283992395            -346.47968007724126           2546.49892674665              1.7280593984017218e-06        0.017473161142460756          
1.0                           307.8459472780614             -344.5776334825975            1.9498155121914273            -346.5274489947889            2546.49892674665              6.894073317980909e-06         0.017458304115054186          
1.5                           327.237848883641              -344.51952359702165           2.0726387323629654            -346.5921623293846            2546.49892674665              1.542348216765668e-05         0.01743118659922577           
2.0                           339.62965044721824            -344.5214283190761            2.151125154309709             -346.6725534733858            2546.49892674665              2.7426595867902127e-05        0.01739551940063101           
2.5                           353.9555623845178             -344.52918737591824           2.2418617242357204            -346.77104910015396           2546.49892674665              4.27735776776636e-05          0.017343083530901967          
3.0                           361.1655231644614             -344.59010368272754           2.2875277253486987            -346.87763140807624           2546.49892674665              6.131584471922868e-05         0.01728284676012391           
3.5                           378.67767845092385            -344.59599534329493           2.398445125208466             -346.9944404685034            2546.49892674665              8.288256529028283e-05         0.01721317739702399           
4.0                           386.7793894469581             -344.67488755627164           2.449759238371343             -347.124646794643             2546.49892674665              0.00010729832270053284        0.0171256035321349            
4.5                           416.22654748514327            -344.62715960990863           2.6362698162771956            -347.26342942618584           2546.49892674665              0.00013496197977970437        0.01701741641485553           
5.0                           439.46007464992994            -344.6281458225935            2.7834248854582877            -347.4115707080518            2546.49892674665              0.000166006663935209          0.016903797227360722          
5.5                           459.02821098977876            -344.6609272249016            2.9073643302275616            -347.5682915551292            2546.49892674665              0.0002004034407139485         0.016781703908148822          
6.0                           492.771271991609              -344.60672980883015           3.121084031110169             -347.7278138399403            2546.49892674665              0.00023912338319327946        0.016641555496930496          
6.5                           514.0567875484629             -344.6303544603233            3.2559009055394377            -347.8862553658627            2546.49892674665              0.00028225723564055655        0.016487384139629             
7.0                           530.5668626835323             -344.68861886047137           3.360471392467847             -348.0490902529392            2546.49892674665              0.00032898648873272657        0.016326867403738152          
7.5                           542.2727136623586             -344.77651709412396           3.4346131832684925            -348.21113027739244           2546.49892674665              0.0003792756303478034         0.016164712576630966          
8.0                           564.7132675964209             -344.7959519445656            3.5767457679254595            -348.37269771249106           2546.49892674665              0.00043300355870254837        0.015992566947658             
8.5                           584.1335525006812             -344.82915952100296           3.6997487604686783            -348.5289082814716            2546.49892674665              0.0004907185465314319         0.01580588977547685           
9.0                           601.4084609559347             -344.86892070403457           3.809163501106197             -348.67808420514075           2546.49892674665              0.0005525470887489753         0.015614052563171207          
9.5                           617.1014877727988             -344.90886565170473           3.9085590182189156            -348.81742466992364           2546.49892674665              0.0006188731280226927         0.015427211850349521          
10.0                          652.7305269281335             -344.81323702488135           4.134224010218302             -348.94746103509965           2546.49892674665              0.0006893340725654001         0.015237144082581205          
10.5                          674.1276136594722             -344.8030268764922            4.269747547212557             -349.07277442370474           2546.49892674665              0.0007639095326925738         0.01502818273155084           
11.0                          684.0081669744923             -344.85778156095085           4.332328381207617             -349.1901099421585            2546.49892674665              0.0008421327371125096         0.014815787408456385          
11.5                          677.5172779813706             -345.0051529590684            4.291216792250204             -349.29636975131865           2546.49892674665              0.0009236088392104998         0.014615101461520853          
12.0                          687.8874297338634             -345.0355573617839            4.356898614374456             -349.3924559761584            2546.49892674665              0.0010080438423848504         0.01441054280636321           
12.5                          675.5345566945606             -345.2011055617981            4.278658755493324             -349.4797643172914            2546.49892674665              0.0010932879112468441         0.014198986992789027          
13.0                          670.3796915954536             -345.31165228938994           4.246009191572268             -349.5576614809622            2546.49892674665              0.0011795931818591257         0.01399478866296612           
13.5                          668.6907727395899             -345.39145983848476           4.235312022377375             -349.62677186086216           2546.49892674665              0.0012674679182677886         0.013795086023855247          
14.0                          666.9137965782263             -345.4616202500388            4.22405712129826              -349.685677371337             2546.49892674665              0.0013590266485746624         0.01360124543068099           
14.5                          666.4899254631895             -345.5123990365761            4.221372432795532             -349.7337714693716            2546.49892674665              0.0014529846570498152         0.013420834144881773          
15.0                          666.4192241963274             -345.5537306064757            4.220924629509252             -349.77465523598494           2546.49892674665              0.0015504271443786447         0.013250911461516439          
15.5                          672.4997012238892             -345.5531939414306            4.259436776687707             -349.8126307181183            2546.49892674665              0.0016485247117804            0.013082243778189215          
16.0                          671.4819397528682             -345.5939282386841            4.252990542389501             -349.8469187810736            2546.49892674665              0.0017490282560595886         0.012909112513339217          
16.5                          655.8377272899579             -345.72180125160065           4.1539042025954975            -349.8757054541961            2546.49892674665              0.0018515320114122966         0.012729510901732336          
17.0                          667.4885038357895             -345.6732016480081            4.2276971663781895            -349.90089881438627           2546.49892674665              0.0019549864732908854         0.012553754661056937          
17.5                          667.4813842222495             -345.69491145798696           4.227652072612805             -349.92256353059975           2546.49892674665              0.002060416378018724          0.012381878888442112          
18.0                          637.6878747465004             -345.9015416333617            4.0389477955155115            -349.94048942887724           2546.49892674665              0.0021669146384945175         0.012208003239236565          
18.5                          629.7522630616924             -345.964886766821             3.9886857118383463            -349.95357247865934           2546.49892674665              0.002274955580336459          0.012035060291238568          
19.0                          634.0371171591573             -345.94849740416083           4.0158248541937525            -349.96432225835457           2546.49892674665              0.002382863581874698          0.011871772717830307          
19.5                          604.9955680184812             -346.13862689614444           3.8318832966931993            -349.97051019283765           2546.49892674665              0.002491873242219316          0.01172890906688498           
20.0                          579.389184688722              -346.3054356064097            3.669699178731148             -349.9751347851408            2546.49892674665              0.002599015084481931          0.011591846189875585          
20.5                          546.8315869588617             -346.51737327535244           3.463487891382185             -349.9808611667346            2546.49892674665              0.0027024944252271943         0.011468417785904505          
21.0                          540.3498366184436             -346.5643672475718            3.422434184254822             -349.9868014318266            2546.49892674665              0.0028040038816144275         0.011347706089233843          
21.5                          543.2982903099677             -346.5501302589815            3.4411089168460514            -349.99123917582756           2546.49892674665              0.002906034065186833          0.011231849314717332          
22.0                          549.3318241297376             -346.5152977673883            3.4793237380549624            -349.99462150544326           2546.49892674665              0.003008192969390718          0.011122208302982191          
22.5                          577.9380671849867             -346.33720888213617           3.6605081809486113            -349.9977170630848            2546.49892674665              0.003112747069473255          0.011005984031822449          
