CMo16S32_5e5bc0
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.0                         -344.5488650306413            1.9001213393563954            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179326          
0.5                           302.953741570953              -344.52492157892283           1.918829563989435             -346.4437511429123            2546.49892674665              1.6649381259107062e-06        0.01745906458864127           
1.0                           286.48421627543615            -344.64767691166077           1.8145159091124965            -346.4621928207733            2546.49892674665              6.484757173731283e-06         0.017427426000689306          
1.5                           290.47636203093776            -344.66178981871013           1.8398011135786623            -346.5015909322888            2546.49892674665              1.4232385768458971e-05        0.01737586787037732           
2.0                           302.70791983558297            -344.6479885729212            1.9172725935725876            -346.56526116649377           2546.49892674665              2.501285918297481e-05         0.017308602382198352          
2.5                           312.06520565319               -344.6685861016452            1.9765391884408945            -346.64512529008607           2546.49892674665              3.856181296319051e-05         0.017212011940695725          
3.0                           319.96327655723314            -344.7116750010222            2.0265634986559684            -346.7382384996781            2546.49892674665              5.515549414112388e-05         0.017094635680277654          
3.5                           342.4910054524754             -344.6834883300876            2.1692482266595867            -346.8527365567472            2546.49892674665              7.444593867882249e-05         0.016949526881769414          
4.0                           373.17103324402257            -344.61894913439363           2.3635674783221403            -346.98251661271576           2546.49892674665              9.665072797238983e-05         0.016793472516378416          
4.5                           404.74430751413377            -344.5621589021358            2.563544318968775             -347.1257032211046            2546.49892674665              0.00012241930432400986        0.01660659500788277           
5.0                           414.3856439760812             -344.65608973957023           2.624610016139646             -347.28069975570986           2546.49892674665              0.00015181009220302475        0.016385948000082924          
5.5                           430.7343358673419             -344.7148591018975            2.7281583439168036            -347.4430174458143            2546.49892674665              0.00018400544757864848        0.016152927230269207          
6.0                           440.88801646684493            -344.815132281374             2.7924690945172195            -347.60760137589125           2546.49892674665              0.0002198562485639153         0.0159166752422465            
6.5                           454.8860385442094             -344.8955795309667            2.8811288960438266            -347.77670842701053           2546.49892674665              0.00025865293330246743        0.01567893404248705           
7.0                           474.32064050592743            -344.94290026971214           3.0042225690750204            -347.94712283878715           2546.49892674665              0.0003009562883437342         0.015434684775922162          
7.5                           522.4396179444183             -344.8083803688096            3.3089955552713053            -348.1173759240809            2546.49892674665              0.00034714751440228234        0.015176745513487777          
8.0                           537.8165369682462             -344.88237701691025           3.406388928507074             -348.2887659454173            2546.49892674665              0.00039673372644623213        0.014920409530966466          
8.5                           576.7155852403217             -344.8103214901507            3.652765300848492             -348.4630867909992            2546.49892674665              0.0004499677358212507         0.014652202471877563          
9.0                           582.2727520334112             -344.94431444576446           3.687962938214865             -348.63227738397933           2546.49892674665              0.0005066146368585181         0.014390831285604885          
9.5                           594.9350512747158             -345.0255833012704            3.7681626215272623            -348.79374592279765           2546.49892674665              0.0005661905224721702         0.01412817664081787           
10.0                          600.0800323075457             -345.14623060631317           3.8007495823641424            -348.9469801886773            2546.49892674665              0.0006288108026557637         0.013884431598363963          
10.5                          615.0147588833657             -345.1965799558944            3.8953422245780382            -349.0919221804724            2546.49892674665              0.0006948856121848144         0.013645228081891815          
11.0                          620.3997107897634             -345.3010536049345            3.9294490980072188            -349.23050270294175           2546.49892674665              0.000763656463529111          0.013401947035225481          
11.5                          639.6974283870452             -345.3087902740154            4.051675781365447             -349.36046605538087           2546.49892674665              0.0008359863574193677         0.013146698219881457          
