CMo16S32_d2f679
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.5488650306413            1.9001213393563952            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179315          
0.5                           314.994731063768              -344.4709903228059            1.9950940342636478            -346.4660843570696            2546.49892674665              1.5618163498890887e-06        0.0175423602408506            
1.0                           317.29898614342454            -344.48566961695724           2.009688581757567             -346.4953581987148            2546.49892674665              6.335383081000405e-06         0.017608606232170834          
1.5                           326.99968582434553            -344.46469888921894           2.071130269992253             -346.5358291592112            2546.49892674665              1.433503850512912e-05         0.017654026191888387          
2.0                           344.76471131557               -344.40752064685273           2.183649283425873             -346.5911699302786            2546.49892674665              2.5786872943706056e-05        0.01769025512226711           
2.5                           324.96011496170394            -344.6057240035603            2.058212162928137             -346.66393616648844           2546.49892674665              4.038046164533191e-05         0.017713261505757392          
3.0                           348.0637759919101             -344.54321076904284           2.2045446940639755            -346.74775546310684           2546.49892674665              5.7592837145818365e-05        0.017717524510105945          
3.5                           339.451953914773              -344.68760481537475           2.149999671065613             -346.83760448644034           2546.49892674665              7.769409089164273e-05         0.017720497023544408          
4.0                           367.32755001872704            -344.60997624792094           2.3265563877469564            -346.9365326356679            2546.49892674665              0.00010084131826867513        0.01770957697738322           
4.5                           378.9896201407001             -344.65105740427487           2.4004208820797284            -347.0514782863546            2546.49892674665              0.00012689328918000402        0.01767577073439296           
5.0                           401.5233578179898             -344.63479124791              2.54314366813332              -347.17793491604334           2546.49892674665              0.0001553591788409897         0.017622476225905827          
5.5                           426.87785737657435            -344.60637397101823           2.703732420333216             -347.31010639135144           2546.49892674665              0.00018713078744271773        0.017560479835911805          
6.0                           440.64759340788794            -344.6553309230729            2.790946317901228             -347.4462772409741            2546.49892674665              0.00022201990481746735        0.017489700034802592          
6.5                           474.16946850634065            -344.584298915477             3.00326508526726              -347.5875640007443            2546.49892674665              0.0002599670312399088         0.017403062467798575          
7.0                           497.5933047849338             -344.5822115530265            3.151625522475745             -347.73383707550227           2546.49892674665              0.00030194639512460094        0.017295339219013096          
7.5                           517.6402122940515             -344.60930263165375           3.2785973782963396            -347.8879000099501            2546.49892674665              0.0003477271566593404         0.017169565130534692          
8.0                           529.1061034826098             -344.6970106424678            3.3512193267034003            -348.0482299691712            2546.49892674665              0.0003957560359594751         0.017008603393594227          
8.5                           568.8348980889441             -344.6110412149944            3.602851094764744             -348.2138923097591            2546.49892674665              0.00044665543687819905        0.016826505829677443          
9.0                           593.862833908766              -344.61440011206156           3.76137147786903              -348.3757715899306            2546.49892674665              0.000501127450387292          0.016631860696632614          
9.5                           592.6686339516356             -344.77635271149103           3.7538077284623563            -348.53016043995336           2546.49892674665              0.0005581849029612095         0.01643083855979417           
10.0                          606.8600231344599             -344.83629324557              3.843692266533677             -348.67998551210366           2546.49892674665              0.0006182398535265003         0.016214760571959818          
