CMo16S32_2bf4d9
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.5488650306413            1.9001213393563952            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179315          
0.5                           312.79406464064004            -344.49168028467767           1.981155590159013             -346.4728358748367            2546.49892674665              1.567439679028e-06            0.017523262151828544          
1.0                           324.4382955094837             -344.47127647377727           2.0549070953399537            -346.5261835691172            2546.49892674665              6.221832814847508e-06         0.017529834940534             
1.5                           331.0453436980162             -344.5068659902982            2.0967544061839094            -346.6036203964821            2546.49892674665              1.4029544596758166e-05        0.017507516505470767          
2.0                           361.77094062957303            -344.4095162423946            2.2913622808309575            -346.7008785232256            2546.49892674665              2.495873441673737e-05         0.017454658420878604          
2.5                           364.0269776395649             -344.5056378799156            2.305651427714502             -346.8112893076301            2546.49892674665              3.8932226664080645e-05        0.017387295446891576          
3.0                           371.3702981738673             -344.5764003918724            2.3521620945443753            -346.9285624864168            2546.49892674665              5.561774823553595e-05         0.017319491774807856          
3.5                           405.8007526048513             -344.491776882854             2.570235565171211             -347.06201244802526           2546.49892674665              7.594590544061877e-05         0.017220029494213748          
4.0                           425.261387558171              -344.5181139529171            2.693494124345303             -347.2116080772624            2546.49892674665              9.910342213139328e-05         0.017103511762810903          
4.5                           430.7775715724449             -344.6393737084584            2.7284321875364315            -347.3678058959948            2546.49892674665              0.00012553917220901268        0.016968882661160884          
5.0                           455.066268315383              -344.6441571991366            2.8822704241578077            -347.5264276232944            2546.49892674665              0.00015518115173306367        0.016823703015566863          
5.5                           474.8347220736602             -344.68692789919845           3.00747862693175              -347.6944065261302            2546.49892674665              0.00018805609946573575        0.01666491554207729           
6.0                           507.74203937793703            -344.64764329082277           3.2159049463678446            -347.8635482371906            2546.49892674665              0.00022436302364736477        0.01650506612928883           
6.5                           549.1113906595978             -344.55305044059975           3.4779275702532257            -348.03097801085295           2546.49892674665              0.00026541034442767046        0.016352921166332985          
7.0                           566.9784985998813             -344.5998899973586            3.591093147152949             -348.19098314451156           2546.49892674665              0.0003107608701516167         0.016223882406636733          
7.5                           564.3182715360922             -344.7707342448076            3.5742439664481513            -348.34497821125575           2546.49892674665              0.00036027459370448526        0.01609241220465894           
8.0                           578.840894922165              -344.8244999413901            3.6662264551125294            -348.4907263965026            2546.49892674665              0.00041247842854384085        0.01596457271291883           
8.5                           602.0925683591455             -344.81737094860654           3.813496458023705             -348.6308674066302            2546.49892674665              0.0004681054564625749         0.015837503174744038          
9.0                           603.2469520550186             -344.94353720696114           3.820808021671484             -348.76434522863264           2546.49892674665              0.0005274882361779445         0.015706695854152918          
9.5                           613.4827582419827             -345.0053676699154            3.8856389342093722            -348.8910066041248            2546.49892674665              0.000590586511584127          0.015554703217074278          
