CMo16S32_53cc1a
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.9999999999999             -344.5488650306413            1.9001213393563947            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179326          
0.5                           310.03898627079127            -344.498993065102             1.96370564615185              -346.46269871125384           2546.49892674665              1.6394162155052551e-06        0.01751190170491321           
1.0                           322.54205297463915            -344.4486653010593            2.042896792323109             -346.4915620933824            2546.49892674665              6.5164899345189715e-06        0.01752539246485095           
1.5                           336.63903476173925            -344.40671915729905           2.1321833787037336            -346.5389025360028            2546.49892674665              1.479882581915676e-05         0.01752518198649598           
2.0                           337.2201786928791             -344.4689062196734            2.135864191986388             -346.6047704116598            2546.49892674665              2.6252021232854923e-05        0.017500242394962413          
2.5                           363.34408834145637            -344.37636099643754           2.301326185955322             -346.67768718239284           2546.49892674665              4.0880389223079976e-05        0.01747117434994795           
3.0                           389.15329980859065            -344.30345303534006           2.4647949641575337            -346.7682479994976            2546.49892674665              5.873656309799467e-05         0.017418811164065736          
3.5                           432.2810432615704             -344.12978782525704           2.7379547830018502            -346.8677426082589            2546.49892674665              8.037261585858835e-05         0.01736167960424115           
4.0                           436.94999370855584            -344.2162484349079            2.767526690924232             -346.98377512583215           2546.49892674665              0.0001052933401110417         0.017304438118177053          
4.5                           472.2880915494775             -344.1200763028045            2.9913489369235635            -347.111425239728             2546.49892674665              0.00013379680053595875        0.017239365264303926          
5.0                           493.04261907401576            -344.1285775976912            3.1228026723823463            -347.2513802700736            2546.49892674665              0.0001656079801935421         0.01715443035872722           
5.5                           543.0456563805747             -343.964748621684             3.439508799778434             -347.40425742146243           2546.49892674665              0.00020119007046883104        0.017049221777486252          
6.0                           551.9027442154465             -344.0641260071911            3.495607271777081             -347.55973327896817           2546.49892674665              0.00024069363586495468        0.01693136571548347           
6.5                           565.5422780144776             -344.12919410831387           3.58199650254512              -347.711190610859             2546.49892674665              0.0002848570754024998         0.016812335193767045          
7.0                           586.2026947748428             -344.15047252814              3.712854165099675             -347.8633266932397            2546.49892674665              0.00033207710306588527        0.01667877953725026           
7.5                           589.4343213427597             -344.2812051494181            3.7333224404414422            -348.01452758985954           2546.49892674665              0.0003827596263421001         0.016525305763416227          
