CMo16S32_51be61
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999983            -344.5488650306413            1.9001213393563943            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179326          
0.5                           325.17724629809373            -344.3971197763595            2.059587415880528             -346.45670719224              2546.49892674665              1.6145261917176165e-06        0.017449606382901297          
1.0                           323.3202388137637             -344.4327260366826            2.0478256173861276            -346.48055165406873           2546.49892674665              6.460239400092294e-06         0.01741796190984992           
1.5                           323.2261245976868             -344.46912497804317           2.047229522618446             -346.51635450066163           2546.49892674665              1.4397063487644805e-05        0.017353760760565037          
2.0                           300.635021477885              -344.66118558008924           1.904143398893325             -346.56532897898256           2546.49892674665              2.496802519623216e-05         0.017277152070549834          
2.5                           318.36547564029433            -344.6181499516032            2.0164434465949066            -346.6345933981981            2546.49892674665              3.813726061195718e-05         0.017188383229747518          
3.0                           328.9665727823548             -344.63713677371544           2.0835880162623037            -346.72072478997774           2546.49892674665              5.4170623415765765e-05        0.017087852243446226          
3.5                           357.8486861857078             -344.55930539253575           2.266519749607045             -346.8258251421428            2546.49892674665              7.288339003373038e-05         0.016966365805252213          
4.0                           385.5454207803864             -344.5059617763784            2.4419436043865095            -346.9479053807649            2546.49892674665              9.461062941985404e-05         0.01684596477696714           
4.5                           399.9299434631335             -344.55336674211617           2.533051399406322             -347.0864181415225            2546.49892674665              0.00011951582153798518        0.01670645490882416           
5.0                           425.55117987530605            -344.53763320485416           2.6953295928978696            -347.232962797752             2546.49892674665              0.00014753759077231623        0.01655836572621169           
5.5                           418.13283516745105            -344.7374327700311            2.6483437426242133            -347.3857765126553            2546.49892674665              0.00017793568909169315        0.016409117840386914          
6.0                           458.4651844004964             -344.6414844216459            2.9037982674378267            -347.5452826890837            2546.49892674665              0.00021187282581962356        0.016250752424968498          
6.5                           448.42344767350113            -344.8736183209472            2.8401965399739515            -347.7138148609211            2546.49892674665              0.0002488483190115011         0.016075653793750623          
7.0                           486.89306522274495            -344.79933807394644           3.0838530107146096            -347.88319108466106           2546.49892674665              0.00028868699349721827        0.015898041963943912          
7.5                           504.7659511254341             -344.8598900581178            3.1970551837132155            -348.056945241831             2546.49892674665              0.00033255811591069716        0.015709082651732084          
8.0                           507.5080268083431             -345.010404039424             3.2144227721106344            -348.2248268115346            2546.49892674665              0.00037982488358113113        0.015511019185525212          
8.5                           525.9338130070797             -345.0597280227716            3.331126870612761             -348.39085489338436           2546.49892674665              0.00042965358001856606        0.015307968791782851          
9.0                           543.9542940065163             -345.10593427662155           3.4452638722544138            -348.551198148876             2546.49892674665              0.0004832599102835079         0.015113105217803605          
9.5                           551.077453639991              -345.20686453948383           3.490380097665105             -348.6972446371489            2546.49892674665              0.0005408794353104275         0.014947742520405325          
10.0                          529.0808968538137             -345.4822097715967            3.3510596745258376            -348.83326944612253           2546.49892674665              0.0006016574872896372         0.014790512734277193          
10.5                          537.6703946689195             -345.55591050264127           3.4054633015019635            -348.96137380414325           2546.49892674665              0.0006643761663569796         0.014636334350577028          
11.0                          567.8717708155291             -345.4887152557359            3.59675089914897              -349.08546615488484           2546.49892674665              0.0007306917363904363         0.014468324323264212          
11.5                          558.8477884295287             -345.66292567753703           3.539595360823585             -349.2025210383606            2546.49892674665              0.0008009782796550853         0.01428543639714424           
12.0                          551.8891937242907             -345.8151062584846            3.4955214465190685            -349.3106277050037            2546.49892674665              0.0008738507441106122         0.014119295070870437          
12.5                          573.8546542841862             -345.7781204604834            3.6346449143145634            -349.41276537479797           2546.49892674665              0.0009484221501185965         0.013963678066380476          
13.0                          569.8150333320892             -345.90319310137215           3.6090590144012613            -349.51225211577344           2546.49892674665              0.0010254614773864547         0.013803984484852738          
13.5                          559.5896048534094             -346.0590916311523            3.5442938315465873            -349.6033854626989            2546.49892674665              0.0011057040378080355         0.013641855535006958          
14.0                          559.0649511833731             -346.1436909432162            3.540970812765895             -349.6846617559821            2546.49892674665              0.00118705452419389           0.013481997812156692          
14.5                          544.9491905084222             -346.3073106050124            3.451565285833489             -349.7588758908459            2546.49892674665              0.0012699686300876368         0.01330805735913407           
15.0                          570.0460618269356             -346.2165457997193            3.610522288311451             -349.8270680880308            2546.49892674665              0.0013552724448868982         0.013128183043677112          
15.5                          546.2803197332337             -346.43238871671304           3.459996309318506             -349.89238502603155           2546.49892674665              0.0014410487234409145         0.012937364269217315          
16.0                          535.1238383502854             -346.5649472099797            3.389334081492265             -349.954281291472             2546.49892674665              0.0015247708795226372         0.012740904767522659          
16.5                          544.6357297146774             -346.5621032195848            3.4495799073560014            -350.0116831269408            2546.49892674665              0.0016104310391209162         0.012545148582110055          
17.0                          544.6792576032759             -346.6127298469483            3.4498556015892787            -350.06258544853756           2546.49892674665              0.0016986508705239198         0.012341136724335247          
17.5                          533.7749979325176             -346.72541404902364           3.3807908799549753            -350.1062049289786            2546.49892674665              0.0017873796804625194         0.012171512404661371          
18.0                          522.863433184882              -346.8345766685925            3.311679889879137             -350.14625655847163           2546.49892674665              0.0018787689607820716         0.012000648994115399          
18.5                          514.7576180986716             -346.9224007747112            3.2603397824851856            -350.1827405571964            2546.49892674665              0.001973791910303392          0.011835856821487077          
19.0                          535.1308909941134             -346.8246821479876            3.3893787510890534            -350.2140608990766            2546.49892674665              0.002072314038260661          0.011690856867696374          
19.5                          552.1912409818234             -346.74373637671255           3.497434534650841             -350.2411709113634            2546.49892674665              0.00217277086143507           0.011542835259329191          
20.0                          556.8258051616955             -346.73536094910423           3.52678864897348              -350.2621495980777            2546.49892674665              0.002274846426008414          0.011388223643645327          
20.5                          546.2471716060818             -346.8184074094645            3.459786357772636             -350.27819376723716           2546.49892674665              0.0023793065439565823         0.011237773582467034          
21.0                          520.5270312290106             -346.9921384881333            3.2968817325002533            -350.2890202206336            2546.49892674665              0.002486111180527414          0.011109637270144466          
21.5                          520.3880108294372             -346.99976831041374           3.2960012137408023            -350.29576952415454           2546.49892674665              0.0025955636273117173         0.010979232522831736          
22.0                          515.8792915587762             -347.0297569072669            3.2674441680763007            -350.2972010753432            2546.49892674665              0.002709132969777574          0.010839147634822742          
22.5                          470.21985580740665            -347.3169086235593            2.9782492740291353            -350.2951578975884            2546.49892674665              0.002816936621006264          0.010702398190274723          
23.0                          458.7179017127564             -347.3870800422362            2.90539891263066              -350.2924789548669            2546.49892674665              0.002921882125929334          0.010570740036802926          
23.5                          461.7427943549569             -347.35970752917063           2.9245577894930177            -350.28426531866364           2546.49892674665              0.003027109226210604          0.010453923688620166          
24.0                          464.4571074161912             -347.334656348024             2.941749536724168             -350.27640588474816           2546.49892674665              0.003129133758524966          0.010332429598215802          
24.5                          452.4938993368194             -347.399935206962             2.8659777135282507            -350.2659129204903            2546.49892674665              0.0032330108329326856         0.010221697757822975          
25.0                          461.1136155557576             -347.3313693782163            2.92057273595092              -350.25194211416726           2546.49892674665              0.0033392720689651113         0.010128911149486665          
25.5                          466.06974572698175            -347.28399741806214           2.9519635649474907            -350.23596098300965           2546.49892674665              0.0034457381762281612         0.010049359764993658          
26.0                          448.3305769085468             -347.3808289778783            2.8396083208996443            -350.22043729877794           2546.49892674665              0.0035504148544326397         0.009964098157919588          
26.5                          461.9175996824683             -347.28384558080916           2.925664960603143             -350.2095105414123            2546.49892674665              0.0036528797014908215         0.009868232092724616          
27.0                          437.7402095682452             -347.4279890682479            2.772531710983211             -350.2005207792311            2546.49892674665              0.0037501597734550334         0.009771232290630316          
27.5                          437.3151145435087             -347.41940610956516           2.769839270557357             -350.18924538012254           2546.49892674665              0.003850056543150615          0.009672749670579081          
28.0                          437.79680388774653            -347.4019491752787            2.7728901645637802            -350.17483933984244           2546.49892674665              0.00394876497967678           0.009580760392420304          
28.5                          416.8566065545917             -347.5180675382003            2.640260445220242             -350.1583279834205            2546.49892674665              0.004047398623313823          0.009483523746585065          
29.0                          413.47102765766584            -347.523593158257             2.618817076193164             -350.14241023445015           2546.49892674665              0.004145584082391915          0.00937279606494852           
29.5                          424.0976963935948             -347.43718990558335           2.6861236096311973            -350.12331351521453           2546.49892674665              0.004247403263852338          0.00925987011291752           
30.0                          393.6145649904017             -347.60759373665735           2.493051448065823             -350.1006451847232            2546.49892674665              0.004351048460676938          0.009149384284692358          
30.5                          414.2324062178393             -347.45542332499787           2.623639448358211             -350.0790627733561            2546.49892674665              0.004454212574734963          0.009038307431834999          
31.0                          408.1039252925995             -347.4717929843021            2.5848232570785883            -350.0566162413807            2546.49892674665              0.004558281429005108          0.008936708974449774          
31.5                          389.2947741810325             -347.56855603242826           2.4656910257376965            -350.03424705816593           2546.49892674665              0.004659833513652632          0.00883436061970073           
32.0                          371.4202720505078             -347.66004772210346           2.3524786159757585            -350.0125263380792            2546.49892674665              0.004754223414387619          0.008740412290784818          
32.5                          352.31754549254686            -347.759935474615             2.2314869547335197            -349.9914224293485            2546.49892674665              0.004846065357615447          0.008657239162770978          
33.0                          341.1967681579756             -347.8107459960584            2.1610508669880204            -349.97179686304645           2546.49892674665              0.004934929691114347          0.00857979636885575           
33.5                          334.53412063978294            -347.8359621316774            2.118851404568261             -349.95481353624564           2546.49892674665              0.005016060843256259          0.008498564177567303          
34.0                          359.6143582942503             -347.6607286056256            2.2777030537795384            -349.9384316594051            2546.49892674665              0.005097389960383122          0.00843042863481996           
34.5                          353.02447661662427            -347.68677986662976           2.2359644711145688            -349.92274433774435           2546.49892674665              0.005180080269202758          0.008368162237695933          
35.0                          346.95794537691955            -347.7071107580891            2.197540652899785             -349.90465141098883           2546.49892674665              0.005260218886834045          0.008325132097484254          
35.5                          352.11913110756416            -347.6564958718741            2.2302302500437166            -349.8867261219178            2546.49892674665              0.005341936052399983          0.008274574599632493          
36.0                          345.918124348161              -347.67721443886444           2.1909546991469324            -349.86816913801135           2546.49892674665              0.005425224183635279          0.008228252378098683          
36.5                          320.12766474071094            -347.8222795372132            2.0276046903071827            -349.84988422752036           2546.49892674665              0.005506276148003382          0.008164415986310012          
