CMo16S32_d3b6d9
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.5488650306413            1.9001213393563952            -346.4489863699977            2546.49892674665              0.0                           0.01747126941817932           
0.5                           307.03797303635486            -344.4912908687888            1.944698015197038             -346.43598888398583           2546.49892674665              1.6904451918254625e-06        0.017493696621884738          
1.0                           317.53817778084334            -344.4348900431474            2.0112035588724173            -346.4460936020198            2546.49892674665              6.734650973164642e-06         0.017477559348215415          
1.5                           291.7905330115516             -344.6277066367921            1.8481247279914197            -346.4758313647835            2546.49892674665              1.4777166134842709e-05        0.01743296090239877           
2.0                           309.1476815270535             -344.5654995208786            1.9580603556070308            -346.5235598764856            2546.49892674665              2.5322743419354708e-05        0.017359424796239305          
2.5                           304.21882248241764            -344.65779380834476           1.926842254775723             -346.5846360631205            2546.49892674665              3.878879458230434e-05         0.017257043371731142          
3.0                           339.7338541566246             -344.50422014863807           2.1517851532826526            -346.65600530192074           2546.49892674665              5.5406325863882296e-05        0.017134769526291463          
3.5                           378.6678174900569             -344.3425244701294            2.3983826684679               -346.74090713859727           2546.49892674665              7.5680760878692e-05           0.017000389755354665          
4.0                           401.29629025467483            -344.3064849524805            2.541705481724885             -346.8481904342054            2546.49892674665              9.950084285488524e-05         0.01685592996815216           
4.5                           452.02451430578355            -344.1122731035539            2.863004751815432             -346.9752778553693            2546.49892674665              0.00012760862698749673        0.01668292909426863           
5.0                           447.6908073014903             -344.2768324229603            2.835556187957512             -347.11238861091783           2546.49892674665              0.00015916064949671839        0.01649146367715809           
5.5                           440.3693352210069             -344.46826728128855           2.789183903505417             -347.257451184794             2546.49892674665              0.00019366124684447244        0.016294606514277953          
6.0                           473.50051910238574            -344.4035249255048            2.999028135142579             -347.4025530606474            2546.49892674665              0.00023147842131576092        0.016108477632222052          
6.5                           488.7470639245156             -344.45804560814537           3.0955957523691877            -347.5536413605146            2546.49892674665              0.0002728879520102135         0.015928271254649656          
7.0                           520.2961016191008             -344.4137681414677            3.2954190849013236            -347.709187226369             2546.49892674665              0.0003176788788196297         0.01575202308092601           
7.5                           541.0260625462139             -344.43810865924945           3.42671722197343              -347.8648258812229            2546.49892674665              0.00036557949553073563        0.01556335464025295           
8.0                           555.230915756574              -344.50646650962824           3.5166870376648642            -348.0231535472931            2546.49892674665              0.0004166423612093963         0.015355078042839676          
8.5                           568.7250292336593             -344.5803377450164            3.602155214243219             -348.1824929592596            2546.49892674665              0.0004707104382966273         0.015142147702514734          
9.0                           574.0624286320735             -344.6935491479538            3.6359609025552024            -348.329510050509             2546.49892674665              0.0005289834230742861         0.01493018107379432           
9.5                           577.7503638231243             -344.80814216134075           3.6593193170707985            -348.46746147841156           2546.49892674665              0.0005897734955976657         0.014743013605805065          
10.0                          580.239459922955              -344.92451119345856           3.6750845991207894            -348.59959579257935           2546.49892674665              0.0006546973442285701         0.014563016040016008          
10.5                          581.173420338837              -345.03979533428094           3.6810000595085612            -348.7207953937895            2546.49892674665              0.0007228923866453269         0.014382309757845803          
11.0                          571.1739063281436             -345.21305736447124           3.617665759658855             -348.8307231241301            2546.49892674665              0.0007931463120966689         0.014198515765504354          
11.5                          529.548496713821              -345.576471439441             3.354021329433438             -348.93049276887444           2546.49892674665              0.0008643546037680589         0.014029238260099615          
12.0                          538.6116745148829             -345.61368661600204           3.4114251212407005            -349.02511173724275           2546.49892674665              0.0009363128679423812         0.013854934012591186          
12.5                          519.0946849800262             -345.82263410376356           3.287809626923445             -349.110443730687             2546.49892674665              0.0010086450261071822         0.013694120048457542          
