CMo16S32_ee0ce8
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.0                         -344.5488650306413            1.9001213393563954            -346.4489863699977            2546.49892674665              0.0                           0.01747126941817931           
0.5                           298.64093260085735            -344.5950564749948            1.8915133628006136            -346.4865698377954            2546.49892674665              1.6235428636577661e-06        0.017362866123629746          
1.0                           310.93233461887843            -344.5737497718722            1.9693638803507805            -346.543113652223             2546.49892674665              6.500545444306222e-06         0.017233587380493097          
1.5                           331.3397137749154             -344.51758848996184           2.0986188690665233            -346.61620735902835           2546.49892674665              1.468745251161033e-05         0.0170911000504083            
2.0                           347.9514692173234             -344.50263721068154           2.2038333724008203            -346.70647058308236           2546.49892674665              2.6221372794535037e-05        0.01692933183616945           
2.5                           349.68748963062626            -344.5912349186016            2.214828870510404             -346.806063789112             2546.49892674665              4.104538866392773e-05         0.016750289364534255          
3.0                           348.5980914328314             -344.70351821475975           2.2079289079681157            -346.91144712272785           2546.49892674665              5.8943532731629746e-05        0.01655617400933965           
3.5                           342.1930149046796             -344.86919664694256           2.167360832663609             -347.0365574796062            2546.49892674665              7.844621649429187e-05         0.016341875166761593          
4.0                           340.9142640515696             -345.026527824637             2.1592615600512275            -347.18578938468823           2546.49892674665              9.841851455449986e-05         0.016106767623903305          
4.5                           364.57287045875773            -345.0375838469402            2.309108969697001             -347.3466928166372            2546.49892674665              0.00012000260841280409        0.01586948979120607           
5.0                           392.7023432071403             -345.03212687539065           2.487273674477154             -347.5194005498678            2546.49892674665              0.00014433521313725225        0.015611794213585583          
5.5                           404.80771474252396            -345.1333638528804            2.5639459237278874            -347.6973097766083            2546.49892674665              0.0001718269625444737         0.015341017231141077          
6.0                           438.56146274840046            -345.09681070454167           2.7777333132919684            -347.8745440178336            2546.49892674665              0.00020177690641511357        0.015063402459575222          
6.5                           460.62034883300583            -345.1341881819916            2.9174485138646036            -348.0516366958562            2546.49892674665              0.00023506399213636827        0.014789958298557511          
7.0                           511.4009432607037             -344.98558487498923           3.239079484188841             -348.22466435917806           2546.49892674665              0.0002717446780406578         0.014508795806007405          
7.5                           500.8819668531695             -345.2214869046946            3.1724550457217               -348.39394195041626           2546.49892674665              0.00031025186684287634        0.014213152650503045          
8.0                           515.1140153952726             -345.2919376773454            3.262597109513721             -348.5545347868591            2546.49892674665              0.00035006248506968537        0.013923914561128644          
8.5                           503.8471020696913             -345.51416651110986           3.191235434718334             -348.7054019458282            2546.49892674665              0.00039205799011261404        0.013653264564446543          
9.0                           533.5371626240984             -345.46766232244613           3.379284493472376             -348.8469468159185            2546.49892674665              0.0004369913401567823         0.013397120713398868          
9.5                           529.0981967810126             -345.6302556882299            3.3511692477286377            -348.98142493595856           2546.49892674665              0.00048492585959588805        0.013152475376170003          
10.0                          496.41655335158345            -345.96033484938476           3.144172287443654             -349.10450713682843           2546.49892674665              0.0005342028170875512         0.01292465128426034           
10.5                          472.0432788065891             -346.22469020546885           2.989798357200535             -349.2144885626694            2546.49892674665              0.0005837299091665536         0.0127062575784865            
11.0                          498.56565031744486            -346.16226422209894           3.157784104127585             -349.3200483262265            2546.49892674665              0.0006333819026955649         0.012489326175659331          
11.5                          481.917377522195              -346.36799372156304           3.052338309455316             -349.42033203101835           2546.49892674665              0.0006833822962158334         0.01229310501195397           
12.0                          481.0992413788973             -346.4648561758125            3.0471564496407204            -349.5120126254532            2546.49892674665              0.0007346672426274276         0.01211199467535399           
12.5                          482.795351189421              -346.5405143291808            3.057899164456946             -349.59841349363774           2546.49892674665              0.0007863953109333587         0.01194525713273744           
13.0                          462.60188963407217            -346.748703271004             2.9299990737343085            -349.6787023447383            2546.49892674665              0.0008382316673051216         0.011776536135060927          
13.5                          430.94454904746493            -347.0235948494855            2.7294897790813564            -349.75308462856685           2546.49892674665              0.0008886641093920056         0.011623029837969449          
14.0                          425.9093999917416             -347.1234066542937            2.6975984651892895            -349.821005119483             2546.49892674665              0.0009367431870168399         0.01148152619913484           
14.5                          415.5253267244637             -347.25090729768505           2.631828467840639             -349.8827357655257            2546.49892674665              0.000987082408422685          0.011347203929218288          
15.0                          425.1252638685146             -347.24723331828886           2.692631952586943             -349.9398652708758            2546.49892674665              0.0010376861312836425         0.01121187303119405           
15.5                          425.1440130260564             -347.3003082433179            2.6927507048347437            -349.9930589481526            2546.49892674665              0.0010889568908884208         0.011069790069934207          
16.0                          411.13653065296586            -347.4318642344325            2.6040309842755174            -350.03589521870805           2546.49892674665              0.0011422857450560035         0.010929837562451881          
16.5                          418.0892259723316             -347.42889452669357           2.648067533416751             -350.0769620601103            2546.49892674665              0.0011943431645638628         0.010806772849624856          
17.0                          400.19480785478873            -347.5803930317965            2.534728981015055             -350.1151220128116            2546.49892674665              0.0012472262978042185         0.01068788218094026           
17.5                          390.9218952823302             -347.67366496961415           2.4759967841586725            -350.1496617537728            2546.49892674665              0.0012990040325761708         0.010581865270345645          
18.0                          388.0000897642877             -347.7221148205114            2.4574908341110664            -350.1796056546225            2546.49892674665              0.0013511752711568702         0.010488886548523231          
18.5                          372.4012460067805             -347.8462941202732            2.3586918478013144            -350.20498596807454           2546.49892674665              0.0014047902402053458         0.010407781380987536          
19.0                          388.77105570547025            -347.7655838980106            2.462373930233593             -350.2279578282442            2546.49892674665              0.0014574736670611246         0.010325806799494642          
19.5                          370.77956414951456            -347.90063942004366           2.3484205401258538            -350.2490599601695            2546.49892674665              0.0015107177557997255         0.010218945621107514          
20.0                          387.5789338009033             -347.81263015240717           2.454823342666987             -350.26745349507416           2546.49892674665              0.0015627664954453125         0.010118001010848723          
20.5                          383.07727904910286            -347.85685625037894           2.4263110418126166            -350.28316729219154           2546.49892674665              0.0016141128370682036         0.010024036781677773          
21.0                          408.5456004931441             -347.7099065626961            2.5876207119906525            -350.2975272746868            2546.49892674665              0.0016653698796327027         0.00993636845410089           
21.5                          405.2076884666226             -347.74090539869064           2.5664792524223596            -350.307384651113             2546.49892674665              0.001720462151362001          0.00986291417704935           
22.0                          382.9592908884757             -347.8887843938266            2.425563735739953             -350.31434812956655           2546.49892674665              0.0017760022760714535         0.009805639989372951          
22.5                          374.976263701531              -347.9450130821233            2.3750013347047               -350.320014416828             2546.49892674665              0.0018303775743031996         0.009755293731032415          
