CMo16S32_93b9c2
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000006            -344.5488650306413            1.9001213393563958            -346.4489863699977            2546.49892674665              0.0                           0.01747126941817932           
0.5                           294.96946808312936            -344.62550450406343           1.8682592692111974            -346.4937637732746            2546.49892674665              1.4229720978002698e-06        0.017491682233927847          
1.0                           292.547784809915              -344.70198671308003           1.8529209623292076            -346.55490767540925           2546.49892674665              5.632918828643209e-06         0.01749276531429944           
1.5                           307.8646449805835             -344.68422083412645           1.9499339385366248            -346.63415477266307           2546.49892674665              1.2684797630234923e-05        0.01747691744300035           
2.0                           311.14794544789714            -344.7620584947738            1.9707295028081633            -346.73278799758197           2546.49892674665              2.2429006190859767e-05        0.017433443533420086          
2.5                           337.2594963367334             -344.70803720024793           2.1361132196333905            -346.8441504198813            2546.49892674665              3.4810537472168775e-05        0.017371066357849543          
3.0                           362.63215130326665            -344.6759023651102            2.296816963426847             -346.97271932853704           2546.49892674665              5.041442919973912e-05         0.01728317733166303           
3.5                           397.9508540363208             -344.59644635599193           2.5205163658983842            -347.11696272189033           2546.49892674665              6.927352912259238e-05         0.017169686270979482          
4.0                           412.095384509729              -344.6639385450984            2.6101041131907166            -347.27404265828915           2546.49892674665              9.1284274219818e-05           0.017039261630182805          
4.5                           426.38914166598613            -344.7393217346449            2.7006370231646577            -347.4399587578095            2546.49892674665              0.00011633090487766072        0.016888094285824818          
5.0                           455.26177947199386            -344.7311464734172            2.883508740560336             -347.6146552139775            2546.49892674665              0.00014444091645968095        0.016719447651703242          
5.5                           473.6978485172693             -344.79020152569086           3.0002779679162552            -347.7904794936071            2546.49892674665              0.0001757513281750141         0.016540155165155605          
6.0                           482.121161102863              -344.91161008040183           3.053629021222775             -347.9652391016246            2546.49892674665              0.00020993754244954822        0.016351183309071215          
6.5                           515.6508705661729             -344.8754742819786            3.2659974094016255            -348.1414716913802            2546.49892674665              0.00024736508335205593        0.016160480623914297          
7.0                           525.8402802380078             -344.9844578004652            3.3305344585779526            -348.31499225904315           2546.49892674665              0.00028817299054392906        0.01597128912411661           
7.5                           535.5962616555315             -345.09067943855916           3.39232628683729              -348.4830057253965            2546.49892674665              0.0003317486347557395         0.015784906646763828          
8.0                           569.0221479700477             -345.0458975949948            3.604037086414334             -348.64993468140915           2546.49892674665              0.0003781781940989975         0.0155982765513823            
8.5                           590.7565018349502             -345.07124881658655           3.7416967850004146            -348.812945601587             2546.49892674665              0.00042847439599408543        0.015400629028926097          
9.0                           595.2641461083923             -345.19952494109094           3.7702470219143978            -348.9697719630053            2546.49892674665              0.0004819635133376127         0.01519637981331065           
9.5                           619.8495281084724             -345.1939242600199            3.925964385163001             -349.1198886451829            2546.49892674665              0.0005382009728344458         0.014991825634249467          
10.0                          624.0399375512833             -345.30884759810374           3.952505339839419             -349.2613529379432            2546.49892674665              0.0005979863686161879         0.014785206453737008          
10.5                          626.2550649501078             -345.4242102882097            3.966535375972417             -349.3907456641821            2546.49892674665              0.0006610204682368292         0.014585618048836265          
11.0                          639.2351731505131             -345.46166844368446           4.048747977901567             -349.510416421586             2546.49892674665              0.0007270145990284675         0.014386066759754448          
11.5                          647.3934365558843             -345.5214474691757            4.100420279197021             -349.6218677483727            2546.49892674665              0.0007955193481642639         0.014170316453995224          
12.0                          661.4937664756393             -345.5331216131527            4.189728071771994             -349.72284968492465           2546.49892674665              0.000866428063177926          0.01395196382416098           
12.5                          670.8638247561078             -345.5627935329591            4.249075564071099             -349.81186909703024           2546.49892674665              0.0009409058874931717         0.013732356211847324          
13.0                          670.8400679679218             -345.63946858245276           4.248925094803809             -349.88839367725654           2546.49892674665              0.0010174868062863905         0.013527239049225882          
13.5                          680.6968822258966             -345.64116006337156           4.3113555718359775            -349.95251563520753           2546.49892674665              0.0010976062021090536         0.01333251043323135           
14.0                          671.6581821173626             -345.75168404686127           4.254106815315082             -350.00579086217635           2546.49892674665              0.0011800865176152362         0.013151854924927693          
14.5                          666.0257353883644             -345.8316771085445            4.218432374573224             -350.05010948311775           2546.49892674665              0.0012624106655954245         0.012982349288115883          
15.0                          656.7791469079141             -345.9274135856427            4.159866907613388             -350.08728049325606           2546.49892674665              0.0013465579597740224         0.012821787143655325          
15.5                          679.8124053135024             -345.80937565736406           4.305753526984616             -350.1151291843487            2546.49892674665              0.00143328361762019           0.01267805120989772           
16.0                          665.1625634413838             -345.92292467406253           4.212965269786585             -350.1358899438491            2546.49892674665              0.0015214488808830986         0.012560464806056855          
16.5                          677.3188073699404             -345.86211531607796           4.2899597314368245            -350.1520750475148            2546.49892674665              0.0016104554083739766         0.012459093973547254          
17.0                          683.8227557599394             -345.83343264506505           4.331154035189857             -350.1645866802549            2546.49892674665              0.001700401459309124          0.012363888774222757          
17.5                          693.1685937436357             -345.78168973794413           4.39034812247982              -350.1720378604239            2546.49892674665              0.0017927897545880196         0.012272162253492752          
18.0                          714.4903977899938             -345.6476489783686            4.525394838686689             -350.17304381705526           2546.49892674665              0.0018890333728453378         0.012188354540465773          
18.5                          709.592455267945              -345.67465292872663           4.494372555003069             -350.1690254837297            2546.49892674665              0.001987009559039749          0.012109869154191573          
19.0                          685.5635623664291             -345.817348101956             4.342179847792137             -350.1595279497481            2546.49892674665              0.002086150768591066          0.012035918618675505          
19.5                          695.9621790838839             -345.7378515141811            4.408041959540883             -350.14589347372197           2546.49892674665              0.002186100695159452          0.011954835321360125          
20.0                          703.412602936276              -345.67290360336585           4.455230990704817             -350.1281345940707            2546.49892674665              0.0022882941871558565         0.011874623762487964          
20.5                          693.6918011371401             -345.71422103760324           4.393661980924176             -350.1078830185274            2546.49892674665              0.0023919583364428437         0.011794716659408221          
21.0                          680.2156702660889             -345.7756631935535            4.308307701457363             -350.08397089501085           2546.49892674665              0.002496930734607838          0.011711412977879561          
