CMo16S32_ccb9fc
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.9999999999998             -344.5488650306413            1.900121339356394             -346.4489863699977            2546.49892674665              0.0                           0.01747126941817933           
0.5                           301.4036419884498             -344.56384717385777           1.9090116396732957            -346.47285881353105           2546.49892674665              1.526089717507323e-06         0.01753919125091687           
1.0                           303.4181637488184             -344.59427057594223           1.921771092291543             -346.51604166823375           2546.49892674665              6.033862808130077e-06         0.017587545443427142          
1.5                           324.46338775156335            -344.51916299077186           2.0550660230220466            -346.5742290137939            2546.49892674665              1.3604186293181123e-05        0.017619907062405925          
2.0                           350.93069055758986            -344.4275787444301            2.2227029792118413            -346.6502817236419            2546.49892674665              2.44910436339018e-05          0.017641257485866483          
2.5                           372.4401064293952             -344.3870668301349            2.3589379795288696            -346.7460048096638            2546.49892674665              3.894324941892531e-05         0.017642175884513816          
3.0                           380.52036712595185            -344.45134331396537           2.4101162321191696            -346.8614595460845            2546.49892674665              5.638971172494334e-05         0.017612991792872935          
3.5                           388.63638442571795            -344.5299255158692            2.4615209576587405            -346.99144647352796           2546.49892674665              7.645952818038142e-05         0.01755235237151272           
4.0                           388.02641038183964            -344.677326270663             2.4576575420013183            -347.1349838126643            2546.49892674665              9.900182339909566e-05         0.01747371198630378           
4.5                           401.6485997305112             -344.7473419264582            2.5439369175685322            -347.29127884402675           2546.49892674665              0.0001237397095856174         0.017369988837944248          
5.0                           419.3398549572519             -344.80273781902656           2.655988689489633             -347.4587265085162            2546.49892674665              0.00015081661792330214        0.01723937260596254           
5.5                           447.7341503022536             -344.79730482818206           2.835830711159719             -347.63313553934177           2546.49892674665              0.0001806503242651262         0.01709351159060319           
6.0                           450.46213526962276            -344.9586707268506            2.8531090526595246            -347.8117797795101            2546.49892674665              0.00021293427324441995        0.01692985629579619           
6.5                           472.3446449209263             -345.0016372005537            2.991707131149905             -347.9933443317036            2546.49892674665              0.00024778849886775237        0.016754128167495504          
7.0                           503.04749090388964            -344.9911121988891            3.1861709072539095            -348.17728310614297           2546.49892674665              0.00028627109134604314        0.016563333195578733          
7.5                           524.3805996650066             -345.0398048165224            3.32128922455994              -348.36109404108237           2546.49892674665              0.0003279390625847607         0.0163641663792967            
8.0                           533.63272810665               -345.15866838342765           3.3798897801813834            -348.538558163609             2546.49892674665              0.00037273563728338694        0.016169478688630983          
8.5                           539.351744888915              -345.2909373949901            3.4161125329417805            -348.7070499279319            2546.49892674665              0.00041998835993456977        0.015987483718827186          
9.0                           550.0452097738386             -345.3809294781084            3.483842135673452             -348.86477161378184           2546.49892674665              0.00047076668024373944        0.015806086727623386          
9.5                           566.9318316938486             -345.42311486360086           3.5907975712063007            -349.01391243480714           2546.49892674665              0.0005253611154389415         0.015621843195779882          
10.0                          585.0613670308252             -345.45152581181486           3.70562529442765              -349.1571511062425            2546.49892674665              0.0005834915501053514         0.015431298428279394          
10.5                          603.4788664268248             -345.4720964576577            3.822276906494058             -349.29437336415174           2546.49892674665              0.0006452402897326997         0.01523977456633111           
11.0                          613.5540568361529             -345.53770971161543           3.8860905208102023            -349.42380023242566           2546.49892674665              0.0007098586384807444         0.015037492722069374          
11.5                          627.6784995660952             -345.56586109168114           3.9755510376024716            -349.54141212928363           2546.49892674665              0.0007778412629923766         0.01483398103627726           
12.0                          630.5797630684661             -345.65550553809527           3.9939268799089747            -349.64943241800427           2546.49892674665              0.0008488006335963665         0.014638184333646295          
12.5                          624.3056131870262             -345.79180595595955           3.954188059655493             -349.74599401561505           2546.49892674665              0.0009221084205238422         0.014440173381681923          
13.0                          604.5245922418036             -346.0026485711249            3.8289002596145822            -349.83154883073945           2546.49892674665              0.0009968528817303967         0.014241415813086168          
13.5                          605.5843252924807             -346.0714366232101            3.8356123308932912            -349.9070489541034            2546.49892674665              0.0010732323437579482         0.014048275208825631          
14.0                          618.5199758200372             -346.0554482272868            3.9175433495795144            -349.97299157686626           2546.49892674665              0.0011524746525102862         0.013859191964348372          
14.5                          614.6552283748116             -346.1367991379919            3.8930650526065267            -350.0298641905984            2546.49892674665              0.0012345268691969164         0.013672584436744127          
15.0                          626.6588241406776             -346.1078121931047            3.96909268081896              -350.07690487392364           2546.49892674665              0.0013196211349983257         0.01350102732222136           
15.5                          601.649776063093              -346.3041737716762            3.810691927721599             -350.1148656993978            2546.49892674665              0.0014066520674369998         0.013350836018921057          
16.0                          598.3538110505784             -346.3541662383889            3.7898161495414286            -350.14398238793035           2546.49892674665              0.0014937864130452            0.013231367358755186          
16.5                          591.0927934639593             -346.42315232120063           3.7438267680021715            -350.1669790892028            2546.49892674665              0.0015834186559221422         0.013126880893155793          
17.0                          580.7121493694052             -346.5063011606658            3.678078490134418             -350.1843796508002            2546.49892674665              0.0016741317339240363         0.013022449900623151          
17.5                          570.3884243204815             -346.58498196542143           3.612690722577391             -350.1976726879988            2546.49892674665              0.0017653505562341212         0.012923960571855088          
18.0                          575.7083933374092             -346.5585969567094            3.646386011423322             -350.2049829681327            2546.49892674665              0.0018590187627053258         0.012840533563271068          
18.5                          556.1144646481796             -346.6877591981698            3.522283204675879             -350.21004240284566           2546.49892674665              0.001952748973829131          0.012748957455570512          
19.0                          532.0307986956071             -346.84214090345455           3.369743579321166             -350.2118844827757            2546.49892674665              0.0020461498158129182         0.012647223988672124          
19.5                          524.1205543867636             -346.8921263810834            3.319642165951979             -350.2117685470354            2546.49892674665              0.0021377899112042043         0.012543970600870064          
20.0                          539.5141666052136             -346.7919369697088            3.417141269505493             -350.2090782392143            2546.49892674665              0.0022282979168210715         0.012450435900830564          
20.5                          546.0330786530164             -346.74679302225195           3.4584303491435517            -350.2052233713955            2546.49892674665              0.002319566300971925          0.012360409534049786          
21.0                          543.9636027466423             -346.75539112493107           3.4453228313736006            -350.20071395630464           2546.49892674665              0.002411321329587072          0.012253421750539574          
21.5                          540.2826254264567             -346.7731850814346            3.422008486187695             -350.19519356762225           2546.49892674665              0.0025030385917243565         0.012137259782122612          
22.0                          531.5241716501044             -346.822970118772             3.36653473645365              -350.18950485522566           2546.49892674665              0.0025941449037105314         0.012019055102835956          
22.5                          519.5655698274311             -346.8925618146462            3.2907920880798907            -350.18335390272614           2546.49892674665              0.002684317340565494          0.01189766617866763           
23.0                          516.7646370749909             -346.9047768971549            3.273051714436511             -350.1778286115914            2546.49892674665              0.002773486032242096          0.011763287752203179          
23.5                          524.5159590658942             -346.85111774518776           3.3221465555136374            -350.1732643007014            2546.49892674665              0.002862502237741507          0.011615668683418753          
24.0                          520.6022965491337             -346.8709312670549            3.2973584433031844            -350.1682897103581            2546.49892674665              0.002951675489680349          0.011465663185562842          
24.5                          520.9344567500053             -346.86094260388734           3.299462258922388             -350.16040486280974           2546.49892674665              0.0030434110171086402         0.011311749356791507          
25.0                          500.25717187289825            -346.98368905600944           3.1684977581392464            -350.1521868141487            2546.49892674665              0.0031355450965434234         0.011160834874415361          
25.5                          504.6150745135925             -346.9466089229364            3.196099570813982             -350.1427084937504            2546.49892674665              0.003226697431656216          0.011013180084625795          
26.0                          478.55801647095166            -347.10174824697594           3.031060997388415             -350.13280924436435           2546.49892674665              0.003317344833128424          0.010855266374573527          
26.5                          472.60632992882273            -347.13169600016676           2.9933645753755505            -350.1250605755423            2546.49892674665              0.0034065081130447146         0.010691386501705225          
27.0                          455.7819153752531             -347.231053100587             2.8868031449908305            -350.11785624557785           2546.49892674665              0.0034943184457902655         0.010528651839421635          
27.5                          450.59766523747896            -347.2591377392067            2.8539674639396773            -350.1131052031464            2546.49892674665              0.0035794180146488954         0.010356860268327085          
28.0                          454.1824441116745             -347.2318567708591            2.8766725133921205            -350.10852928425123           2546.49892674665              0.003664423352257565          0.010176668146523677          
28.5                          451.5189512641631             -347.24560833197984           2.859802648069522             -350.1054109800494            2546.49892674665              0.00374741762951126           0.00999569392771721           
29.0                          457.4865803315179             -347.20532849854135           2.8976000458570033            -350.10292854439837           2546.49892674665              0.0038319726925047405         0.009815472537769281          
29.5                          453.9631660912125             -347.2253800573792            2.8752836639056816            -350.1006637212849            2546.49892674665              0.003918868671020376          0.009635752105236478          
30.0                          437.5787223176604             -347.3268258036582            2.77150889308031              -350.0983346967385            2546.49892674665              0.004005868958376379          0.009461480180441005          
30.5                          440.1854622117185             -347.3074666905327            2.7880193000764817            -350.0954859906092            2546.49892674665              0.004095052400633882          0.009293701937324638          
