CMo16S32_b47f25
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.0000000000001             -344.5488650306413            1.900121339356396             -346.4489863699977            2546.49892674665              0.0                           0.017471269418179326          
0.5                           289.5906688331369             -344.5942151828442            1.834191365094448             -346.42840654793866           2546.49892674665              1.6686277626810417e-06        0.017503267941773763          
1.0                           282.77743078656135            -344.6371581785051            1.791038101753071             -346.4281962802582            2546.49892674665              6.5504748355057885e-06        0.017501385031270526          
1.5                           270.79471014106525            -344.7249078900279            1.7151426910795593            -346.44005058110747           2546.49892674665              1.4442331033583007e-05        0.017498338154724666          
2.0                           285.1783942399491             -344.6614867340765            1.8062451747290609            -346.46773190880555           2546.49892674665              2.5498173800542763e-05        0.017482515395109432          
2.5                           288.58956543928804            -344.6884451419791            1.827850638689267             -346.5162957806684            2546.49892674665              3.967640706491585e-05         0.01743834440879041           
3.0                           310.4009278584115             -344.6215109257696            1.9659980892659756            -346.58750901503555           2546.49892674665              5.7132432339874914e-05        0.01737613879105997           
3.5                           326.40817353708945            -344.60991525138417           2.0673837862605637            -346.67729903764473           2546.49892674665              7.799603567255512e-05         0.017293482643196155          
4.0                           352.184946756455              -344.5552106607097            2.230647109106787             -346.78585776981646           2546.49892674665              0.00010259254160527923        0.017189329999027576          
4.5                           371.5549109396447             -344.5561897853499            2.353331383396946             -346.90952116874683           2546.49892674665              0.00013069997306032442        0.017073157245814048          
5.0                           391.21236155394377            -344.5616020420212            2.4778365213621933            -347.0394385633834            2546.49892674665              0.00016254363435529992        0.01694006820275423           
5.5                           412.17524938666566            -344.5654509035238            2.6106099563804914            -347.1760608599043            2546.49892674665              0.0001982970287733992         0.016797013192348872          
6.0                           452.7316835540228             -344.453717402876             2.8674837764124854            -347.3212011792885            2546.49892674665              0.00023787421257225863        0.01664302417566376           
6.5                           472.6451572269513             -344.4851262893625            2.993610497301296             -347.4787367866638            2546.49892674665              0.0002813172616109422         0.016479072966049044          
7.0                           485.0427279299811             -344.57036873936454           3.072133459464651             -347.64250219882916           2546.49892674665              0.00032761506017679336        0.016306310634510872          
7.5                           498.3710243526862             -344.65266485227886           3.1565513942981496            -347.809216246577             2546.49892674665              0.0003766689835734509         0.016124338861532982          
8.0                           515.1493792318114             -344.7190261835598            3.2628210947818834            -347.98184727834166           2546.49892674665              0.0004276975847525413         0.01593380626015317           
8.5                           536.3951679599093             -344.7541703287013            3.3973863498942714            -348.15155667859557           2546.49892674665              0.0004823043408151467         0.01573589489986889           
9.0                           545.3329084211018             -344.86271326744446           3.4539956544807415            -348.3167089219252            2546.49892674665              0.0005407406622870433         0.015531330259228843          
9.5                           545.7098013571195             -345.01570169524007           3.456382795515341             -348.47208449075544           2546.49892674665              0.0006028286341921682         0.015321986805877002          
10.0                          568.9397455613735             -345.0158763333553            3.6035151711638793            -348.6193915045192            2546.49892674665              0.0006689284680263331         0.015122329405522467          
10.5                          585.1223268496965             -345.0539066196274            3.706011397936586             -348.759918017564             2546.49892674665              0.0007386624163681919         0.014931214604585475          
11.0                          605.4952588284337             -345.05944306016005           3.8350482072634358            -348.89449126742346           2546.49892674665              0.0008112445445994152         0.014751007584178306          
11.5                          629.1551530221816             -345.03620536839173           3.9849037734116184            -349.0211091418034            2546.49892674665              0.0008883419202675179         0.01457510255275986           
12.0                          629.4328465117597             -345.15195690155366           3.9866626111627776            -349.13861951271645           2546.49892674665              0.000970248833028767          0.014407185494694268          
12.5                          631.1096232078864             -345.2494297456171            3.9972828751015976            -349.24671262071865           2546.49892674665              0.0010545339670511437         0.01424188061585994           
13.0                          635.2239575720189             -345.3238138431984            4.023341990176715             -349.34715583337515           2546.49892674665              0.0011411795853745565         0.014075763562115711          
13.5                          613.4111842415907             -345.5522359953853            3.8851856032577463            -349.437421598643             2546.49892674665              0.001227745317015347          0.013906226208375566          
14.0                          619.3266672987058             -345.5947234380984            3.922652721889165             -349.5173761599876            2546.49892674665              0.00131504016475375           0.013718750315949756          
14.5                          627.141299902415              -345.6177023359844            3.972148555787625             -349.589850891772             2546.49892674665              0.001403278770673756          0.013515460437381208          
15.0                          644.0866939057834             -345.57725719922956           4.079476238286299             -349.65673343751587           2546.49892674665              0.0014947230181006311         0.013308813891799076          
15.5                          646.0518136305328             -345.62677786531134           4.091922791364254             -349.7187006566756            2546.49892674665              0.0015878671969386073         0.013105372301543869          
16.0                          623.3651814877046             -345.82368467867263           3.948231611855199             -349.7719162905278            2546.49892674665              0.0016827228655399635         0.01290877338077883           
16.5                          633.4414293375919             -345.8069007204714            4.012051923722582             -349.818952644194             2546.49892674665              0.00177782776597736           0.012712993027502626          
17.0                          622.4145753331171             -345.91848473067114           3.9422107217230153            -349.86069545239417           2546.49892674665              0.0018737189741289454         0.012526249239902568          
17.5                          612.780625821305              -346.01407021338065           3.881191811557427             -349.89526202493806           2546.49892674665              0.001970311291103084          0.012352358619786022          
18.0                          604.6716042409054             -346.0947913120315            3.829831395070031             -349.9246227071015            2546.49892674665              0.002068821068582683          0.012188141470995192          
18.5                          611.4915193561658             -346.077764476071             3.8730269492137164            -349.95079142528476           2546.49892674665              0.0021662020051818184         0.01202271745809255           
19.0                          613.754116291398              -346.08510189160637           3.8873576449437066            -349.9724595365501            2546.49892674665              0.002263574661656574          0.01186013277223978           
19.5                          622.5540955539748             -346.04786150625324           3.943094406219426             -349.99095591247266           2546.49892674665              0.0023619044603136775         0.011700320670075549          
20.0                          610.4762772214295             -346.1386673650644            3.8665966717309628            -350.0052640367954            2546.49892674665              0.002460774535822853          0.011549677203213616          
20.5                          601.2795810339674             -346.2071627756434            3.8083472094730477            -350.0155099851164            2546.49892674665              0.00256024087892032           0.011397543781134839          
21.0                          594.3285658716637             -346.25858325718804           3.7643213020061044            -350.02290455919416           2546.49892674665              0.0026612173143838705         0.011241740387583006          
21.5                          587.9719320998412             -346.3038718853812            3.7240600504183927            -350.02793193579964           2546.49892674665              0.0027637001467219445         0.01108767352954708           
22.0                          562.2515287769725             -346.4691863122471            3.5611537597162726            -350.03034007196334           2546.49892674665              0.0028655778188779327         0.010941125364392672          
22.5                          546.2097570824965             -346.571258853853             3.4595493839904154            -350.0308082378434            2546.49892674665              0.0029668568304570234         0.010790890746869319          
23.0                          521.6474726741463             -346.72706644552295           3.303978314831592             -350.0310447603545            2546.49892674665              0.0030647172693598094         0.010652283014856968          
23.5                          497.39264742922984            -346.8783550066166            3.150354611397505             -350.0287096180141            2546.49892674665              0.0031639122894647803         0.010520231270890653          
24.0                          498.62375833178135            -346.86684189264935           3.1581521450543466            -350.0249940377037            2546.49892674665              0.0032643300752211685         0.010397198966387971          
24.5                          490.1600605419393             -346.91715763205997           3.104545302453205             -350.0217029345132            2546.49892674665              0.003362449803009171          0.010279938496378727          
25.0                          481.15039603020386            -346.9717936032458            3.0474804497892367            -350.0192740530351            2546.49892674665              0.003458778537618096          0.01016542019442258           
