CMo16S32_0516b6
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.54886503064137           1.9001213393563952            -346.4489863699978            2546.49892674665              0.0                           0.01747126941817933           
0.5                           311.2819891333837             -344.5048261067056            1.9715785003654933            -346.47640460707106           2546.49892674665              1.6757782407874088e-06        0.017460700179433197          
1.0                           313.816278490226              -344.5361742973084            1.987630024655626             -346.523804321964             2546.49892674665              6.7381858597087165e-06        0.017434699628805114          
1.5                           322.3178553515303             -344.54800576759266           2.0414767833634353            -346.58948255095606           2546.49892674665              1.499681911986102e-05         0.01739119679475897           
2.0                           345.0851167190472             -344.48803116760354           2.1856786472405134            -346.6737098148441            2546.49892674665              2.6702654769627487e-05        0.01733005323677436           
2.5                           365.3599039954354             -344.4615964576317            2.3140938337564356            -346.7756902913881            2546.49892674665              4.181063832158533e-05         0.01724917611047645           
3.0                           370.69611506729814            -344.5474539437592            2.3478919955196234            -346.8953459392788            2546.49892674665              6.005550486943581e-05         0.017143445474766806          
3.5                           389.6732897516202             -344.56108457447175           2.4680884441142044            -347.02917301858594           2546.49892674665              8.117438087723506e-05         0.01701516220308575           
4.0                           400.60580752511424            -344.6451342577525            2.5373321451619013            -347.1824664029144            2546.49892674665              0.00010537560555447125        0.01688005541522325           
4.5                           417.0603850908825             -344.7011662982965            2.641551125037939             -347.3427174233345            2546.49892674665              0.0001323964806638911         0.016729707056351205          
5.0                           453.24050888542723            -344.63604911763133           2.8707065426465075            -347.50675566027786           2546.49892674665              0.00016283253868290572        0.016565034235910558          
5.5                           466.5197220692816             -344.72299685401816           2.9548135971148555            -347.67781045113304           2546.49892674665              0.00019758352640998156        0.01638328376044527           
6.0                           478.4711128500777             -344.8237408583139            3.0305105726401154            -347.85425143095404           2546.49892674665              0.00023509836426631459        0.016182065061974348          
6.5                           488.1444577468924             -344.9399655526539            3.091779002844755             -348.0317445554987            2546.49892674665              0.00027543928557262776        0.01597050557259105           
7.0                           498.17788331325124            -345.0483224321114            3.155328089596363             -348.20365052170774           2546.49892674665              0.0003190810717432553         0.015752470416508558          
7.5                           518.4727905218498             -345.0918416226432            3.2838707104874167            -348.3757123331306            2546.49892674665              0.00036571273015838755        0.015530071786508505          
8.0                           537.4206829300291             -345.1444399670289            3.403881692822785             -348.5483216598517            2546.49892674665              0.00041578186480760286        0.015297195430938973          
8.5                           559.4741180589342             -345.17340334220296           3.5435623684712674            -348.71696571067423           2546.49892674665              0.00046833091596646553        0.015060853604695739          
9.0                           564.8637921563165             -345.29961209702196           3.577699151019976             -348.87731124804196           2546.49892674665              0.0005249141467979341         0.014826522691849807          
9.5                           565.1195309378215             -345.4494372334205            3.579318933406771             -349.0287561668273            2546.49892674665              0.0005842296893778586         0.014604320235913458          
10.0                          589.0871734750264             -345.44021994903284           3.7311236968701347            -349.171343645903             2546.49892674665              0.0006458695056075386         0.01438960801115608           
10.5                          589.2563253600026             -345.5732511706026            3.732195060557587             -349.3054462311602            2546.49892674665              0.0007112970364747218         0.014175651026139097          
11.0                          590.384319968098              -345.6914374172922            3.7393394826426567            -349.43077689993487           2546.49892674665              0.0007790501538127004         0.01396188455786243           
11.5                          612.4489134602173             -345.6701631554953            3.8790908324379907            -349.5492539879333            2546.49892674665              0.0008493488480819857         0.013735947962182082          
12.0                          609.1181089543011             -345.80099251169054           3.8579943900416045            -349.65898690173213           2546.49892674665              0.0009214061820565479         0.013515352190473189          
12.5                          603.7566375658505             -345.9358829585638            3.8240362360564584            -349.7599191946203            2546.49892674665              0.000995347385258495          0.013308361642801858          
13.0                          599.6694975460372             -346.0518784764614            3.7981493628278424            -349.8500278392892            2546.49892674665              0.001071117628171398          0.01310651970008901           
13.5                          616.3668102673023             -346.0277185798896            3.903905763533119             -349.93162434342275           2546.49892674665              0.0011496962015599816         0.012899208486648843          
14.0                          610.5424130880754             -346.1385257565458            3.867015558969331             -350.00554131551513           2546.49892674665              0.0012281543027757877         0.012697125227562509          
14.5                          606.9907386882134             -346.2266271314482            3.8445201845772523            -350.0711473160255            2546.49892674665              0.0013081260041029907         0.012509708005665122          
15.0                          597.9060917346376             -346.33872039625743           3.7869804127872246            -350.12570080904464           2546.49892674665              0.0013887214796525083         0.012347731853496987          
15.5                          600.5153063756204             -346.36820898718594           3.8035064941815335            -350.17171548136747           2546.49892674665              0.0014727574996818305         0.012204288866469558          
16.0                          591.4608342256043             -346.46219938429533           3.746157841685354             -350.2083572259807            2546.49892674665              0.0015590786094145555         0.012073506801189413          
16.5                          601.5304720343759             -346.42758633074936           3.8099362872854763            -350.23752261803486           2546.49892674665              0.0016485132024102655         0.011963573592517615          
17.0                          568.7502425389147             -346.65735499472567           3.6023149087077244            -350.2596699034334            2546.49892674665              0.001740067591453967          0.011859352641126907          
17.5                          575.316478854655              -346.6297545779225            3.643903727850374             -350.27365830577287           2546.49892674665              0.001833524515439047          0.01176059818323636           
18.0                          554.3834272846697             -346.77269660223664           3.5113192678971177            -350.28401587013377           2546.49892674665              0.0019274731470462056         0.011670487200627166          
18.5                          548.9789854834304             -346.81232535535673           3.477088950584303             -350.289414305941             2546.49892674665              0.002024907624206162          0.011584438924151669          
19.0                          531.1688751107141             -346.92727198592047           3.3642843813326664            -350.2915563672531            2546.49892674665              0.0021235906023560026         0.01148855780818816           
19.5                          536.8450657475105             -346.8891520532179            3.4002358845167726            -350.28938793773466           2546.49892674665              0.002223465267681469          0.01139266781827711           
20.0                          529.6755807153086             -346.92791767197065           3.3548262461771623            -350.2827439181478            2546.49892674665              0.0023244423065854106         0.011305562273479447          
20.5                          518.8947449945281             -346.9887192528664            3.286543259479993             -350.2752625123464            2546.49892674665              0.0024266728533793845         0.01121567333100922           
21.0                          495.28606929793796            -347.12566626856886           3.1370120978632077            -350.26267836643206           2546.49892674665              0.0025299992882338957         0.01112585091187661           
21.5                          486.25556916251855            -347.16743963084383           3.0798152778219703            -350.2472549086658            2546.49892674665              0.0026337496954872194         0.011042087782056433          
22.0                          477.9178775828602             -347.2010878201283            3.027006525517034             -350.22809434564533           2546.49892674665              0.0027391947318425097         0.010967558774950717          
22.5                          480.89071235375155            -347.16130674453717           3.0458356814722047            -350.2071424260094            2546.49892674665              0.0028442740759653602         0.010910596210772236          
23.0                          483.54808097176834            -347.1224663486502            3.0626667575309705            -350.1851331061812            2546.49892674665              0.002951712429516542          0.010858495770263705          
23.5                          476.8207817886351             -347.14326814390324           3.020057808417283             -350.1633259523205            2546.49892674665              0.0030600575614081354         0.010803562241291649          
24.0                          459.92461627284365            -347.22867106180325           2.9130419262511063            -350.14171298805434           2546.49892674665              0.003165640421267153          0.010737165297119147          
24.5                          446.89517267334173            -347.28850629606694           2.8305168468399255            -350.1190231429069            2546.49892674665              0.003269997918416422          0.010678106388388958          
25.0                          440.0489357298628             -347.3096973021433            2.7871545771379442            -350.09685187928125           2546.49892674665              0.003375265722022866          0.010612351863247391          
25.5                          452.4612597987284             -347.21054297415355           2.865770983252139             -350.0763139574057            2546.49892674665              0.0034758083242300846         0.01054956900822254           
26.0                          436.7564342401325             -347.29034193525627           2.7663007360029463            -350.0566426712592            2546.49892674665              0.003573031371204804          0.010476958613766782          
26.5                          430.11231359760467            -347.3137387530872            2.7242186179558616            -350.03795737104303           2546.49892674665              0.003667925506075036          0.010399673716554654          
27.0                          395.40247216357477            -347.51707976816334           2.504375583307605             -350.02145535147093           2546.49892674665              0.0037615134046512398         0.010321564134613156          
27.5                          390.83908747896595            -347.5304130415021            2.475472301244547             -350.00588534274664           2546.49892674665              0.0038510474346394926         0.01023590545005368           
28.0                          392.66335761828714            -347.50763133181704           2.487026749979463             -349.9946580817965            2546.49892674665              0.003939144763444717          0.010128504290665774          
28.5                          393.557848047882              -347.49307752951944           2.4926922178232074            -349.98576974734266           2546.49892674665              0.0040263104237453365         0.010021848934029414          
29.0                          378.57323064265313            -347.57812603845895           2.3977835801773186            -349.97590961863625           2546.49892674665              0.004111347034771028          0.00991209827819841           
29.5                          397.76915897236705            -347.4473941655756            2.5193655570041367            -349.96675972257975           2546.49892674665              0.004193251054064801          0.009794616127803798          
30.0                          382.02562517704564            -347.5392048805301            2.4196501419329075            -349.958855022463             2546.49892674665              0.004275725103097786          0.009672903479294092          
30.5                          392.8917645770545             -347.461636247874             2.488473419767501             -349.9501096676415            2546.49892674665              0.0043615862763651606         0.009540748141949006          
31.0                          411.6696226955191             -347.332076908613             2.607407449495172             -349.93948435810813           2546.49892674665              0.004450303870852544          0.009404446152422924          
31.5                          412.75821115303904            -347.31363011344104           2.6143022833548746            -349.92793239679594           2546.49892674665              0.004542885167698358          0.00927972188897299           
32.0                          411.95859316860515            -347.30709829413746           2.6092377127030213            -349.9163360068405            2546.49892674665              0.004635414515238565          0.009150034720581696          
32.5                          414.20595905662225            -347.2816690821928            2.6234719389735646            -349.9051410211664            2546.49892674665              0.004725645473610633          0.009015648344591285          
33.0                          397.55318317830745            -347.3757761907235            2.51799762295388              -349.8937738136774            2546.49892674665              0.004812639853891243          0.00887484429399968           
33.5                          392.60663661003827            -347.39568470480015           2.486667493985585             -349.8823521987857            2546.49892674665              0.004895979033100981          0.008746485873129458          
34.0                          378.8077755122288             -347.4739882208522            2.399269125883043             -349.8732573467353            2546.49892674665              0.0049810081928861605         0.00862488765291935           
34.5                          357.65549259474824            -347.600240774002             2.265296112057681             -349.86553688605966           2546.49892674665              0.005065084028070803          0.00851507453303913           
35.0                          373.511591182348              -347.48905920343725           2.3657244830084716            -349.8547836864457            2546.49892674665              0.0051506798991870755         0.008390516444746858          
35.5                          373.23278206144056            -347.47966910698557           2.3639585791409936            -349.8436276861266            2546.49892674665              0.005238108941296883          0.008265248858666486          
36.0                          366.29484488739485            -347.5131404303568            2.3200155042225994            -349.83315593457945           2546.49892674665              0.005324899972914388          0.00813703713529528           
36.5                          362.59369435038076            -347.5274618895467            2.296573387170763             -349.8240352767175            2546.49892674665              0.005409839815181293          0.008008610143825479          
37.0                          351.62181490129626            -347.5865552149935            2.227080379590592             -349.81363559458407           2546.49892674665              0.005494775282185113          0.007881772362664508          
37.5                          327.9137538625348             -347.72482735388803           2.0769197372755435            -349.8017470911636            2546.49892674665              0.005580950478763824          0.007758324066848323          
38.0                          332.2095187105807             -347.68544422038264           2.104127985464307             -349.7895722058469            2546.49892674665              0.005663745270403752          0.0076503098371378695         
38.5                          331.3765230794978             -347.67776397016945           2.0988520095502694            -349.77661597971974           2546.49892674665              0.005749634486430185          0.007546976642771346          
39.0                          338.19007486560184            -347.6236680406787            2.1420072600355566            -349.76567530071424           2546.49892674665              0.005833045951748608          0.007445134389030085          
