CMo16S32_3d2c91
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.54886503064137           1.900121339356395             -346.4489863699978            2546.49892674665              0.0                           0.01747126941817931           
0.5                           307.82230682166               -344.46515059395716           1.9496657797391594            -346.41481637369634           2546.49892674665              1.4280583799959143e-06        0.01757482356319492           
1.0                           313.06794897308674            -344.4173883140723            1.9828903017076707            -346.40027861578              2546.49892674665              5.690253436637269e-06         0.017654305934684453          
1.5                           314.17964056608616            -344.4144823105892            1.9899314647698085            -346.40441377535905           2546.49892674665              1.2720802622896751e-05        0.01770983760149954           
2.0                           313.9076880905868             -344.43844151501355           1.988208989096518             -346.42665050411006           2546.49892674665              2.2367098752307192e-05        0.017763713996652313          
2.5                           337.14717854248573            -344.33121865817486           2.1354018281745923            -346.4666204863494            2546.49892674665              3.472656629039158e-05         0.01779621562665075           
3.0                           340.7582961448943             -344.3683706774582            2.158273700225466             -346.5266443776837            2546.49892674665              4.979852025906726e-05         0.017798106236457507          
3.5                           350.2697930130677             -344.38948918822103           2.218517027453592             -346.6080062156746            2546.49892674665              6.740512312322221e-05         0.017769699921728107          
4.0                           356.8453100629364             -344.4442414026841            2.2601646283327828            -346.7044060310169            2546.49892674665              8.71215138940086e-05          0.01770701398810178           
4.5                           358.8717371743157             -344.54209691455867           2.2729994863227234            -346.8150964008814            2546.49892674665              0.00010853559691850925        0.017621305520098184          
5.0                           376.2476577461206             -344.5623310256213            2.3830540112208842            -346.9453850368422            2546.49892674665              0.00013174182204621208        0.01751714404872957           
5.5                           367.3278185436758             -344.7554289854746            2.326558088513574             -347.0819870739882            2546.49892674665              0.00015715665397661511        0.017421047818881995          
6.0                           363.65854225599446            -344.9169098031556            2.303317854599515             -347.2202276577551            2546.49892674665              0.0001839377400213548         0.01732910548249878           
6.5                           369.51603285063527            -345.02582207753983           2.3404176641793697            -347.3662397417192            2546.49892674665              0.00021179165850148673        0.017218897169146694          
7.0                           397.0389717533346             -345.00097651658166           2.5147407426154404            -347.5157172591971            2546.49892674665              0.00024166134403580538        0.017097265755017906          
7.5                           428.10538467755725            -344.95437228131533           2.7115072563973497            -347.66587953771267           2546.49892674665              0.0002746670096680124         0.016969320032357318          
8.0                           445.6101427747207             -344.99445769386267           2.822377804399656             -347.8168354982623            2546.49892674665              0.0003108941487305152         0.016845586119883228          
8.5                           451.195236772507              -345.10767953742675           2.8577523253580064            -347.9654318627847            2546.49892674665              0.00035007662021718723        0.01670522030489661           
9.0                           477.6225866425241             -345.0907011772278            3.0251362301268627            -348.11583740735466           2546.49892674665              0.0003917300172480388         0.016542239875648665          
9.5                           487.4132237816624             -345.18214099989615           3.0871475586401025            -348.26928855853623           2546.49892674665              0.00043613246141258245        0.01636884259192514           
10.0                          493.7780712365489             -345.29415107360967           3.1274608335426963            -348.42161190715234           2546.49892674665              0.0004812812275288997         0.016185205014902927          
10.5                          490.53088783661985            -345.4650918096452            3.1068940253059996            -348.5719858349512            2546.49892674665              0.0005281169066649725         0.015979159900889228          
11.0                          511.54152531694945            -345.4775837656664            3.2399698940721846            -348.7175536597386            2546.49892674665              0.0005769821093439459         0.015774967911946807          
11.5                          522.8665775464797             -345.5458373010583            3.3116998054410387            -348.85753710649936           2546.49892674665              0.0006279745071863272         0.01558109009153314           
12.0                          518.609692910401              -345.7054491784754            3.2847378143204002            -348.9901869927958            2546.49892674665              0.0006810193314468731         0.01538721060435519           
12.5                          513.7272217237844             -345.8606439279599            3.2538135220187905            -349.1144574499787            2546.49892674665              0.0007366427445535734         0.015182753522624557          
13.0                          522.8561112633662             -345.91628418763725           3.3116335147480798            -349.2279177023853            2546.49892674665              0.000794686056847651          0.014973349228848661          
13.5                          538.7184909194314             -345.92190982013636           3.4121016683396204            -349.334011488476             2546.49892674665              0.0008567306972663214         0.014779372201711223          
14.0                          531.4668270314968             -346.0645876462654            3.3661715306752713            -349.4307591769407            2546.49892674665              0.0009220565883737094         0.01458842733279937           
14.5                          530.2785964237917             -346.16001358868186           3.358645589562682             -349.51865917824455           2546.49892674665              0.0009886438218498809         0.014399233485185231          
