CMo16S32_96abb7
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000006            -344.54886503064137           1.9001213393563956            -346.4489863699978            2546.49892674665              0.0                           0.017471269418179284          
0.5                           305.140297287592              -344.55860428904975           1.9326786345790266            -346.4912829236288            2546.49892674665              1.5520741135113323e-06        0.017469843803389             
1.0                           301.5418490203078             -344.6387480542               1.9098870067749039            -346.5486350609749            2546.49892674665              6.175077052156372e-06         0.01744801659559506           
1.5                           303.54805483509205            -344.6935830392894            1.9225937883742787            -346.6161768276637            2546.49892674665              1.3799038896818945e-05        0.017420418389425603          
2.0                           316.5998797074213             -344.69691172911473           2.00526062489913              -346.70217235401384           2546.49892674665              2.405982675791111e-05         0.017383393316321244          
2.5                           322.1381266447334             -344.7732979585744            2.0403384288598363            -346.81363638743426           2546.49892674665              3.689277576285569e-05         0.017326887743009254          
3.0                           320.0703936546539             -344.91398827887446           2.027241950264699             -346.94123022913914           2546.49892674665              5.1907535292986745e-05        0.017248613594311304          
3.5                           338.1435615394468             -344.9385327722002            2.1417126568235845            -347.08024542902376           2546.49892674665              6.906416467183102e-05         0.017145754543435116          
4.0                           356.66779330245265            -344.97094683660134           2.2590402837171544            -347.22998712031847           2546.49892674665              8.858781756799946e-05         0.01703195628139553           
4.5                           363.0601592411822             -345.0852659786695            2.2995278534810044            -347.3847938321505            2546.49892674665              0.0001103069461927793         0.01691783373675265           
5.0                           377.17512838190385            -345.16243757322354           2.388928367043145             -347.5513659402667            2546.49892674665              0.00013410594923164465        0.016791248403176372          
5.5                           393.40904896429333            -345.2299655620752            2.4917497634431958            -347.7217153255184            2546.49892674665              0.0001604395228837388         0.016640558803282992          
6.0                           424.2462137433079             -345.20542418850954           2.687064279582713             -347.89248846809227           2546.49892674665              0.00019037158455158105        0.01646560439260223           
6.5                           456.4383917670585             -345.1704511599707            2.8909610943270074            -348.0614122542977            2546.49892674665              0.00022377474721626525        0.016286083179815614          
7.0                           478.50102382128745            -345.2011362332247            3.030700020889037             -348.2318362541137            2546.49892674665              0.00026095604088442693        0.016093675098065773          
7.5                           488.6539811939228             -345.2998441998941            3.0950061907601047            -348.3948503906542            2546.49892674665              0.00030163846224599486        0.015887178243405502          
8.0                           487.38889447539566            -345.468603567176             3.0869934631934055            -348.55559703036937           2546.49892674665              0.0003438228483443557         0.0156727408077778            
8.5                           511.1947164007055             -345.4706151865911            3.237773297330737             -348.70838848392185           2546.49892674665              0.0003888699676056503         0.015448979605572304          
9.0                           545.8755696206078             -345.3977689500898            3.457432728231482             -348.8552016783213            2546.49892674665              0.0004392677800606643         0.015231196913706687          
9.5                           547.4807594986578             -345.528639375563             3.4675995800348205            -348.9962389555978            2546.49892674665              0.0004925381482315994         0.015006989138236579          
10.0                          557.4658337737476             -345.5963921702118            3.5308424223853434            -349.1272345925971            2546.49892674665              0.000550009231307407          0.014777684264197594          
10.5                          561.0444064498321             -345.69599257653914           3.5535081634062293            -349.24950073994535           2546.49892674665              0.000609946874699697          0.014549800852517801          
11.0                          561.6089549657721             -345.80986145641924           3.5570838656803616            -349.3669453220996            2546.49892674665              0.000671654245517425          0.014314574098298801          
11.5                          567.2987572786657             -345.88365974377126           3.5931215816518565            -349.47678132542313           2546.49892674665              0.0007359320720599096         0.014080107492774795          
12.0                          576.2307218576404             -345.93417895642153           3.6496943033148077            -349.5838732597363            2546.49892674665              0.0008022103612357749         0.013837196719707713          
12.5                          570.970236768425              -346.06776694870007           3.616375770070193             -349.68414271877026           2546.49892674665              0.0008704691663698774         0.013589598543391528          
