CMo16S32_fb9f5e
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999983            -344.5488650306413            1.9001213393563943            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179315          
0.5                           294.8118834168898             -344.63302720403505           1.867261169254274             -346.5002883732893            2546.49892674665              1.5164720908360245e-06        0.017421481087427693          
1.0                           289.00992836454367            -344.73741281324106           1.8305131072377754            -346.56792592047884           2546.49892674665              5.935225288651492e-06         0.01735215165621891           
1.5                           314.7288430580119             -344.6623338545853            1.9934099693515943            -346.6557438239369            2546.49892674665              1.3088851509541553e-05        0.01726509720942784           
2.0                           349.3920757795351             -344.5521462457512            2.212957796635738             -346.76510404238695           2546.49892674665              2.3137508821302636e-05        0.017157873931528966          
2.5                           358.5984195239833             -344.6116346783779            2.2712683639899924            -346.8829030423679            2546.49892674665              3.6556385079652966e-05        0.017033143527109374          
3.0                           363.15994939136885            -344.7015425136319            2.300159898127095             -347.001702411759             2546.49892674665              5.25508377130128e-05          0.016908400858920633          
3.5                           375.82306321804293            -344.75144904072704           2.3803647408096364            -347.13181378153666           2546.49892674665              7.07142911175185e-05          0.01677587368480026           
4.0                           383.537615138497              -344.8450538092257            2.429226689901729             -347.2742804991274            2546.49892674665              9.109582350733767e-05         0.01662656005382376           
4.5                           401.3251402558845             -344.887340554768             2.5418882100680147            -347.429228764836             2546.49892674665              0.00011371428059128468        0.016450806307446518          
5.0                           432.26034665508644            -344.8580739513692            2.7378236961230753            -347.5958976474923            2546.49892674665              0.00013881020748950185        0.01625688663446876           
5.5                           452.94883234018437            -344.8998981377962            2.868859139887155             -347.76875727768333           2546.49892674665              0.0001669439250798905         0.016052989906288267          
6.0                           473.2112354716927             -344.9498305222637            2.9971958884765577            -347.94702641074025           2546.49892674665              0.00019726768057436276        0.015848207459670315          
6.5                           471.51208410536384            -345.1353010502143            2.986433909243364             -348.1217349594577            2546.49892674665              0.00022980073840762799        0.015644544023668307          
7.0                           512.8023961340415             -345.0514881337517            3.247955919224612             -348.29944405297636           2546.49892674665              0.00026367123176419496        0.015426832073506966          
7.5                           521.9890365401008             -345.163657607183             3.3061416907997687            -348.4697992979828            2546.49892674665              0.00030130890882077517        0.015226086114279442          
8.0                           530.5108173958174             -345.27185335899475           3.3601164163106554            -348.6319697753054            2546.49892674665              0.00034259270912196353        0.015028480185916307          
8.5                           569.6275164993883             -345.17792169899695           3.60787133195025              -348.7857930309472            2546.49892674665              0.0003872322036274646         0.014824290356323225          
9.0                           561.5528652559535             -345.3761633073119            3.5567286081652125            -348.9328919154771            2546.49892674665              0.0004356731221336598         0.014607064828646536          
9.5                           569.2634038493592             -345.46164688649435           3.6055651378960833            -349.0672120243904            2546.49892674665              0.00048765699172975544        0.014396662617997963          
10.0                          596.6858360804142             -345.4084051778046            3.779251633427024             -349.1876568112316            2546.49892674665              0.0005429700308840006         0.014199153598061003          
10.5                          612.7453964778397             -345.4169419255658            3.880968678133127             -349.29791060369894           2546.49892674665              0.0006026901668353371         0.013981041278171917          
11.0                          632.8079322763531             -345.3897571879311            4.008039519440984             -349.39779670737204           2546.49892674665              0.000665859481083976          0.013756128691068127          
11.5                          620.925368024902              -345.55539596641745           3.9327784731061315            -349.48817443952356           2546.49892674665              0.0007314940869336552         0.013538402937159341          
12.0                          604.1155168112664             -345.7446312973602            3.8263092830980145            -349.57094058045817           2546.49892674665              0.0007979006197701326         0.013339823757327784          
12.5                          600.2517057771643             -345.84493573862267           3.801836917107554             -349.6467726557302            2546.49892674665              0.0008661137561890835         0.013141045569665133          
13.0                          606.417671857756              -345.87158386780976           3.840890529532488             -349.71247439734225           2546.49892674665              0.0009381575000955182         0.012936478995096957          
13.5                          589.8464687403812             -346.034011877126             3.735932873992044             -349.76994475111803           2546.49892674665              0.0010108249240935521         0.012738291268358959          
14.0                          571.0703333377                -346.20746172079544           3.617009755494446             -349.8244714762899            2546.49892674665              0.0010825274831504218         0.01253687120943373           
14.5                          580.1685500209522             -346.198734885374             3.6746354743942318            -349.8733703597682            2546.49892674665              0.0011540683766823423         0.012335103368247747          
15.0                          537.2754748492897             -346.5162604606347            3.4029619829132525            -349.919222443548             2546.49892674665              0.0012243000417328414         0.01215336384024874           
15.5                          531.7939579760268             -346.5894345515232            3.3682434923034887            -349.95767804382666           2546.49892674665              0.0012924002144823444         0.012000152592518345          
16.0                          543.0817984693049             -346.5511141655735            3.4397377142919185            -349.99085187986543           2546.49892674665              0.0013611596137306392         0.011861942759308013          
16.5                          545.8882409650495             -346.56062144316513           3.4575129852047213            -350.0181344283699            2546.49892674665              0.0014319797730249374         0.011749885557581803          
17.0                          543.3328693048551             -346.59529299167286           3.441327931132982             -350.03662092280587           2546.49892674665              0.0015053605021133813         0.011677052831247007          
17.5                          542.0709211914742             -346.6164634157409            3.43333508266833              -350.04979849840925           2546.49892674665              0.0015804810392694003         0.011613490070391613          
18.0                          547.9572578447003             -346.5886842158081            3.4706175956197653            -350.0593018114279            2546.49892674665              0.0016561416826477106         0.011564130350782529          
18.5                          529.6879750570605             -346.7103052100346            3.354904748687996             -350.0652099587226            2546.49892674665              0.001731479427429735          0.011513259297208313          
19.0                          515.1243519874358             -346.8033830810734            3.262662578778206             -350.06604565985157           2546.49892674665              0.001805603751800539          0.011468926404898093          
19.5                          517.0903923787291             -346.78838430466305           3.275114963116649             -350.0634992677797            2546.49892674665              0.0018804883424333708         0.011433437498932846          
20.0                          501.2223907730687             -346.8810138515103            3.1746112015704595            -350.0556250530808            2546.49892674665              0.0019579782644933456         0.0114051131308362            
20.5                          498.72876200849703            -346.88562181193896           3.1588172108104744            -350.04443902274943           2546.49892674665              0.002038002883473917          0.011384650100890915          
21.0                          470.12348623201547            -347.05195250242537           2.977638894406917             -350.0295913968323            2546.49892674665              0.0021177678605904353         0.011376817034778932          
21.5                          505.39777354515155            -346.81274480117094           3.2010569812545118            -350.01380178242545           2546.49892674665              0.002198336196141528          0.011394615277682285          
22.0                          518.2416843790962             -346.71579310996515           3.282406944775742             -349.9982000547409            2546.49892674665              0.002278789227281458          0.011403722033228265          
22.5                          498.0912510660747             -346.82810277188196           3.154779383657908             -349.98288215553987           2546.49892674665              0.002359420010966785          0.011405504342770751          
23.0                          497.9674456089147             -346.8132413610102            3.1539952323543132            -349.96723659336453           2546.49892674665              0.0024418149090174555         0.01139505660882763           
23.5                          440.5358424136232             -347.16372335984477           2.7902385164049055            -349.95396187624965           2546.49892674665              0.0025226352576257502         0.011370010650351975          
24.0                          439.075174756113              -347.16216510777963           2.780987030452429             -349.94315213823205           2546.49892674665              0.0025990253401363943         0.011349979668899954          
24.5                          423.5870826027775             -347.25128849516335           2.682889515764192             -349.93417801092755           2546.49892674665              0.002673099480358489          0.011342579969334661          
25.0                          416.77210220746804            -347.28538081377417           2.6397252168427823            -349.925106030617             2546.49892674665              0.0027469612071365393         0.011325251124121279          
25.5                          398.39492747908844            -347.3943933134458            2.523329010647865             -349.91772232409363           2546.49892674665              0.002818447305359017          0.011287996582871085          
26.0                          394.39630188117945            -347.412084793002             2.49800276455892              -349.9100875575609            2546.49892674665              0.002890703570497317          0.01124077243165688           
26.5                          393.59877039075326            -347.4092464850149            2.492951409213028             -349.9021978942279            2546.49892674665              0.0029635730803576235         0.011187308236699278          
27.0                          382.7890804872677             -347.469349920334             2.424485667688234             -349.8938355880223            2546.49892674665              0.0030368198228605484         0.011118119511634028          
27.5                          370.2556322684245             -347.54446551000694           2.3451020929670925            -349.889567602974             2546.49892674665              0.0031069393270715365         0.011041157030552461          
28.0                          361.2659953226784             -347.5982589018689            2.28816408965483              -349.8864229915238            2546.49892674665              0.003176573491868107          0.010975019296983253          
28.5                          356.6853128654585             -347.6250589595087            2.2591512480355664            -349.88421020754424           2546.49892674665              0.003244704400416022          0.010911782673374849          
29.0                          361.1592159905914             -347.5930697294026            2.2874877773631606            -349.88055750676574           2546.49892674665              0.0033120491082299403         0.010858983900652076          
29.5                          341.18271912842107            -347.7192631959848            2.1609618841185076            -349.88022508010334           2546.49892674665              0.003374281210653366          0.010800875442546222          
30.0                          336.67658762549405            -347.74949258772943           2.132421228696315             -349.88191381642577           2546.49892674665              0.003436087846210012          0.010744273635871429          
30.5                          336.0609973809814             -347.75530148426424           2.128522241496655             -349.8838237257609            2546.49892674665              0.003498848028348083          0.010692504193379188          
31.0                          334.42950565878743            -347.77103460463053           2.118188800708908             -349.88922340533946           2546.49892674665              0.0035605944138700197         0.010655243101460243          
31.5                          329.83637446362445            -347.8043802715555            2.089097112047599             -349.8934773836031            2546.49892674665              0.003624337942125777          0.010627327667383812          
32.0                          315.76253042981403            -347.8973983465308            1.9999570741295425            -349.89735542066035           2546.49892674665              0.0036883281631710117         0.010597955153924329          
32.5                          312.6245566239779             -347.91808815710874           1.9800819708268405            -349.8981701279356            2546.49892674665              0.0037553260588751693         0.010555810661226345          
