CMo16S32_547bc4
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.5488650306413            1.9001213393563952            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179315          
0.5                           281.76626992280666            -344.6262087889544            1.7846336739705966            -346.41084246292496           2546.49892674665              1.5759857552566433e-06        0.017493112863677163          
1.0                           276.457250055632              -344.64068319758513           1.7510077341683112            -346.39169093175343           2546.49892674665              6.072190224267953e-06         0.017488888011874846          
1.5                           288.7628954943743             -344.56202051464925           1.828948465810671             -346.39096898045995           2546.49892674665              1.3514676829413443e-05        0.017463265108523047          
2.0                           289.86011637399787            -344.57232827368216           1.835897975168538             -346.4082262488507            2546.49892674665              2.3875159719860602e-05        0.01740948487186266           
2.5                           292.65108920804425            -344.5898772845474            1.8535752653003232            -346.44345254984773           2546.49892674665              3.6939468487211e-05           0.017330515769838795          
3.0                           332.09591559143695            -344.39523985785894           2.103408453094632             -346.49864831095357           2546.49892674665              5.286270504277329e-05         0.017211011366032713          
3.5                           362.7311478200989             -344.27723621505834           2.2974439814073633            -346.5746801964657            2546.49892674665              7.218328630391779e-05         0.01707244290062289           
4.0                           368.880523680326              -344.32480914794667           2.3363925157264984            -346.6612016636732            2546.49892674665              9.511767128115931e-05         0.01694012142582388           
4.5                           363.81726731638156            -344.4588306272199            2.3043231775139557            -346.76315380473386           2546.49892674665              0.00012054549354464625        0.01680030934126847           
5.0                           381.19031205475017            -344.4681036420287            2.4143594876371806            -346.8824631296659            2546.49892674665              0.00014832431095643784        0.016647488175989003          
5.5                           403.2405894355406             -344.4646918443932            2.5540201629370722            -347.0187120073303            2546.49892674665              0.0001789318300305145         0.016479547852791678          
6.0                           422.8183619976853             -344.4866426574468            2.67802064101173              -347.16466329845855           2546.49892674665              0.00021297760297214733        0.01631427818582089           
6.5                           458.0355091212721             -344.4152290333731            2.901076816881                -347.31630585025414           2546.49892674665              0.00025032053614366793        0.016153157439569233          
7.0                           472.9973882793355             -344.47968584962496           2.99584143643136              -347.4755272860563            2546.49892674665              0.0002905150851935429         0.01598885967138849           
7.5                           497.7522421268042             -344.4849653049054            3.15263218992544              -347.63759749483086           2546.49892674665              0.00033390950215195057        0.01583863926156645           
8.0                           515.4408199861141             -344.5348441974607            3.264667004103246             -347.799511201564             2546.49892674665              0.0003816656724436501         0.015684238895367884          
8.5                           506.1270494450586             -344.7529716443982            3.205676023586818             -347.958647667985             2546.49892674665              0.0004329179605220959         0.015528086143664216          
9.0                           499.97845145556846            -344.9477851957124            3.1667324160969708            -348.1145176118094            2546.49892674665              0.0004851569426582204         0.015374852263262927          
9.5                           480.502657133923              -345.22163174224954           3.043377841458722             -348.26500958370826           2546.49892674665              0.000538960246220748          0.015218330168460484          
10.0                          494.1930603548897             -345.2776136648038            3.13008926580723              -348.40770293061104           2546.49892674665              0.0005944942087633294         0.01506588666224093           
10.5                          503.11586909902394            -345.3576780359514            3.186603996812981             -348.5442820327644            2546.49892674665              0.0006528846023622595         0.014893938704340142          
11.0                          486.76440557813453            -345.5906521147873            3.083038114260482             -348.6736902290478            2546.49892674665              0.0007115902202924407         0.014718938776324797          
11.5                          486.13831377946303            -345.71622684677703           3.0790726129703097            -348.79529945974735           2546.49892674665              0.000772575781360928          0.014546411006663257          
12.0                          540.6484133038161             -345.48973279029406           3.4243252906925234            -348.9140580809866            2546.49892674665              0.000837829647521552          0.01436589933423361           
12.5                          532.1359463169018             -345.6597778669536            3.3704095567845145            -349.03018742373814           2546.49892674665              0.0009056456708593826         0.014180977025140595          
13.0                          558.0812346763249             -345.6092966647834            3.534740210342831             -349.14403687512623           2546.49892674665              0.0009772814313382364         0.013998988462621799          
13.5                          567.5081107116804             -345.65728346726075           3.594447571403652             -349.2517310386644            2546.49892674665              0.0010509174580218292         0.013809612129023013          
14.0                          587.1624638484298             -345.6370764027758            3.7189330907582647            -349.35600949353403           2546.49892674665              0.001127625885936961          0.013618050233975163          
14.5                          567.7135135875866             -345.8573143881671            3.5957485393625674            -349.45306292752963           2546.49892674665              0.0012043405854577148         0.01343415342369391           
15.0                          536.059204465758              -346.1472703131737            3.395258445212666             -349.54252875838637           2546.49892674665              0.0012800152037902596         0.013247829828128355          
15.5                          545.8381822766762             -346.1654602814754            3.4571959265980605            -349.62265620807347           2546.49892674665              0.00135517460928777           0.013064387776916474          
16.0                          532.5936309876986             -346.316631976304             3.373308411483439             -349.68994038778743           2546.49892674665              0.0014331119455473394         0.012863875676791868          
16.5                          531.3749502419255             -346.3815742770343            3.3655896071804183            -349.74716388421473           2546.49892674665              0.001513942847835911          0.012676836632290597          
17.0                          543.9100773623857             -346.3531601577672            3.444983815624189             -349.7981439733914            2546.49892674665              0.0015948724695120646         0.01249650049940972           
17.5                          550.1386734552195             -346.35856631837714           3.484434110124941             -349.8430004285021            2546.49892674665              0.0016779073898853913         0.01233161968284671           
18.0                          521.2287671721381             -346.58155333853574           3.3013263439673524            -349.8828796825031            2546.49892674665              0.001759772663573472          0.012182009018940091          
18.5                          506.5130642851772             -346.7101105518966            3.20812094037021              -349.91823149226684           2546.49892674665              0.0018433397044815638         0.012047518681856372          
19.0                          476.787367155794              -346.92793072282007           3.0198461688942557            -349.94777689171434           2546.49892674665              0.001925034491414228          0.01193522163940768           
19.5                          480.3471718127617             -346.93241089013156           3.042393038203071             -349.9748039283346            2546.49892674665              0.0020072770378107936         0.011823654716085609          
20.0                          482.7894078140092             -346.94296766774505           3.057861520675454             -350.0008291884205            2546.49892674665              0.002089789391757121          0.011696442084798475          
20.5                          467.283529142653              -347.0690815967757            2.9596513508457365            -350.0287329476214            2546.49892674665              0.0021711127896000704         0.0115640088087066            
21.0                          453.4707589580407             -347.18195388278633           2.872164886234378             -350.0541187690207            2546.49892674665              0.002251071922473836          0.011458603326220064          
21.5                          456.33451555214265            -347.18737544848597           2.890303169618297             -350.07767861810424           2546.49892674665              0.0023323601259241165         0.01134896130452164           
22.0                          453.0994989648917             -347.2271664068848            2.869813422782939             -350.09697982966776           2546.49892674665              0.002414624371166048          0.011253612799627333          
22.5                          448.8917604524126             -347.2704805273063            2.8431627103229613            -350.1136432376293            2546.49892674665              0.002493461302981929          0.011167029395437553          
23.0                          452.07359582762484            -347.2656300749777            2.863315621305494             -350.1289456962832            2546.49892674665              0.002572337143302313          0.011081668717265736          
