CMo16S32_bb6539
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000017            -344.5488650306413            1.9001213393563965            -346.4489863699977            2546.49892674665              0.0                           0.01747126941817931           
0.5                           304.67731155453777            -344.52255204819704           1.9297462043417135            -346.45229825253875           2546.49892674665              1.6448195089082486e-06        0.017488165865731594          
1.0                           314.96991711946634            -344.4739037647385            1.9949368692467109            -346.4688406339852            2546.49892674665              6.525194930420598e-06         0.0175007500892389            
1.5                           325.86445400659716            -344.43890307123326           2.063940009318853             -346.5028430805521            2546.49892674665              1.4663249239377042e-05        0.017495868167672644          
2.0                           338.34252270704286            -344.4173445435053            2.142972824691093             -346.56031736819637           2546.49892674665              2.5885628410351693e-05        0.01746761057555635           
2.5                           351.110382784849              -344.40962808669155           2.223841102663613             -346.6334691893552            2546.49892674665              4.056526148542968e-05         0.01742521386544632           
3.0                           365.8353177012155             -344.40133737875084           2.3171049795143532            -346.7184423582652            2546.49892674665              5.836777555024945e-05         0.01736474789206908           
3.5                           360.3104681829978             -344.5287926391297            2.2821120312933587            -346.81090467042304           2546.49892674665              7.86677870181498e-05          0.017311603459329823          
4.0                           358.05557002186544            -344.64204441933913           2.267830097579882             -346.909874516919             2546.49892674665              0.00010146657890520003        0.017269252037150573          
4.5                           379.8409502774149             -344.61070199087163           2.4058129839450917            -347.01651497481674           2546.49892674665              0.0001272115499656167         0.01721480686603451           
5.0                           406.1047293699863             -344.55901348110143           2.572160874298216             -347.13117435539965           2546.49892674665              0.0001571642928726406         0.017143709068837488          
5.5                           402.33846694632814            -344.71002164505296           2.5483063556288528            -347.25832800068184           2546.49892674665              0.00018981731611429262        0.017049855398987183          
6.0                           414.22032248602216            -344.7700428007288            2.6235629131692613            -347.39360571389807           2546.49892674665              0.0002249709834357138         0.01694321113189205           
6.5                           431.5338118845479             -344.8008052549587            2.7332220153854596            -347.53402727034415           2546.49892674665              0.00026220171706214246        0.016818096590298186          
7.0                           430.3073827000873             -344.9537711960026            2.7254541345034498            -347.67922533050603           2546.49892674665              0.00030219831801666345        0.016684909952147327          
7.5                           436.14796642916855            -345.0669938695439            2.762446860429866             -347.8294407299738            2546.49892674665              0.0003442625761029728         0.016534259017960778          
8.0                           430.15693129790844            -345.2557617085994            2.7245012147707293            -347.9802629233701            2546.49892674665              0.0003892224760809949         0.016384327988106913          
8.5                           444.5607303272521             -345.3155302399761            2.8157311011155852            -348.1312613410917            2546.49892674665              0.0004371018753889153         0.016209049998604168          
9.0                           487.8315404014478             -345.1897211600879            3.0897970664263084            -348.2795182265142            2546.49892674665              0.0004885538860403651         0.016014318348935113          
9.5                           484.0509753547553             -345.362347418741             3.0658519586928237            -348.4281993774338            2546.49892674665              0.000541880408932699          0.015803234144503894          
10.0                          494.10964213434175            -345.43969792837953           3.1295609166707155            -348.56925884505023           2546.49892674665              0.000598111470588954          0.01560726443443409           
10.5                          521.6650023373553             -345.4039990186482            3.304089343122042             -348.70808836177025           2546.49892674665              0.000659571579996573          0.015416845392286835          
