CMo16S32_c2aad6
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.9999999999999             -344.5488650306413            1.9001213393563945            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179308          
0.5                           290.3490792094182             -344.6282747933883            1.8389949375609862            -346.4672697309493            2546.49892674665              1.4127065187158745e-06        0.017377781266559398          
1.0                           295.6091038625911             -344.62726460984226           1.8723105545244345            -346.4995751643667            2546.49892674665              5.68563169255785e-06          0.01727218713124899           
1.5                           292.2896593929458             -344.70008056314197           1.8512860636191624            -346.55136662676114           2546.49892674665              1.271776424775182e-05         0.017155812771820444          
2.0                           291.76460925098047            -344.7697230576419            1.847960533689228             -346.6176835913311            2546.49892674665              2.2293947503509298e-05        0.017039411042768026          
2.5                           291.9811323017784             -344.8411965267653            1.8493319339201737            -346.69052846068547           2546.49892674665              3.4320765277362615e-05        0.016933318122309974          
3.0                           305.2134449678068             -344.8535058912361            1.9331419328060284            -346.7866478240422            2546.49892674665              4.90134317532072e-05          0.016790994653239088          
3.5                           318.3765740762496             -344.8783591124189            2.0165137411782132            -346.89487285359706           2546.49892674665              6.622197493824557e-05         0.01662121982335742           
4.0                           338.72433089001277            -344.8672838621905            2.1453910976110997            -347.0126749598016            2546.49892674665              8.632298169024584e-05         0.01641990856282587           
4.5                           362.1549181056485             -344.8400886642038            2.2937942934847015            -347.1338829576885            2546.49892674665              0.00010927218242217125        0.016219540402922842          
5.0                           358.5886518897263             -344.98570059242456           2.271206498355703             -347.25690709078026           2546.49892674665              0.00013500212315316714        0.016007226304946554          
5.5                           392.38879078634164            -344.89592286867503           2.485287715657933             -347.38121058433296           2546.49892674665              0.00016335383417708272        0.015790960945920144          
6.0                           409.1761091687762             -344.91894343904954           2.591614188621379             -347.51055762767095           2546.49892674665              0.0001950910683774172         0.015575105926459025          
6.5                           415.8641846376969             -345.0083603560559            2.6339747050137863            -347.6423350610697            2546.49892674665              0.00022997914466530795        0.015351964395501976          
7.0                           468.35043644415947            -344.8110689335706            2.9664088619480955            -347.7774777955187            2546.49892674665              0.0002675480745647698         0.01512610958443794           
7.5                           477.48059151238533            -344.8843722129189            3.0242368702039917            -347.9086090831229            2546.49892674665              0.0003096163502217967         0.014896221479520584          
8.0                           512.1208357123802             -344.79667882157503           3.2436390942204145            -348.04031791579547           2546.49892674665              0.00035354684425617934        0.014671588953773967          
8.5                           511.6697343764275             -344.9340790315475            3.2407819366382284            -348.1748609681857            2546.49892674665              0.0004000271027746707         0.014442695311343139          
9.0                           544.6949512788593             -344.8519450954904            3.449955001215509             -348.30190009670594           2546.49892674665              0.00045023264829370145        0.014225085594457761          
