CMo16S32_fbdf4e
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000017            -344.5488650306413            1.9001213393563965            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179322          
0.5                           307.07519904586525            -344.5163310737013            1.9449337949805372            -346.46126486868184           2546.49892674665              1.676873863948045e-06         0.017510725358910007          
1.0                           297.82113898958187            -344.603206124573             1.8863210050184382            -346.4895271295914            2546.49892674665              6.573243137155704e-06         0.0175327574061496            
1.5                           326.86328411061373            -344.4669109371727            2.070266337302298             -346.537177274475             2546.49892674665              1.4663204766816196e-05        0.01752637695730128           
2.0                           343.23768406041387            -344.43495467018175           2.1739774931815363            -346.6089321633633            2546.49892674665              2.6136091548729086e-05        0.017497435925210133          
2.5                           359.6206699186861             -344.41648289630325           2.2777430299537933            -346.69422592625705           2546.49892674665              4.1014814085902596e-05        0.01743915753616727           
3.0                           379.8071914525718             -344.3877440126529            2.4055991644001717            -346.79334317705303           2546.49892674665              5.903979429048517e-05         0.0173624990858192            
3.5                           367.9820759747147             -344.56604818952405           2.3307019835340723            -346.89675017305814           2546.49892674665              7.962367433191666e-05         0.017267291324959595          
4.0                           389.38832344255667            -344.53683012177004           2.4662835422313734            -347.00311366400143           2546.49892674665              0.00010317636197731347        0.017149386413031053          
4.5                           384.3859873089565             -344.6860913664072            2.434600056784416             -347.1206914231916            2546.49892674665              0.00012888457163908612        0.017024861824158966          
5.0                           374.8452023283966             -344.87491273265204           2.37417122633184              -347.2490839589839            2546.49892674665              0.00015689448923295025        0.01689435207822518           
5.5                           399.8553958195106             -344.85676222727267           2.5325792341781668            -347.38934146145084           2546.49892674665              0.00018662873617579113        0.016746354461984515          
6.0                           417.6585966105973             -344.89422737585954           2.6453400399514684            -347.539567415811             2546.49892674665              0.00021879986033687473        0.016579447142352786          
6.5                           429.6882987297844             -344.96608436158556           2.721533018960696             -347.68761738054627           2546.49892674665              0.00025377092319253615        0.016403251189631977          
7.0                           409.5639147380929             -345.2328395353484            2.5940704474139786            -347.82690998276234           2546.49892674665              0.00029089223050405677        0.016236233422012435          
7.5                           414.82704587215096            -345.3381704825049            2.627405740012828             -347.9655762225177            2546.49892674665              0.0003296229246154064         0.016060667332398085          
8.0                           437.5068417768214             -345.33485064374804           2.771053620581868             -348.1059042643299            2546.49892674665              0.00037072679256760073        0.015864625892527736          
8.5                           437.3285422067392             -345.47931760390895           2.769924317855497             -348.24924192176445           2546.49892674665              0.000412542692635451          0.01565593651765564           
9.0                           454.12158987113156            -345.51181547454564           2.876287078588634             -348.3881025531343            2546.49892674665              0.0004557743988253205         0.015446453567322974          
9.5                           491.7531869053561             -345.41204856859997           3.1146357471179367            -348.5266843157179            2546.49892674665              0.000502384144331888          0.015230545413003034          
10.0                          480.8278639341949             -345.62175675303337           3.0454376160617236            -348.6671943690951            2546.49892674665              0.0005518871586292568         0.0150177575249713            
10.5                          485.9670321282053             -345.72892385598567           3.0779877599016596            -348.8069116158873            2546.49892674665              0.0006016220959048462         0.01480136469317376           
11.0                          542.4544435050069             -345.51216305069164           3.435764212441873             -348.9479272631335            2546.49892674665              0.0006538938529968307         0.014574234821194168          
11.5                          524.2537878687754             -345.76247779642017           3.320486031892937             -349.0829638283131            2546.49892674665              0.0007093023627282109         0.014349319136070425          
12.0                          533.0638865088633             -345.8358842847898            3.3762868866524895            -349.2121711714423            2546.49892674665              0.0007639954077472122         0.01411463054864065           
12.5                          527.9438429026675             -345.99251768921886           3.3438578729372628            -349.3363755621561            2546.49892674665              0.0008196635617892402         0.013882285674153621          
