CMo16S32_06e33a
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.0000000000001             -344.5488650306413            1.900121339356396             -346.4489863699977            2546.49892674665              0.0                           0.017471269418179326          
0.5                           305.33439793363243            -344.4908057619031            1.9339080171774408            -346.42471377908055           2546.49892674665              1.6382432383065672e-06        0.017512707127558088          
1.0                           316.1942703192198             -344.4123087175654            2.0026916013859135            -346.4150003189513            2546.49892674665              6.521788720073483e-06         0.017533701466993987          
1.5                           320.40580672502347            -344.39671628430216           2.029366368706393             -346.42608265300856           2546.49892674665              1.4731717318805952e-05        0.01753260843786941           
2.0                           328.9836837374732             -344.37385011058575           2.0836963925654945            -346.45754650315126           2546.49892674665              2.6154121066268258e-05        0.01751832921267504           
2.5                           317.2191424364351             -344.49665120333674           2.0091828726526875            -346.5058340759894            2546.49892674665              4.051817330958925e-05         0.01747957660396082           
3.0                           322.97655637632147            -344.52148596433005           2.045648822941641             -346.5671347872717            2546.49892674665              5.7308236947491326e-05        0.017418421008851406          
3.5                           333.8006060904374             -344.53178524773267           2.1142055157417947            -346.64599076347446           2546.49892674665              7.67827794177496e-05          0.017346701143538822          
4.0                           341.0696673789604             -344.5834976965648            2.160245843979835             -346.74374354054464           2546.49892674665              9.90769134480611e-05          0.01726404389181975           
4.5                           354.826666344738              -344.6103102692365            2.247379068314428             -346.85768933755094           2546.49892674665              0.0001239998471040809         0.01717094038828861           
5.0                           382.39653273404065            -344.562211575257             2.4219993731461567            -346.98421094840313           2546.49892674665              0.00015150954207879022        0.0170669375327329            
5.5                           404.9366857992649             -344.5604897926896            2.564762792584797             -347.12525258527444           2546.49892674665              0.00018200126292279592        0.016936650257157182          
6.0                           420.0139353099567             -344.61730889692166           2.660258137698351             -347.27756703462              2546.49892674665              0.00021508563069870458        0.016778626989174258          
6.5                           450.61544029567284            -344.5848781087892            2.854080046497619             -347.43895815528685           2546.49892674665              0.00025067110517511867        0.01660702526483793           
7.0                           480.52330463434106            -344.56512734692814           3.043508617312551             -347.6086359642407            2546.49892674665              0.00028931560411120724        0.016425776752041207          
7.5                           505.1401011820546             -344.58251860549603           3.199424952068902             -347.78194355756494           2546.49892674665              0.000331359340257233          0.01623739232581401           
8.0                           521.4433485525533             -344.6503930106806            3.302685446167204             -347.95307845684783           2546.49892674665              0.00037675297451786023        0.01603643519023561           
8.5                           553.8007960975491             -344.6155151858136            3.507629034725043             -348.1231442205386            2546.49892674665              0.0004251615067530368         0.01583074250919689           
9.0                           579.7719357175238             -344.62115650894              3.6721234233894373            -348.2932799323294            2546.49892674665              0.0004772639452919104         0.015611415415946133          
9.5                           604.6994108745141             -344.632887698413             3.83000751499635              -348.46289521340935           2546.49892674665              0.0005326496012866013         0.015385814739734877          
10.0                          638.9105694611064             -344.5824043510979            4.046692023244649             -348.62909637434257           2546.49892674665              0.0005913586403974662         0.015165425852736218          
10.5                          659.0907871019028             -344.61869634248126           4.1745082304850945            -348.7932045729664            2546.49892674665              0.000653134582553125          0.014935672022441405          
11.0                          681.4818378821825             -344.6347018472391            4.316327275145835             -348.95102912238497           2546.49892674665              0.0007178738315464042         0.014707800219621604          
11.5                          693.1333850280041             -344.71245727394023           4.390125119706811             -349.102582393647             2546.49892674665              0.0007856036935502452         0.014472202436879316          
12.0                          722.3507464272699             -344.67131842168425           4.57518022595492              -349.24649864763916           2546.49892674665              0.0008563585177457291         0.01423903593492855           
12.5                          730.5214338685088             -344.7549969357141            4.626931217835951             -349.38192815355              2546.49892674665              0.0009309668949424073         0.014016158984622051          
13.0                          745.1539524128539             -344.78597890116004           4.719609753618078             -349.50558865477814           2546.49892674665              0.001009368884100577          0.013793620274637056          
13.5                          736.6540308592483             -344.9535458822299            4.665773479195208             -349.6193193614251            2546.49892674665              0.0010910767878991538         0.0135786859402915            
14.0                          742.1125534444162             -345.02205651300864           4.700346330013329             -349.72240284302194           2546.49892674665              0.001174332706794146          0.013369494928263372          
14.5                          759.9823643447893             -345.0020463715646            4.813529026753537             -349.8155753983181            2546.49892674665              0.001261014397622018          0.013163325576729397          
15.0                          774.9545193153829             -344.9894374636919            4.908358730606123             -349.897796194298             2546.49892674665              0.0013515733533473906         0.012955108644116309          
15.5                          771.857423926735              -345.08176596010827           4.888742540479482             -349.97050850058775           2546.49892674665              0.0014463610590375667         0.012745237821344927          
16.0                          768.2629625138161             -345.16777338007836           4.865976164365548             -350.0337495444439            2546.49892674665              0.0015453403283672504         0.012539788539221072          
16.5                          760.261197345595              -345.2723137520078            4.815295081870029             -350.0876088338778            2546.49892674665              0.001646953592664895          0.012337270901763784          
17.0                          750.1621106593811             -345.3811690429989            4.751330114801746             -350.1324991578007            2546.49892674665              0.0017513257942255165         0.012141221652710019          
17.5                          763.2850101262442             -345.33390216461953           4.834447119172463             -350.168349283792             2546.49892674665              0.00185922232020389           0.011944496117321221          
18.0                          748.8915653075421             -345.4528740979201            4.743282813682915             -350.196156911603             2546.49892674665              0.0019697893716132207         0.011760129620009602          
18.5                          746.5586387448861             -345.48889761002806           4.728506668533401             -350.21740427856145           2546.49892674665              0.0020836257660129306         0.011575379473031997          
19.0                          724.5513868355395             -345.6418382695914            4.589118505288263             -350.23095677487964           2546.49892674665              0.002199470985114166          0.011410503026457582          
19.5                          710.9794360206769             -345.7340012879394            4.503157327421544             -350.23715861536095           2546.49892674665              0.002317365611882465          0.011266715483544196          
20.0                          725.5479669565013             -345.63974110650616           4.59543058246899              -350.23517168897513           2546.49892674665              0.002438824816530243          0.01112924320124606           
20.5                          703.8044702846838             -345.76891503505004           4.457712975741172             -350.2266280107912            2546.49892674665              0.0025626025279184648         0.011005686806321767          
21.0                          698.9156952801924             -345.78803027491006           4.426748756710018             -350.2147790316201            2546.49892674665              0.0026877261760913634         0.010886296527134747          
21.5                          672.282346059999              -345.9414841636622            4.258060106070617             -350.1995442697328            2546.49892674665              0.002813479994064784          0.01077170534858655           
22.0                          679.8079454875432             -345.87483670043235           4.305725279616366             -350.1805619800487            2546.49892674665              0.0029404823708910816         0.010674250400466259          
22.5                          664.1356336154649             -345.9517624793688            4.206460965532418             -350.15822344490124           2546.49892674665              0.0030691782549659434         0.010590071657716768          
23.0                          626.5640943252414             -346.16634740007606           3.968492687006348             -350.1348400870824            2546.49892674665              0.0031955619614083175         0.010522207224395489          
23.5                          623.9275354962599             -346.15989034750396           3.951793414694961             -350.11168376219894           2546.49892674665              0.0033213826194216293         0.0104562122354058            
24.0                          619.4949171091652             -346.1639913770928            3.9237183720731537            -350.087709749166             2546.49892674665              0.0034488884588495246         0.010393131632045052          
24.5                          597.025310747314              -346.2807412643623            3.781401776956182             -350.06214304131845           2546.49892674665              0.0035770177704763898         0.010337161275808112          
25.0                          602.6011555694271             -346.2213580228759            3.816717716060971             -350.03807573893687           2546.49892674665              0.003705846467111083          0.01027404310718007           
25.5                          581.677239845558              -346.32955822520586           3.684191120161576             -350.01374934536744           2546.49892674665              0.003835270177856643          0.010219063341043328          
26.0                          560.86833034063               -346.4376541476476            3.5523929434980768            -349.9900470911457            2546.49892674665              0.003964128498188596          0.010163665176710477          
26.5                          545.3836019161467             -346.51191915106466           3.454316733786413             -349.9662358848511            2546.49892674665              0.004091020973051699          0.010105768591696622          
27.0                          528.7574507950919             -346.5942300529023            3.3490110519981444            -349.94324110490044           2546.49892674665              0.004218100552445662          0.010042858715341557          
27.5                          510.5850253001678             -346.6880090584871            3.233911673762246             -349.92192073224936           2546.49892674665              0.004345906743490239          0.009979872795473077          
28.0                          489.8049228891922             -346.7981399184319            3.1022959536785595            -349.90043587211045           2546.49892674665              0.004474331079033707          0.009917004575728828          
28.5                          485.01604832017694            -346.8066048812316            3.0719644778116026            -349.8785693590432            2546.49892674665              0.004601997725177736          0.009856323369741632          
29.0                          469.90331142406734            -346.8786745885               2.9762443649036805            -349.8549189534037            2546.49892674665              0.004730280036625809          0.009802288712723406          
29.5                          446.25823967302887            -347.00369132899755           2.826482680221143             -349.8301740092187            2546.49892674665              0.004856436737497429          0.009757880020417425          
30.0                          439.3355386086874             -347.0240160639366            2.7826361068266747            -349.80665217076324           2546.49892674665              0.004978146004036854          0.009704824641921543          
30.5                          438.54599497177475            -347.0063025622254            2.7776353444505055            -349.78393790667593           2546.49892674665              0.0051006721136779955         0.009645180897836345          
31.0                          422.6300411350455             -347.0862329678349            2.6768278660459037            -349.76306083388084           2546.49892674665              0.0052210380136427734         0.009585780213034486          
31.5                          415.3707243182376             -347.11148618707875           2.6308492567366857            -349.7423354438154            2546.49892674665              0.005342416418866666          0.00951935053727869           
32.0                          412.3522026815942             -347.11081403972435           2.611730732153035             -349.7225447718774            2546.49892674665              0.005464959066381112          0.009441538904280209          
32.5                          402.6003873242214             -347.1556628678836            2.5499652906263437            -349.70562815850997           2546.49892674665              0.0055850107752112065         0.009353496129703707          
33.0                          407.0875195148186             -347.1108788815461            2.5783856093858994            -349.68926449093203           2546.49892674665              0.005706167571363228          0.009265214100693862          
33.5                          400.92292533279766            -347.13398503098267           2.5393406862067986            -349.67332571718947           2546.49892674665              0.005826169060842353          0.009170825098136099          
34.0                          387.19029498042016            -347.2058533802821            2.452361806279979             -349.6582151865621            2546.49892674665              0.005946284952331009          0.009074376733109802          
34.5                          385.7541887497005             -347.1998924928162            2.4432658859647356            -349.643158378781             2546.49892674665              0.006065007711542468          0.00898125362472736           
35.0                          380.9673010347016             -347.2167029266856            2.412946994310161             -349.6296499209958            2546.49892674665              0.006181298982993032          0.008882754793027135          
35.5                          379.40407416091625            -347.21083809552624           2.4030459251730445            -349.6138840206993            2546.49892674665              0.006301587217040646          0.008791672842264385          
36.0                          380.18829335111946            -347.1912558740662            2.4080129638998375            -349.59926883796606           2546.49892674665              0.006420855216295646          0.008703505397477483          
36.5                          395.8973909948187             -347.0774278916583            2.5075102694159246            -349.58493816107426           2546.49892674665              0.006540425974865865          0.008610228515016001          
37.0                          388.28436553778               -347.1105706094449            2.459291362322649             -349.5698619717675            2546.49892674665              0.006661637632644699          0.008504933416345515          
37.5                          371.7427561177844             -347.1993787302356            2.354521145501874             -349.55389987573744           2546.49892674665              0.006781215964139221          0.008393225127612132          
38.0                          371.2917502310277             -347.185897873607             2.3516645924698687            -349.5375624660769            2546.49892674665              0.00689785504526005           0.008278276701240456          
38.5                          359.03803420308503            -347.2477556732475            2.274052768099511             -349.52180844134705           2546.49892674665              0.0070105643471596885         0.00816285229511025           
