CMo16S32_665cf1
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.5488650306413            1.900121339356395             -346.4489863699977            2546.49892674665              0.0                           0.017471269418179326          
0.5                           302.95470223666797            -344.51336310324297           1.9188356485941849            -346.4321987518372            2546.49892674665              1.6569352715683505e-06        0.017456798370021412          
1.0                           294.4616535758927             -344.56401066017077           1.8650429052724138            -346.42905356544316           2546.49892674665              6.58876499517223e-06          0.01742514667728494           
1.5                           304.5976821575364             -344.52087311967995           1.9292418526201056            -346.45011497230007           2546.49892674665              1.4570159859967196e-05        0.017370234564536662          
2.0                           323.37658421261517            -344.4454518427067            2.0481824943685685            -346.49363433707526           2546.49892674665              2.581455161861648e-05         0.01729660146469638           
2.5                           313.88709071345147            -344.5672360868779            1.9880785307104192            -346.55531461758835           2546.49892674665              4.008839665325574e-05         0.01719403213153859           
3.0                           313.4418788687433             -344.65313058041835           1.9852586756215385            -346.6383892560399            2546.49892674665              5.663929444942932e-05         0.01705523367087901           
3.5                           316.5042318926728             -344.73843688377514           2.0046548167195755            -346.7430917004947            2546.49892674665              7.558690216914923e-05         0.01689614661710832           
4.0                           338.0890606606857             -344.7192050889911            2.141367462547759             -346.86057255153884           2546.49892674665              9.714932156307291e-05         0.016719071737122868          
4.5                           349.13605131545364            -344.77504322042785           2.2113362048104097            -346.9863794252383            2546.49892674665              0.00012177659793708215        0.01652521535430181           
5.0                           382.7959287942493             -344.7031864822319            2.4245290430690143            -347.1277155253009            2546.49892674665              0.00014951098288132982        0.016318106644839705          
5.5                           395.47725833809614            -344.77150039531244           2.504849259327928             -347.2763496546404            2546.49892674665              0.00018039475962258985        0.016080871560732898          
6.0                           413.8501031754867             -344.8129625261968            2.6212180411286274            -347.4341805673254            2546.49892674665              0.00021462361650869118        0.015829549164295003          
6.5                           428.71488195214516            -344.8836829997681            2.7153676523230965            -347.5990506520912            2546.49892674665              0.00025154105557533013        0.015568470637590724          
7.0                           453.8158770953696             -344.89593325504114           2.8743507740255034            -347.77028402906666           2546.49892674665              0.000291394374917357          0.015294602178698236          
7.5                           472.3633312244973             -344.9524943164826            2.991825485297135             -347.9443198017797            2546.49892674665              0.0003346268580871046         0.015009938612643157          
8.0                           497.8444199748591             -344.96774770419756           3.15321602024579              -348.12096372444336           2546.49892674665              0.0003807438283467899         0.01472017738373054           
8.5                           501.33032974698955            -345.12378604339983           3.1752948587294436            -348.2990809021293            2546.49892674665              0.00042999688886982907        0.014426034885455241          
9.0                           524.6282216707025             -345.15176545414573           3.3228575974169967            -348.47462305156273           2546.49892674665              0.0004821984238792592         0.014134353990850853          
9.5                           538.0782460945862             -345.23807531887053           3.4080465254926176            -348.64612184436317           2546.49892674665              0.0005379382834932796         0.013836566225535167          
10.0                          550.299334161968              -345.3260559090365            3.4854516929159036            -348.81150760195237           2546.49892674665              0.000597268714187671          0.013533686910818382          
10.5                          552.3336018795029             -345.4718479478012            3.4983362112494105            -348.97018415905063           2546.49892674665              0.00065924286150372           0.013238141621962             
11.0                          593.6750799827963             -345.3622036856405            3.76018229373142              -349.1223859793719            2546.49892674665              0.0007243372804833019         0.012941609704466388          
11.5                          627.5676462135709             -345.2954580848245            3.974848921533569             -349.27030700635805           2546.49892674665              0.0007945321607183272         0.01263451746074865           
12.0                          657.1512547023573             -345.25025291451766           4.1622237408159295            -349.4124766553336            2546.49892674665              0.0008701966959867348         0.012335820143554046          
12.5                          675.6278324068423             -345.265657058278             4.279249539397825             -349.54490659767583           2546.49892674665              0.0009509373670313809         0.012040619967530364          
13.0                          697.0284962510872             -345.2562505681051            4.4147957328873               -349.6710463009924            2546.49892674665              0.0010347127676239882         0.011752853706733533          
13.5                          696.1196157422083             -345.375972975541             4.40903912205448              -349.7850120975955            2546.49892674665              0.0011213226367253319         0.011477990216261313          
14.0                          691.2280652547172             -345.5077877764745            4.378057323841744             -349.88584510031626           2546.49892674665              0.0012104268668442467         0.011216030054731633          
14.5                          707.1539188683049             -345.49728347680383           4.478927504837224             -349.97621098164103           2546.49892674665              0.0013021891085823708         0.01094919284209494           
15.0                          720.1810801527994             -345.49405393173544           4.561438128663576             -350.055492060399             2546.49892674665              0.0013971758321540651         0.010683091738109792          
15.5                          701.9885292096028             -345.6787996959873            4.446211281115255             -350.1250109771026            2546.49892674665              0.0014938767453262507         0.01042162437665631           
16.0                          726.5058805668814             -345.58195416341              4.601497756110134             -350.1834519195201            2546.49892674665              0.0015941048524894816         0.010166108389123149          
