CMo16S32_8e29cd
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000006            -344.5488650306413            1.9001213393563958            -346.4489863699977            2546.49892674665              0.0                           0.017471269418179333          
0.5                           305.9510882094667             -344.5540512221309            1.9378139716870617            -346.49186519381794           2546.49892674665              1.8059331790301606e-06        0.017379336048984374          
1.0                           325.7077154702755             -344.48934868568085           2.062947268526972             -346.5522959542078            2546.49892674665              7.340336758745064e-06         0.01727330789680292           
1.5                           341.0931153601528             -344.46563931110836           2.1603943573445967            -346.626033668453             2546.49892674665              1.6691999762958137e-05        0.017164662161080663          
2.0                           370.5535751605251             -344.36677810919343           2.346989185124392             -346.71376729431785           2546.49892674665              3.0104907044162004e-05        0.017035624386583282          
2.5                           378.91259699983857            -344.4172010506069            2.3999330377011443            -346.817134088308             2546.49892674665              4.7727006138463583e-05        0.01689421541190725           
3.0                           368.3354163788618             -344.59974432914663           2.332939949007328             -346.93268427815394           2546.49892674665              6.90489648461071e-05          0.016734875355414503          
3.5                           370.29172873018587            -344.7094889350135            2.3453307184913195            -347.0548196535048            2546.49892674665              9.36986050954621e-05          0.01655094338194753           
4.0                           382.4905302522422             -344.7678251784003            2.422594728780094             -347.1904199071804            2546.49892674665              0.000122159764241211          0.016349826544872933          
4.5                           399.7676707345789             -344.79979298130826           2.532023606491915             -347.3318165878002            2546.49892674665              0.00015460748000956597        0.016141497488600016          
5.0                           422.6601730888804             -344.80624060825636           2.6770187139408312            -347.48325932219717           2546.49892674665              0.00019116270988601427        0.015904171731683077          
5.5                           440.6791807429978             -344.85081182520145           2.7911463837995467            -347.641958209001             2546.49892674665              0.00023147225905673332        0.01565011658326246           
6.0                           459.0486948304629             -344.90227458236313           2.907494069503548             -347.8097686518667            2546.49892674665              0.0002760644622813594         0.015382045338186393          
6.5                           477.45974244443397            -344.95431677202333           3.024104817674258             -347.9784215896976            2546.49892674665              0.00032414905908319334        0.015108403122334586          
7.0                           501.83943173165073            -344.97107130444357           3.178519377212655             -348.1495906816562            2546.49892674665              0.00037687688801684685        0.014831203574797959          
7.5                           519.6237397543234             -345.0317414461701            3.2911605211445467            -348.32290196731464           2546.49892674665              0.00043402173940078207        0.014548016005869366          
8.0                           550.9691409342456             -345.00744232578126           3.489694073386738             -348.49713639916797           2546.49892674665              0.0004961371443762672         0.014241672079980115          
8.5                           584.2836282586991             -344.9648824471042            3.700699300969778             -348.665581748074             2546.49892674665              0.0005637193036333903         0.013933074199926407          
9.0                           616.929085785142              -344.92361497943637           3.907467069233268             -348.83108204866966           2546.49892674665              0.0006373210681086633         0.01361551638946902           
9.5                           641.0886648446688             -344.93085582358026           4.060487508302851             -348.9913433318831            2546.49892674665              0.000716510063826114          0.013291928621160026          
10.0                          667.6222693862824             -344.9159591746677            4.228544402301397             -349.1445035769691            2546.49892674665              0.0008019852390032054         0.012961964809836012          
10.5                          697.0888945210875             -344.874690239084             4.415178279692926             -349.2898685187769            2546.49892674665              0.0008926744286573533         0.012632562271466663          
11.0                          717.641442647251              -344.8809830306418            4.545352730601834             -349.42633576124365           2546.49892674665              0.000988931132127542          0.012308736597548395          
11.5                          723.9402548249894             -344.96517892131175           4.5852477553735635            -349.55042667668533           2546.49892674665              0.0010894619337737097         0.011980540204687794          
12.0                          709.9534445614029             -345.1644857414986            4.496658966535664             -349.66114470803427           2546.49892674665              0.0011950700797149585         0.011659059885076026          
12.5                          701.1771240475214             -345.3150848999047            4.441072053570806             -349.7561569534755            2546.49892674665              0.0013028191984580289         0.011352228031902568          
13.0                          678.3433921325867             -345.54177634060613           4.2964491826751035            -349.8382255232812            2546.49892674665              0.0014142262482316067         0.011061773216446613          
13.5                          688.9788487695633             -345.5452505104962            4.363811376374167             -349.90906188687035           2546.49892674665              0.0015266192459118422         0.010779388846038908          
14.0                          702.6174471957387             -345.52054824716345           4.450194682735795             -349.97074292989925           2546.49892674665              0.0016448747407827268         0.010510334553963137          
14.5                          713.6922795607935             -345.5030384161965            4.520339767091246             -350.0233781832877            2546.49892674665              0.0017676825161279408         0.01025413120327805           
15.0                          715.8038794796086             -345.53426112283114           4.533714087310992             -350.06797521014215           2546.49892674665              0.0018925181662954587         0.010017480741331972          
