CMo16S32_bd8724
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000017            -344.54886503064137           1.9001213393563965            -346.4489863699978            2546.49892674665              0.0                           0.017471269418179326          
0.5                           308.9313818715819             -344.4896453812051            1.9566903703035075            -346.4463357515086            2546.49892674665              1.5049908110346657e-06        0.017552082753365887          
1.0                           315.49481527414184            -344.462493160502             1.9982614365290032            -346.460754597031             2546.49892674665              6.170746001278309e-06         0.017622533900240957          
1.5                           339.544372398203              -344.3410503156045            2.150585025507334             -346.4916353411118            2546.49892674665              1.4144124712968922e-05        0.01767287563584302           
2.0                           346.8901057207296             -344.34584188483643           2.197110974305181             -346.5429528591416            2546.49892674665              2.5505935988354108e-05        0.01770680502424627           
2.5                           350.19232021698053            -344.3948719905607            2.218026335076709             -346.61289832563745           2546.49892674665              4.002844915824405e-05         0.0177195872669916            
3.0                           356.0884263015174             -344.442239352733             2.255370725044501             -346.6976100777775            2546.49892674665              5.763406653176666e-05         0.017697485969159044          
3.5                           370.26906893957965            -344.4533093241176            2.345187197319065             -346.7984965214367            2546.49892674665              7.847051472729033e-05         0.01765111782839782           
4.0                           374.08113388902626            -344.5426625722799            2.369331817177252             -346.9119943894571            2546.49892674665              0.00010220294931918586        0.01759516862859461           
4.5                           368.5745534818328             -344.70191620236454           2.334454580715285             -347.0363707830798            2546.49892674665              0.00012875110277609013        0.017515993090695493          
5.0                           384.02267780861854            -344.73470009896516           2.4322989496698058            -347.166999048635             2546.49892674665              0.00015795367868003774        0.01742114426498541           
5.5                           403.599789858357              -344.75177854846135           2.55629524423207              -347.3080737926934            2546.49892674665              0.00018974791119642876        0.017309454647646015          
6.0                           415.07362497157084            -344.82634023973975           2.6289675073749845            -347.4553077471147            2546.49892674665              0.00022442713237149077        0.01718219766915402           
6.5                           431.52701942944975            -344.87083031113497           2.7331789937558644            -347.60400930489084           2546.49892674665              0.0002614969549635916         0.01703560388012817           
7.0                           449.3180125543538             -344.9117341598337            2.845862479372441             -347.75759663920616           2546.49892674665              0.0003013611754161766         0.016867433474048354          
7.5                           481.2625816674382             -344.86417214046645           3.0481910042001643            -347.91236314466664           2546.49892674665              0.0003441999056627283         0.016689933154925424          
8.0                           513.604161504543              -344.8184109356575            3.2530340908567688            -348.07144502651425           2546.49892674665              0.0003907805055444552         0.01649289155686669           
8.5                           548.1772410849821             -344.75893413289634           3.4720109117836326            -348.23094504467997           2546.49892674665              0.00044117074450166003        0.016272377513244472          
9.0                           566.4466306094486             -344.8004949491375            3.587724434758476             -348.38821938389594           2546.49892674665              0.0004944082052147019         0.016047278514632068          
9.5                           566.3526837828222             -344.95298142116485           3.587129400191684             -348.5401108213565            2546.49892674665              0.0005507785217144993         0.01582023819900414           
10.0                          600.8441732701455             -344.8815694748159            3.8055894508618495            -348.68715892567775           2546.49892674665              0.0006096015640113576         0.015591787842949659          
10.5                          605.2817683335288             -344.9979258394973            3.8336960144463736            -348.8316218539437            2546.49892674665              0.0006713051664573745         0.015361310855443363          
11.0                          625.8660122742514             -345.00400145067204           3.9640712183339892            -348.968072669006             2546.49892674665              0.0007349375994154037         0.015130944154460207          
11.5                          646.2349954614132             -345.00416871948096           4.093083017050382             -349.09725173653135           2546.49892674665              0.0008018212357683302         0.014908870511921314          
12.0                          646.2884778522524             -345.1276052356358            4.0934217604907595            -349.22102699612657           2546.49892674665              0.000871634327720351          0.014681609115910177          
12.5                          667.7068811492784             -345.10865213626846           4.229080311022828             -349.3377324472913            2546.49892674665              0.0009435160868739352         0.014447013830883981          
13.0                          670.2351583276892             -345.2010516339438            4.245093755751181             -349.44614538969495           2546.49892674665              0.0010190869877136305         0.014217604575404266          
13.5                          693.9184168625436             -345.15039867591565           4.395097305509752             -349.5454959814254            2546.49892674665              0.0010972554881203203         0.013986691775045279          
14.0                          689.2136854526127             -345.2700813948176            4.365298770349919             -349.63538016516753           2546.49892674665              0.0011777187826157688         0.01377205274936095           
14.5                          690.4723797643776             -345.34060338517094           4.373271010088289             -349.7138743952592            2546.49892674665              0.0012605641852353896         0.013559278460445405          
15.0                          684.1541478048952             -345.44782648350076           4.333252985510902             -349.7810794690117            2546.49892674665              0.0013469542331126976         0.013353192081097386          
15.5                          680.3167984801889             -345.5301563997874            4.308948221049438             -349.83910462083685           2546.49892674665              0.001436102752220837          0.013149686835086641          
16.0                          700.7594684555531             -345.44854465810545           4.438426732561471             -349.88697139066693           2546.49892674665              0.001528747069201052          0.012951864490377253          
16.5                          698.7075216691824             -345.50206828455634           4.425430239641448             -349.9274985241978            2546.49892674665              0.0016245524066953738         0.012763560125800743          
17.0                          694.4641946989561             -345.5620543666408            4.39855411922147              -349.9606084858622            2546.49892674665              0.001721577217246739          0.012585129671842811          
17.5                          693.3653888452418             -345.5942090340633            4.391594571053296             -349.9858036051166            2546.49892674665              0.0018210208851177849         0.012418138958566837          
18.0                          675.2399855589359             -345.72821901989204           4.276793019157461             -350.0050120390495            2546.49892674665              0.0019217170759223308         0.01225441960528136           
18.5                          645.2800238149362             -345.9306350340813            4.087034477037211             -350.0176695111185            2546.49892674665              0.00202348644574016           0.012098123568726055          
19.0                          629.4693556710474             -346.0382715663842            3.986893850604926             -350.0251654169891            2546.49892674665              0.0021255489776474666         0.011940409133286312          
19.5                          631.4359801164024             -346.0297262762084            3.999349934188656             -350.0290762103971            2546.49892674665              0.002226210157633641          0.011791925079967604          
20.0                          630.0819728137354             -346.0398964397006            3.990774006957183             -350.0306704466578            2546.49892674665              0.0023274801225206905         0.01165089860973671           
20.5                          603.2506841768783             -346.2092142455658            3.820831659952773             -350.0300459055186            2546.49892674665              0.002427983064952955          0.011532472644695986          
21.0                          563.5815043910533             -346.4594081137933            3.5695774765334014            -350.0289855903267            2546.49892674665              0.0025264881284284848         0.011407008617731107          
21.5                          569.1004175396424             -346.4227561054612            3.6045328253456974            -350.0272889308069            2546.49892674665              0.002623773689581142          0.01127426541957508           
22.0                          569.8933876610731             -346.4129742014667            3.609555290176372             -350.02252949164307           2546.49892674665              0.0027228234244373447         0.011150733058966073          
22.5                          566.2977655689918             -346.4289834986995            3.5867815626249557            -350.01576506132443           2546.49892674665              0.002822689969032395          0.011030417612470063          
23.0                          586.149704626924              -346.2926532067906            3.7125185393968874            -350.0051717461875            2546.49892674665              0.0029250717574511986         0.01091937778402347           
23.5                          551.9273749228187             -346.49485983447147           3.495763276219352             -349.9906231106908            2546.49892674665              0.003029866665140852          0.010824706173871221          
24.0                          552.0535305199778             -346.4776288394474            3.4965623126934897            -349.97419115214086           2546.49892674665              0.003134129572658065          0.01073602257377426           
24.5                          527.7431647167717             -346.6156658105987            3.34258682992605              -349.9582526405248            2546.49892674665              0.0032395745846570097         0.010631129632529683          
25.0                          520.6771438332156             -346.6420964351843            3.297832506375441             -349.93992894155974           2546.49892674665              0.003345192682845008          0.010521971276883132          
25.5                          505.4300541558076             -346.7239031345313            3.201261438178362             -349.92516457270966           2546.49892674665              0.003449675600378644          0.01040490883079683           
26.0                          501.6335335358279             -346.7316563717732            3.177215272027262             -349.90887164380047           2546.49892674665              0.0035557598690053828         0.010283266932702954          
26.5                          494.18910156858504            -346.76292809697014           3.1300641918927785            -349.8929922888629            2546.49892674665              0.0036633238649808096         0.0101576958006561            
27.0                          480.30559448799187            -346.83833399023484           3.0421296983296426            -349.8804636885645            2546.49892674665              0.003770099461758972          0.010020615663232696          
27.5                          462.546571426659              -346.94106985261686           2.929648702713106             -349.87071855533              2546.49892674665              0.003873491292728928          0.00988448383133982           
28.0                          459.49410787975836            -346.95101969328624           2.910315198969528             -349.8613348922558            2546.49892674665              0.00397807745740238           0.009759535628132152          
28.5                          457.2164690287421             -346.95455791422444           2.8958892316889844            -349.85044714591345           2546.49892674665              0.004082142711457606          0.009650021725538032          
29.0                          444.98493593665097            -347.02209448760607           2.8184179082178966            -349.84051239582396           2546.49892674665              0.004181854900095888          0.009538997748390588          
29.5                          415.32846250006634            -347.20155820668543           2.630581581461528             -349.83213978814695           2546.49892674665              0.004277690568197553          0.009428429806103386          
30.0                          410.94154804490967            -347.22530062945356           2.6027960155609473            -349.8280966450145            2546.49892674665              0.0043681174335760695         0.009314755502758952          
30.5                          427.5047068093454             -347.11655239722086           2.7077027202791215            -349.8242551175               2546.49892674665              0.004460790864325853          0.009196480811734147          
31.0                          423.2768534722699             -347.1404873550331            2.6809246057943006            -349.8214119608274            2546.49892674665              0.004553198973395712          0.009072554871540453          
31.5                          426.5971410926597             -347.11947366324785           2.701954436995312             -349.82142810024317           2546.49892674665              0.004642182248449094          0.008940176326429418          
32.0                          431.84823564077294            -347.0854970118302            2.7352134930148058            -349.820710504845             2546.49892674665              0.004732611775957612          0.008795588059516806          
32.5                          406.4820149590428             -347.2431932311696            2.574550502294209             -349.8177437334638            2546.49892674665              0.004823379363200143          0.0086562512331228            
33.0                          411.118922862612              -347.21272716722115           2.6039194611482164            -349.81664662836937           2546.49892674665              0.0049119881042483495         0.008521064338288822          
33.5                          413.09869998146024            -347.19897326058395           2.6164588503171933            -349.81543211090116           2546.49892674665              0.005000612694731483          0.00839388484115453           
34.0                          399.4988612597612             -347.28119267385904           2.530321037760841             -349.81151371161985           2546.49892674665              0.005088389922066384          0.008260446942143973          
34.5                          387.8569496583097             -347.35057978379825           2.4565842222114447            -349.8071640060097            2546.49892674665              0.005174637611279776          0.008130324624694507          
35.0                          375.67027004882215            -347.4222729837594            2.3793969889384887            -349.8016699726979            2546.49892674665              0.005259900519084692          0.007996310129257994          
35.5                          381.5560181178909             -347.3766699560379            2.4166757739522               -349.7933457299901            2546.49892674665              0.005345812732852636          0.007878216458815647          
36.0                          356.0022900945091             -347.5287457368215            2.2548251608944088            -349.78357089771595           2546.49892674665              0.005430145444894499          0.007756619658566787          
36.5                          359.3831120479778             -347.4988264161961            2.2762384006889103            -349.775064816885             2546.49892674665              0.005512029975667781          0.007648464814293061          
37.0                          361.3675364965052             -347.479601505988             2.288807224825535             -349.7684087308135            2546.49892674665              0.005591228816073747          0.00753873835936003           
37.5                          360.64960148699373            -347.4794376385547            2.2842600127193893            -349.76369765127413           2546.49892674665              0.005665070564535742          0.007435226519820331          
38.0                          355.2741209803234             -347.5073146711374            2.2502131286526605            -349.75752779979007           2546.49892674665              0.005738191262814737          0.007340705526858081          
38.5                          358.09560692467875            -347.4813481107331            2.2680836808245397            -349.74943179155764           2546.49892674665              0.005812185203263604          0.007255267008371044          
39.0                          348.8544845773819             -347.5330499358218            2.2095528349188664            -349.74260277074063           2546.49892674665              0.00588303013440432           0.007161081803501193          
39.5                          363.66014085525165            -347.43158746603              2.3033279797080537            -349.73491544573807           2546.49892674665              0.005953787890082682          0.0070725142012308395         
40.0                          359.4105131940712             -347.44881585017833           2.2764119523636266            -349.72522780254195           2546.49892674665              0.006025606794384321          0.006986445687186698          
40.5                          358.0014374152732             -347.4448743235655            2.267487235843412             -349.7123615594089            2546.49892674665              0.006099541295331982          0.0069024563123741695         
41.0                          346.4435882045102             -347.5021437750954            2.194282849435298             -349.6964266245307            2546.49892674665              0.0061742196614792385         0.006821728624532728          
41.5                          326.3084458540769             -347.6135735855498            2.066752137265175             -349.6803257228149            2546.49892674665              0.006244169777611887          0.006748000380085678          
42.0                          326.10054643805927            -347.59705864807404           2.065435356875792             -349.66249400494985           2546.49892674665              0.006311736185327708          0.006682614579972444          
42.5                          308.6990577670078             -347.6894069778182            1.9552188903410137            -349.6446258681592            2546.49892674665              0.0063778349512570555         0.006623117293507709          
43.0                          312.3894474286712             -347.6487359918806            1.9785928508299033            -349.6273288427105            2546.49892674665              0.006442331578939921          0.006571661901431162          
43.5                          303.1678791514904             -347.6888133363341            1.920185855277226             -349.6089991916113            2546.49892674665              0.006506507053066863          0.0065268707379154065         
44.0                          303.8335652499301             -347.66794268714324           1.9244021364804196            -349.59234482362365           2546.49892674665              0.006566901839113524          0.006490556332383052          
44.5                          307.36049569572083            -347.6328761574536            1.946740789155329             -349.57961694660895           2546.49892674665              0.006620994030622865          0.006447484951088364          
45.0                          319.7036196962389             -347.54031954241225           2.024918900181017             -349.5652384425933            2546.49892674665              0.006678252743281894          0.006406207846289175          
45.5                          318.3331308305335             -347.53655646036606           2.0162385830507596            -349.55279504341684           2546.49892674665              0.006732332573967642          0.006360332150764865          
46.0                          311.6145923630635             -347.56937406297834           1.9736851220130045            -349.54305918499136           2546.49892674665              0.006782534135162881          0.0063201480841898845         
46.5                          298.0293028450003             -347.647484181353             1.887639460297649             -349.5351236416506            2546.49892674665              0.006828982637973961          0.006289124285932322          
47.0                          302.189876363765              -347.61526081501853           1.9139914420542024            -349.52925225707276           2546.49892674665              0.006872852171827576          0.006245012278959717          
47.5                          310.47946095909293            -347.559930632865             1.9664954973341444            -349.5264261301992            2546.49892674665              0.006913136010214838          0.00620412381709119           
48.0                          307.36529754724813            -347.5767270691508            1.9467712028238469            -349.5234982719747            2546.49892674665              0.006949604266153068          0.006168562520352888          
48.5                          295.98360196396885            -347.64938688393585           1.8746825273043557            -349.5240694112402            2546.49892674665              0.006983949623957755          0.006126647840693933          
49.0                          294.8822845051544             -347.6596369443764            1.8677070712880255            -349.5273440156644            2546.49892674665              0.0070167305641259045         0.006073863700866292          
49.5                          300.7584556158471             -347.62976419131354           1.9049251983584812            -349.534689389672             2546.49892674665              0.007045408898805226          0.006015574025125235          
50.0                          296.15781210124646            -347.66762109911394           1.8757859286356005            -349.54340702774954           2546.49892674665              0.007070694685946978          0.005969382442599893          
50.5                          300.84807081766377            -347.6470231228546            1.9054927975494897            -349.55251592040406           2546.49892674665              0.0070951135337083224         0.005930517472229904          
51.0                          308.4304712420425             -347.6075767614511            1.9535177337158462            -349.56109449516697           2546.49892674665              0.007119184741329975          0.005897442490778708          
51.5                          308.6926029699815             -347.6180520920736            1.9551780073491107            -349.5732300994227            2546.49892674665              0.007136845800781114          0.005867743037667011          
52.0                          318.0979362274925             -347.5694088518012            2.0147489221036277            -349.58415777390485           2546.49892674665              0.0071531552790055864         0.005839668386900157          
52.5                          317.2421105259167             -347.5837147698497            2.0093283465091814            -349.59304311635884           2546.49892674665              0.0071687352719206334         0.005820177288629585          
53.0                          326.5489288397011             -347.53451536533476           2.0682752934409634            -349.60279065877575           2546.49892674665              0.007182087352375178          0.00581260071089016           
