CMo16S32_bb94c8
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.0000000000001             -344.5488650306413            1.900121339356396             -346.4489863699977            2546.49892674665              0.0                           0.017471269418179322          
0.5                           291.17380371393847            -344.58439214321817           1.844218526328083             -346.42861066954623           2546.49892674665              1.542888809468782e-06         0.01749317016675789           
1.0                           300.435094715125              -344.5300102322782            1.9028771151992292            -346.4328873474774            2546.49892674665              6.115904922945191e-06         0.017500290289655395          
1.5                           306.5482109731431             -344.5147842882205            1.9415959907053184            -346.4563802789258            2546.49892674665              1.3940823274173615e-05        0.0174930254391004            
2.0                           323.12105383657087            -344.45191120252247           2.0465640319673164            -346.4984752344898            2546.49892674665              2.48928270290547e-05          0.01746898348064138           
2.5                           327.32347296497306            -344.4901474351395            2.073181052843305             -346.5633284879828            2546.49892674665              3.8863720459483126e-05        0.017420142690268706          
3.0                           328.1241500753338             -344.5702904718987            2.0782523317210737            -346.64854280361976           2546.49892674665              5.569380029528684e-05         0.017342834680078068          
3.5                           362.9688138605554             -344.457637027956             2.298949295791069             -346.7565863237471            2546.49892674665              7.538262324696931e-05         0.01723897737227072           
4.0                           394.0421742789007             -344.383921490947             2.4957598131791032            -346.8796813041261            2546.49892674665              9.843377613166368e-05         0.017124084013999962          
4.5                           406.0747423799806             -344.4473113830479            2.571970944566173             -347.01928232761406           2546.49892674665              0.0001252264986972015         0.016991483417605757          
5.0                           421.18525029982413            -344.4985506512513            2.667676939722868             -347.1662275909742            2546.49892674665              0.0001541713705028306         0.016840372688604298          
5.5                           430.2089613516325             -344.5903670663379            2.7248307594886256            -347.3151978258265            2546.49892674665              0.00018610151833807964        0.016672315401711723          
6.0                           439.2663155857973             -344.6894508337419            2.7821976663501142            -347.471648500092             2546.49892674665              0.0002207381535351603         0.016478628321234076          
6.5                           465.2386910309936             -344.68998330787707           2.946699882407426             -347.6366831902845            2546.49892674665              0.00025801243523361137        0.0162724215976806            
7.0                           496.4252242211818             -344.66237384814934           3.1442272064581696            -347.80660105460754           2546.49892674665              0.0002981050659723291         0.01606138824016794           
7.5                           534.8951792943471             -344.59340867320077           3.387885814986847             -347.98129448818764           2546.49892674665              0.0003414615063535872         0.015828738745497967          
8.0                           530.6632972495958             -344.7930769457383            3.361082183723943             -348.15415912946224           2546.49892674665              0.00038843524336923754        0.015583902749785274          
8.5                           535.2271627620087             -344.9290183347515            3.389988511224238             -348.31900684597576           2546.49892674665              0.00043676073056901074        0.015342815131097953          
9.0                           530.4237100994632             -345.1191742502798            3.3595647015352674            -348.47873895181505           2546.49892674665              0.0004871057069562354         0.015102914695515243          
9.5                           558.2680002276421             -345.09977835708884           3.535923134374546             -348.6357014914634            2546.49892674665              0.000539343064972234          0.014858827966526824          
10.0                          573.9752510628043             -345.1551540411126            3.635408742689597             -348.7905627838022            2546.49892674665              0.0005939029277530926         0.014611765456927607          
10.5                          565.3895825778918             -345.3602441672158            3.5810293696868567            -348.94127353690266           2546.49892674665              0.0006499854005172954         0.014370471404452828          
11.0                          577.5386244212422             -345.42547352941665           3.657978215217803             -349.08345174463443           2546.49892674665              0.0007070098023057251         0.014152713417069944          
11.5                          610.9735922348669             -345.3515531505382            3.869746534629012             -349.22129968516725           2546.49892674665              0.0007686781780400315         0.013935781340480255          
12.0                          618.782997170693              -345.43416307443647           3.9192092578498055            -349.35337233228626           2546.49892674665              0.000832459839792927          0.013727189287760675          
12.5                          601.7841325339979             -345.6660474885138            3.811542906379755             -349.4775903948936            2546.49892674665              0.0008979359478133291         0.013515139652190212          
13.0                          604.2763204818365             -345.7631970074141            3.827327771384338             -349.5905247787984            2546.49892674665              0.0009651530308446807         0.013302749183046353          
13.5                          613.1360780854945             -345.8108039181874            3.8834431529984577            -349.6942470711858            2546.49892674665              0.0010362864903171493         0.01309955331792557           
14.0                          648.259633754775              -345.6824881266057            4.1059065451360315            -349.7883946717417            2546.49892674665              0.0011101490410598855         0.012894481991294502          
14.5                          643.7164883257653             -345.7945186897513            4.077131453211162             -349.8716501429625            2546.49892674665              0.0011875566145718548         0.012696938809729871          
15.0                          627.8201662530494             -345.9683290280341            3.97644831725233              -349.9447773452864            2546.49892674665              0.0012649771523982488         0.012510328507808829          
15.5                          615.0113720120256             -346.11228204721476           3.895320773023015             -350.00760282023776           2546.49892674665              0.001343435137352711          0.012335763943815558          
16.0                          616.9208226255673             -346.1560679577962            3.907414732547141             -350.06348269034333           2546.49892674665              0.0014235634632545242         0.012154376945797627          
16.5                          624.1643211400667             -346.1585372719381            3.9532931528771296            -350.1118304248152            2546.49892674665              0.0015055885356474775         0.011965301448954697          
17.0                          617.3951920977984             -346.2399762459157            3.9104192644035587            -350.1503955103193            2546.49892674665              0.0015904908628048813         0.01178259650737902           
17.5                          619.8314156451831             -346.25778122040424           3.925849665569653             -350.1836308859739            2546.49892674665              0.001676045178031522          0.011605169206724593          
18.0                          627.4115930642776             -346.2356308752875            3.9738605218034158            -350.2094913970909            2546.49892674665              0.0017627907376210773         0.011428959724799908          
18.5                          637.7443707115139             -346.1911125226274            4.039305626144544             -350.23041814877195           2546.49892674665              0.0018545490211906344         0.011263130647783474          
19.0                          639.6163158902416             -346.1948972822906            4.051162036078564             -350.24605931836913           2546.49892674665              0.0019486907610227022         0.011103815625192616          
