CMo16S32_e6ccbd
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999983            -344.5488650306413            1.9001213393563943            -346.4489863699977            2546.49892674665              0.0                           0.01747126941817931           
0.5                           308.1926057775546             -344.52804189380515           1.9520111562326152            -346.4800530500378            2546.49892674665              1.6056395568421996e-06        0.017406226381592466          
1.0                           305.8922772498139             -344.5893646608044            1.9374414784889806            -346.5268061392934            2546.49892674665              6.385960520172795e-06         0.01732816686401018           
1.5                           308.90259793551235            -344.63245341119006           1.9565080603996525            -346.5889614715897            2546.49892674665              1.4123999050916632e-05        0.017229170438311465          
2.0                           316.17280862817444            -344.66905195409294           2.0025556686621337            -346.67160762275506           2546.49892674665              2.456809920245403e-05         0.017111417939720274          
2.5                           338.38184213934034            -344.62759658523936           2.1432218636656257            -346.770818448905             2546.49892674665              3.80789304958405e-05          0.01697477269237468           
3.0                           350.6458094984445             -344.66180443287806           2.2208986172796394            -346.8827030501577            2546.49892674665              5.456330469384248e-05         0.016817920088314318          
3.5                           361.44434364602284            -344.7156363485167            2.2892937011715806            -347.00493004968826           2546.49892674665              7.356856071416008e-05         0.01663865971927723           
4.0                           379.31913441194115            -344.7394327381562            2.4025079390744204            -347.14194067723065           2546.49892674665              9.543746253215413e-05         0.01644409385106969           
4.5                           411.7799430873657             -344.68087033328584           2.6081061899308855            -347.2889765232167            2546.49892674665              0.00012063436395326401        0.016233821439419645          
5.0                           427.46711890678074            -344.74024178760885           2.7074646483599056            -347.44770643596877           2546.49892674665              0.0001491658584848369         0.01599501399065169           
5.5                           443.9658297129766             -344.8003508943317            2.8119631566089813            -347.61231405094065           2546.49892674665              0.00018076493427651732        0.015741112238852786          
6.0                           451.58066065393757            -344.9164277425864            2.860193499164019             -347.77662124175043           2546.49892674665              0.00021613299328758005        0.015480742363477767          
6.5                           457.13739101963415            -345.0438688360592            2.895388372313718             -347.9392572083729            2546.49892674665              0.0002543569585962703         0.015223220761584185          
