CMo16S32_ae38cc
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.99999999999994            -344.54886503064137           1.9001213393563952            -346.4489863699978            2546.49892674665              0.0                           0.01747126941817932           
0.5                           311.4503445968885             -344.4713271268695            1.972644819728169             -346.4439719465976            2546.49892674665              1.7145847367827734e-06        0.017401770055120693          
1.0                           303.39166686190276            -344.53331482535447           1.9216032679573598            -346.45491809331185           2546.49892674665              6.787101443631168e-06         0.017313165822808636          
1.5                           306.1161180056727             -344.5480455060491            1.9388592271450642            -346.4869047331942            2546.49892674665              1.5089728261904588e-05        0.017197259462510554          
2.0                           297.7570781204226             -344.65494957601624           1.8859152602700808            -346.5408648362863            2546.49892674665              2.6248847931884385e-05        0.017055568777673936          
2.5                           305.0734992872565             -344.67955475323384           1.9322555535594805            -346.6118103067933            2546.49892674665              3.984083594010914e-05         0.016890412832838993          
3.0                           312.5833705644838             -344.72008389475513           1.979821109125078             -346.6999050038802            2546.49892674665              5.607720229258475e-05         0.01670953644648568           
3.5                           333.1252461569741             -344.69612188262073           2.1099279630040617            -346.8060498456248            2546.49892674665              7.478349520159226e-05         0.016519152583646893          
4.0                           351.9655394800691             -344.6963146689432            2.229257440947217             -346.9255721098904            2546.49892674665              9.610959348269156e-05         0.016304530669654923          
4.5                           366.7835958724496             -344.7347857013803            2.3231111248103793            -347.0578968261907            2546.49892674665              0.00012040153560163475        0.016083030740406176          
5.0                           403.6337530885685             -344.6460072063055            2.5565103584269977            -347.2025175647325            2546.49892674665              0.0001474588596579507         0.01584685051164456           
5.5                           441.2339659335105             -344.5588240973279            2.794660247730387             -347.3534843450583            2546.49892674665              0.00017844154811768318        0.015610445661871988          
6.0                           458.8746296060193             -344.607661577688             2.9063915860121976            -347.5140531637002            2546.49892674665              0.00021311871509333984        0.015352562036008864          
6.5                           505.0331589229597             -344.48024034705236           3.198747607840285             -347.67898795489265           2546.49892674665              0.00025159572063229274        0.01510299069622801           
7.0                           516.4403699009989             -344.5767844547559            3.270997891179994             -347.8477823459359            2546.49892674665              0.00029363352569461464        0.01485015841543833           
7.5                           514.2442997374824             -344.7613823857433            3.2570885585785887            -348.01847094432185           2546.49892674665              0.0003382470811305113         0.0145969900948982            
8.0                           511.644013745605              -344.94691404608926           3.240619028906603             -348.1875330749959            2546.49892674665              0.0003845175059264611         0.014353303331470604          
8.5                           544.6780613142317             -344.902967899825             3.449848024608143             -348.3528159244331            2546.49892674665              0.00043439596768435974        0.014122436134807882          
