CMo16S32_4afa07
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             299.9999999999999             -344.5488650306413            1.9001213393563947            -346.4489863699977            2546.49892674665              0.0                           0.01747126941817932           
0.5                           298.2635346838683             -344.59714559699074           1.8891230233489482            -346.4862686203397            2546.49892674665              1.5204868840324102e-06        0.017421112903424456          
1.0                           288.10304717662643            -344.7255828041433            1.8247691595797004            -346.550351963723             2546.49892674665              5.8691322612585325e-06        0.01733878762830027           
1.5                           311.9828518094875             -344.6515566738597            1.9760175807882374            -346.6275742546479            2546.49892674665              1.2990553196225418e-05        0.01724607260752582           
2.0                           334.76597382277555            -344.5979116001894            2.1203199018369343            -346.7182315020263            2546.49892674665              2.3191617127194072e-05        0.017144631173160993          
2.5                           349.68560416881667            -344.6101054169467            2.214816928489674             -346.82492234543633           2546.49892674665              3.65298568972168e-05          0.01702540571130232           
3.0                           366.77474369464056            -344.63261939640734           2.323055057437197             -346.95567445384455           2546.49892674665              5.2660737020311664e-05        0.016882304759939154          
3.5                           390.186510047237              -344.6348111845461            2.4713390468991787            -347.10615023144527           2546.49892674665              7.195651828962957e-05         0.016712926077254973          
4.0                           417.4455900250797             -344.6306935715688            2.643990912089584             -347.2746844836584            2546.49892674665              9.380990757795011e-05         0.01651971271285236           
4.5                           448.9357072902317             -344.6111927953163            2.843441058070752             -347.45463385338707           2546.49892674665              0.00011838036934685199        0.016311242826692402          
5.0                           462.25892830785256            -344.7124787142591            2.927826846619229             -347.6403055608783            2546.49892674665              0.00014588390886222924        0.016093612653783892          
5.5                           479.4406718080313             -344.7807652209765            3.0366515048593548            -347.81741672583587           2546.49892674665              0.00017665681086242142        0.015871588454906233          
6.0                           498.3332087915916             -344.83382113875433           3.1563118804494974            -347.9901330192038            2546.49892674665              0.0002108516843169805         0.015634955800384914          
6.5                           493.09999227208397            -345.0371833703566            3.1231660591755346            -348.1603494295322            2546.49892674665              0.0002476249275023573         0.01539614364472002           
7.0                           521.2771925500256             -345.02455157639514           3.301633057613654             -348.32618463400877           2546.49892674665              0.00028730086530140317        0.015148520851113538          
7.5                           534.6439173833983             -345.10407799203              3.386294387924309             -348.4903723799543            2546.49892674665              0.00033058304370743054        0.014886242202549207          
8.0                           538.4800277194931             -345.23652146166495           3.410591304956774             -348.6471127666217            2546.49892674665              0.00037697330112332556        0.014626514547987697          
8.5                           548.7377423969143             -345.3220653056624            3.475560980128765             -348.7976262857912            2546.49892674665              0.0004261175010629799         0.014366168567994803          
9.0                           534.5809558747587             -345.55189607188777           3.385895606237229             -348.937791678125             2546.49892674665              0.0004765962007579433         0.014120677805981039          
