CMo16S32_a86fe6
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000006            -344.5488650306413            1.9001213393563958            -346.4489863699977            2546.49892674665              0.0                           0.01747126941817932           
0.5                           300.3140251166091             -344.5379161206129            1.9021102921069382            -346.4400264127199            2546.49892674665              1.5355546520939296e-06        0.017467834538936227          
1.0                           306.0195578423014             -344.5147021149864            1.9382476403885522            -346.45294975537496           2546.49892674665              6.129730674099995e-06         0.017428579253801802          
1.5                           325.26232997485806            -344.4288338697471            2.0601263135800303            -346.48896018332715           2546.49892674665              1.3847919563616257e-05        0.01736256317766072           
2.0                           345.9674171942518             -344.3493014456692            2.191266907109382             -346.54056835277856           2546.49892674665              2.495318535560109e-05         0.017277331753958184          
2.5                           346.64836438766804            -344.41230163584106           2.1955798480866653            -346.6078814839277            2546.49892674665              3.918330110272042e-05         0.017192472896978325          
3.0                           347.2473155874894             -344.48940884250203           2.199373447940044             -346.6887822904421            2546.49892674665              5.6123802966483124e-05        0.01710937607941418           
3.5                           340.8200102680423             -344.6265582971684            2.15866458129991              -346.7852228784683            2546.49892674665              7.530696453818419e-05         0.017022888197843113          
4.0                           350.4979640436918             -344.67277971092886           2.219962202934631             -346.8927419138635            2546.49892674665              9.704678845173877e-05         0.01692291485155296           
4.5                           388.9204454221939             -344.55527735108245           2.4633201255290165            -347.0185974766115            2546.49892674665              0.00012137619111853992        0.016808687280000473          
5.0                           407.5710161569132             -344.5793847257695            2.58144795034307              -347.1608326761126            2546.49892674665              0.00014807978498192833        0.016677215153026673          
5.5                           447.72493471773964            -344.47430586673767           2.8357723420637537            -347.31007820880143           2546.49892674665              0.00017821224753166546        0.016522832209095072          
6.0                           453.53956632153023            -344.59552801135175           2.872600694033282             -347.468128705385             2546.49892674665              0.00021093207089610262        0.016355626536339853          
6.5                           480.74254840669323            -344.59146586412203           3.0448972498804423            -347.63636311400245           2546.49892674665              0.00024556813444868655        0.016157041193707495          
7.0                           476.08907072895124            -344.7888243436743            3.015423342421455             -347.8042476860958            2546.49892674665              0.00028189722188813984        0.015951409207737504          
7.5                           487.7277380331843             -344.8859132947329            3.089139609442931             -347.97505290417587           2546.49892674665              0.00032022329981773153        0.015735278087653633          
8.0                           498.9742824496763             -344.982102112557             3.1603722729089174            -348.14247438546596           2546.49892674665              0.0003600561317251895         0.015513421488318057          
8.5                           494.3809155979193             -345.17045978932              3.1312790916605313            -348.3017388809805            2546.49892674665              0.00040263821300492997        0.015295633899385071          
9.0                           519.1537865463613             -345.1611349618919            3.2881839607480536            -348.4493189226399            2546.49892674665              0.0004483764977097271         0.015084898418689277          
9.5                           518.0922410229604             -345.30798159531935           3.2814604097423463            -348.5894420050617            2546.49892674665              0.0004974009186881241         0.014872507742093664          
10.0                          515.7425081147353             -345.4557686199105            3.266577817606658             -348.72234643751716           2546.49892674665              0.0005485170929829341         0.014651320587944687          
10.5                          511.66468663920267            -345.61030456455563           3.2407499655941736            -348.8510545301498            2546.49892674665              0.0006013034531810218         0.014410948359465055          
11.0                          537.831581690564              -345.5663383754288            3.406484217833477             -348.97282259326226           2546.49892674665              0.0006558980025111249         0.014155695925289154          
11.5                          520.2437018318483             -345.7925210889275            3.2950871983882024            -349.08760828731573           2546.49892674665              0.0007127571484611396         0.013907365862760418          
12.0                          514.2231425192614             -345.93928333608415           3.256954554305845             -349.19623789038997           2546.49892674665              0.0007721337928181552         0.01365968047487967           
12.5                          514.9980623935878             -346.03268063965766           3.261862693604175             -349.29454333326186           2546.49892674665              0.000834239117880879          0.013424494851884149          
13.0                          536.5615040305437             -345.9841786281705            3.3984398789519954            -349.3826185071225            2546.49892674665              0.0009000732214556963         0.013194082141580675          
13.5                          539.2677028444868             -346.04952960044824           3.4155802326683764            -349.4651098331166            2546.49892674665              0.0009656980774246528         0.012965065049592212          
14.0                          560.9479715529128             -345.9910712469118            3.5528973700545796            -349.54396861696637           2546.49892674665              0.001033146252058425          0.012736351600890086          
14.5                          563.0617310666308             -346.0506589906526            3.5662853685821903            -349.6169443592348            2546.49892674665              0.0011027270185946306         0.012509447281811794          
15.0                          581.211145267633              -346.00335811165              3.681238999315998             -349.684597110966             2546.49892674665              0.0011739509904453568         0.012279666591857414          
15.5                          562.2932833570517             -346.1829376833145            3.561418222278354             -349.74435590559284           2546.49892674665              0.0012451897174326674         0.012064647628943373          
16.0                          568.5946720474053             -346.19463415182594           3.6013295660054205            -349.79596371783134           2546.49892674665              0.0013166083682095509         0.011856029129964571          
16.5                          552.7201010458639             -346.33906960142673           3.50078419562823              -349.83985379705496           2546.49892674665              0.0013891424059886818         0.011657793285230143          
17.0                          525.6700555248378             -346.5468059403288            3.3294562998780184            -349.8762622402068            2546.49892674665              0.00146254271454502           0.01147371167964365           
17.5                          514.3648799614547             -346.6499540442808            3.2578522821008358            -349.9078063263816            2546.49892674665              0.0015356057533475955         0.011311589482374549          
18.0                          508.79082351901246            -346.7132466922177            3.2225476701239644            -349.93579436234165           2546.49892674665              0.0016074169461248514         0.011164810186300436          
18.5                          507.9226900991255             -346.7421211436065            3.2170491406688453            -349.95917028427533           2546.49892674665              0.0016810623566411778         0.011014534279156477          
19.0                          509.1866098298942             -346.75692991031065           3.22505447684107              -349.9819843871517            2546.49892674665              0.0017536972112716796         0.01085438009489473           
19.5                          454.580428780231              -347.12237364346873           2.8791932439303234            -350.00156688739906           2546.49892674665              0.0018253016971089804         0.010680039140204245          
20.0                          431.0158841436449             -347.28679721788575           2.729941596876345             -350.0167388147621            2546.49892674665              0.001893829789619555          0.010520683748407887          
20.5                          434.910647905661              -347.2757121784289            2.7546100093295407            -350.03032218775843           2546.49892674665              0.001961568895608991          0.010382323596100142          
21.0                          426.5790553771965             -347.33651952643146           2.701839886815682             -350.0383594132471            2546.49892674665              0.002031610000022657          0.010257873041741495          
21.5                          416.4687554436868             -347.4025837004254            2.6378038979791643            -350.04038759840455           2546.49892674665              0.0021020682954598245         0.010134546446053173          
22.0                          435.15156075485726            -347.28343856129266           2.756135888148484             -350.03957444944115           2546.49892674665              0.00217204032477165           0.01001540496458833           
