CMo16S32_05eda7
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.0000000000002             -344.5488650306413            1.9001213393563967            -346.4489863699977            2546.49892674665              0.0                           0.01747126941817932           
0.5                           292.26665346634627            -344.6070948905605            1.8511403501122845            -346.4582352406728            2546.49892674665              1.4360257101459012e-06        0.017485371714524068          
1.0                           310.0422365530549             -344.5248459782081            1.963726232587477             -346.48857221079555           2546.49892674665              5.779511007397165e-06         0.017465678746984147          
1.5                           320.2442710370892             -344.5089615231131            2.0283432440140214            -346.5373047671271            2546.49892674665              1.3082600734032658e-05        0.017417439655189975          
2.0                           299.6428695653459             -344.70366082851484           1.8978593688236625            -346.6015201973385            2546.49892674665              2.3068168376326475e-05        0.017346747611543017          
2.5                           315.897393735206              -344.6736517816137            2.000811262944447             -346.6744630445582            2546.49892674665              3.5553687517224626e-05        0.0172776455337542            
3.0                           326.9381627919089             -344.68982785940887           2.0707405992362706            -346.76056845864514           2546.49892674665              5.0606484777121464e-05        0.017167975308929627          
3.5                           358.32572419063644            -344.58819000046793           2.2695411832498746            -346.8577311837178            2546.49892674665              6.853970081883516e-05         0.01703164124640078           
4.0                           383.4101468737396             -344.5410507619209            2.428419339335208             -346.96947010125615           2546.49892674665              8.965267431778781e-05         0.0168759410396485            
4.5                           384.41818085415343            -344.6586412862794            2.434803962258477             -347.0934452485379            2546.49892674665              0.00011310343621404327        0.016689012694858032          
5.0                           402.8077127773537             -344.68387210428995           2.551278435685305             -347.2351505399753            2546.49892674665              0.00013820493801613464        0.01647309596919568           
5.5                           420.32793725799746            -344.72980422421614           2.6622469437052567            -347.3920511679214            2546.49892674665              0.00016569294590497194        0.016230356326120767          
6.0                           441.4608546633017             -344.7552137445549            2.796097301454173             -347.55131104600906           2546.49892674665              0.00019564593081537287        0.015975898031775466          
6.5                           461.8723980122872             -344.793928667235             2.925378665076191             -347.7193073323112            2546.49892674665              0.00022835246760101935        0.0157010793198242            
7.0                           452.2043082655265             -345.02409017769446           2.8641435196140814            -347.8882336973085            2546.49892674665              0.0002635580031742795         0.015413326223657355          
7.5                           485.64952107949415            -344.9793458396453            3.0759767281712014            -348.0553225678165            2546.49892674665              0.00030088112464589497        0.015134402998570844          
8.0                           486.1531328895495             -345.13367190263114           3.079166473327995             -348.2128383759591            2546.49892674665              0.00034085237517951636        0.014849397190297755          
8.5                           506.6633168060333             -345.15417697642414           3.209072600440779             -348.3632495768649            2546.49892674665              0.0003835004021029807         0.014565558979612932          
9.0                           529.2208161119056             -345.1591027605456            3.351945886419462             -348.51104864696504           2546.49892674665              0.00042918349942526175        0.014282825159916954          
9.5                           522.3332460774451             -345.3474350077946            3.308321823756829             -348.65575683155146           2546.49892674665              0.0004774148814607099         0.013990312767382015          
10.0                          526.6657460860912             -345.463162422756             3.335762742820796             -348.7989251655768            2546.49892674665              0.0005280813972223078         0.013695924630653486          
10.5                          559.337734608325              -345.39203985099067           3.542698551455142             -348.9347384024458            2546.49892674665              0.0005824351328127456         0.013408440824218298          
11.0                          572.496638613084              -345.4330620353271            3.6260435991284248            -349.05910563445553           2546.49892674665              0.0006402190701775501         0.013109698281931361          
11.5                          575.2087283452064             -345.535998557193             3.6432212643759416            -349.17921982156895           2546.49892674665              0.0007013763493669663         0.01280615399743578           
12.0                          568.0154694073798             -345.69049812478517           3.5976610483516738            -349.2881591731368            2546.49892674665              0.0007647651121369132         0.012494540950185548          
