CMo16S32_fdd777
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.0                         -344.5488650306413            1.9001213393563954            -346.4489863699977            2546.49892674665              0.0                           0.01747126941817931           
0.5                           296.4144362075774             -344.62747662139964           1.8774113184377093            -346.5048879398374            2546.49892674665              1.4972127955965788e-06        0.01738116550496623           
1.0                           296.98395210239636            -344.6984473793088            1.881018482787203             -346.579465862096             2546.49892674665              5.935879803658993e-06         0.017268553529239113          
1.5                           337.4717991892935             -344.5375531395373            2.137457890235243             -346.6750110297725            2546.49892674665              1.3519125168050216e-05        0.017141469857545             
2.0                           359.9849962064935             -344.5096119208295            2.2800505771336312            -346.78966249796315           2546.49892674665              2.4356434171623192e-05        0.016988337453787982          
2.5                           386.5844439359597             -344.47778868054473           2.4485245046198103            -346.92631318516453           2546.49892674665              3.861206640821127e-05         0.016795042865046274          
3.0                           431.92351239615766            -344.34612684256496           2.735690276245686             -347.08181711881065           2546.49892674665              5.6412098583103074e-05        0.016585654158078236          
3.5                           469.89977171448066            -344.2769547922126            2.976221945311278             -347.2531767375239            2546.49892674665              7.902138578159475e-05         0.0163485399400261            
4.0                           516.5836499201257             -344.1591106028017            3.271905389252815             -347.43101599205454           2546.49892674665              0.00010604802696852526        0.016092209220775124          
4.5                           530.0932881969183             -344.260935743194             3.35747189584188              -347.61840763903587           2546.49892674665              0.00013718511926013422        0.015822734794596952          
5.0                           526.3414111964742             -344.467647015468             3.333708490671266             -347.80135550613926           2546.49892674665              0.00017227758041771135        0.015550996808114517          
5.5                           555.9915165519953             -344.45733092518725           3.521504483671903             -347.97883540885914           2546.49892674665              0.0002114837502552751         0.015276129520038142          
6.0                           582.0519035429031             -344.46505035031015           3.686564141782935             -348.1516144920931            2546.49892674665              0.000255068606276834          0.014996357575951691          
6.5                           582.0320113222186             -344.63393942761877           3.6864381496729024            -348.32037757729165           2546.49892674665              0.0003030185910595272         0.014693320651613592          
7.0                           614.2350114921106             -344.5952312623083            3.890403509053267             -348.48563477136156           2546.49892674665              0.000354864263007949          0.014390523094629973          
7.5                           597.2929104867695             -344.8650380722634            3.7830966835406667            -348.6481347558041            2546.49892674665              0.0004101355046749502         0.014087090166702723          
8.0                           587.3411385049911             -345.08102844610164           3.720064769184046             -348.8010932152857            2546.49892674665              0.0004682171049145957         0.013793082119585577          
8.5                           579.880165696915              -345.2677821622593            3.6728089237007686            -348.9405910859601            2546.49892674665              0.0005304030366662947         0.013535492713240985          
9.0                           601.573454451509              -345.2610037785001            3.810208526645516             -349.0712123051456            2546.49892674665              0.0005966580472351928         0.01328784455049261           
9.5                           605.9664490657805             -345.35600953748985           3.838032602679699             -349.19404214016953           2546.49892674665              0.0006669854469333525         0.013047974743501842          
10.0                          581.6236430876183             -345.6209569147165            3.6838516523499716            -349.30480856706646           2546.49892674665              0.0007391832307780484         0.012807982663878335          
10.5                          574.3017936834505             -345.7677577210862            3.6374769780285936            -349.40523469911477           2546.49892674665              0.0008122509161608111         0.012586523424675538          
11.0                          581.9051547317314             -345.8119229858739            3.6856346732908265            -349.4975576591647            2546.49892674665              0.000886706136414095          0.012366848888786178          
11.5                          567.9680533102048             -345.98313296462095           3.59736072722477              -349.58049369184573           2546.49892674665              0.0009623653416425595         0.012147251716375288          
12.0                          564.9129160885184             -346.0764413790962            3.5780102891261416            -349.65445166822235           2546.49892674665              0.0010392167052905403         0.011925218167551483          
12.5                          559.7793170123442             -346.1725529662031            3.5454954186183456            -349.7180483848215            2546.49892674665              0.0011166007800733151         0.011713645572072287          
13.0                          540.2467965287271             -346.3512660598397            3.4217815553438897            -349.7730476151836            2546.49892674665              0.0011947143404915498         0.01150825176903812           
13.5                          531.0125443418684             -346.4579471610436            3.363294223233061             -349.8212413842767            2546.49892674665              0.0012757163771032949         0.011304122290605895          
14.0                          509.06360466767916            -346.63889733369876           3.224275394395817             -349.8631727280946            2546.49892674665              0.0013554666186817823         0.011123425668855894          
14.5                          518.075360183594              -346.61793416763              3.2813534909319912            -349.899287658562             2546.49892674665              0.0014351908141298467         0.010954993034378094          
15.0                          498.2217066911334             -346.7734248320036            3.1556056553812852            -349.9290304873849            2546.49892674665              0.0015181824654124918         0.010792558585801512          
15.5                          475.9892609784911             -346.94122660497385           3.014791173632371             -349.9560177786062            2546.49892674665              0.001601490373488997          0.010638747182298758          
16.0                          486.64224273304774            -346.8968485810021            3.0822643668310623            -349.97911294783313           2546.49892674665              0.0016841983047393278         0.01048432249018687           
16.5                          475.24384019017566            -346.99062796491495           3.010069873810111             -350.00069783872505           2546.49892674665              0.001766430491551161          0.010339732722865862          
17.0                          463.9705659893614             -347.0822150552594            2.938667910898834             -350.02088296615824           2546.49892674665              0.0018474371338565504         0.01020572674378275           
17.5                          456.1649297263509             -347.1459829777944            2.8892290574634996            -350.0352120352579            2546.49892674665              0.0019292960204932903         0.010091530042966793          
18.0                          432.85973840657397            -347.30404949172305           2.7416200863151943            -350.04566957803826           2546.49892674665              0.0020101941871212494         0.00997934368420785           
18.5                          425.73222221828183            -347.3572726661058            2.6964762676285874            -350.0537489337344            2546.49892674665              0.0020872633885926643         0.009875187840796483          
19.0                          422.83753109547024            -347.38403061393393           2.6781420530509212            -350.06217266698485           2546.49892674665              0.0021643267061938654         0.009766679290047282          
19.5                          417.8269559132325             -347.42367040232256           2.6464063836301897            -350.0700767859527            2546.49892674665              0.0022421959901009606         0.009659321340143677          
20.0                          395.8382054584955             -347.56859252546633           2.5071354037474283            -350.07572792921377           2546.49892674665              0.002322748279900642          0.009548199955954214          
20.5                          370.1104714335353             -347.73652500166037           2.3441826823003864            -350.0807076839608            2546.49892674665              0.002400604292768006          0.009449685240437275          
21.0                          356.96012131015914            -347.8210035891647            2.2608918126689366            -350.08189540183366           2546.49892674665              0.0024769966429237862         0.009376856758225829          
21.5                          353.8089193436054             -347.8445867811628            2.2409329256647013            -350.0855197068275            2546.49892674665              0.0025491004014159676         0.009307157120589365          
22.0                          351.07354818685786            -347.8682510777696            2.223607801978048             -350.0918588797477            2546.49892674665              0.0026189077373699843         0.009236955612594371          
