CMo16S32_dd26bf
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           P_internal                    
0                             300.00000000000006            -344.54886503064137           1.9001213393563956            -346.4489863699978            2546.49892674665              0.0                           0.017471269418179333          
0.5                           296.2214220641845             -344.57218874823536           1.8761888174621808            -346.44837756569757           2546.49892674665              1.4218365579543688e-06        0.01747190772209589           
1.0                           290.31482142503404            -344.63279382743525           1.8387779577371612            -346.4715717851724            2546.49892674665              5.609209285480131e-06         0.01746250664222539           
1.5                           302.25185851841115            -344.6022510271164            1.914384020769877             -346.51663504788627           2546.49892674665              1.2486102482653168e-05        0.017429702392875245          
2.0                           327.092353117186              -344.50867881652215           2.0717172003275417            -346.5803960168497            2546.49892674665              2.208203072159871e-05         0.017381578694117328          
2.5                           342.88833304219315            -344.48864190730023           2.1717647954327126            -346.6604067027329            2546.49892674665              3.4626506053861356e-05        0.017311244342318594          
3.0                           357.88287980220423            -344.48700539297306           2.2667363230082938            -346.75374171598133           2546.49892674665              5.015379420811086e-05         0.017226893602999623          
3.5                           366.4651997473563             -344.5406581554183            2.3210944872381853            -346.86175264265654           2546.49892674665              6.869398351013274e-05         0.01713362964646834           
4.0                           361.77108460520384            -344.6832633480219            2.2913631927348526            -346.9746265407568            2546.49892674665              8.986010460520661e-05         0.01703505697152818           
4.5                           373.18507801208966            -344.72831860173136           2.363656434200509             -347.09197503593185           2546.49892674665              0.00011339456738043446        0.016920604572368537          
5.0                           363.5602793600928             -344.9104707243318            2.302695483181616             -347.2131662075134            2546.49892674665              0.00013940944857205125        0.016801056893223244          
5.5                           378.9727865342179             -344.94647591037574           2.400314262430078             -347.3467901728058            2546.49892674665              0.00016704438237388107        0.016670050197297687          
6.0                           387.59377507570497            -345.0326183539129            2.4549173434101665            -347.48753569732304           2546.49892674665              0.0001968081136621951         0.01652890208524878           
